,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Babesiosis,0,0,0
3,Buruliulcer,0,0,0
4,Chagas disease,0,0,0
5,Chikungunya,0,0,0
6,Cholera Infection,1,1,1
7,Coccidioidomycosis,0,0,0
8,CreutzfeldtJakobDisease,1,0,0
9,Diphtheria,1,1,0
10,Dracunculus,0,0,0
11,Echinococcus,0,0,0
12,Enterobiasis,0,0,0
13,Fasciola,0,0,0
14,Fasciolopsiasis,0,0,0
15,Filariasis,0,0,0
16,Filovirus,0,0,0
17,Giardiasis,0,0,0
18,HendraVirus,0,0,0
19,Hymenolepsis,0,0,0
20,Japanese Encephalitis,1,0,1
21,Lassa Fever,0,0,0
22,Legionellosis,0,0,1
23,Leishmaniasis,0,0,0
24,Leptospirosis,1,0,1
25,Listeriosis,0,0,0
26,Lujo,1,0,0
27,Lyme disease,0,0,0
28,Marburg Hemorrhagic Fever,0,0,0
29,Mumps,1,0,0
30,NDM-1,0,0,0
31,NipahVirus,0,0,0
32,Onchocerciasis,0,0,1
33,Pertussis,1,0,1
34,Rickettsiosis,1,0,1
35,Roseolo virus,0,0,0
36,Rubella,0,1,0
37,Saxitoxin Poisoning,0,0,0
38,Scabies,0,0,0
39,SchmallenbergVirus,1,0,0
40,Sleeping Sickness,1,0,1
41,Strongyloidiasis,1,0,0
42,Tetanus,0,0,0
43,Trachoma,0,0,0
44,Trichinella,0,0,0
45,Trichomoniasis,1,0,0
46,Trichuris,0,0,0
47,Tularemia,0,0,0
48,Visceral Leishmaniasis,0,0,0
49,Yaws,0,0,0
