,Disease,SVM,SSL,DNN
0,Anisakis,1,0,0
1,Ascaris,0,0,1
2,Brucellosis,1,0,1
3,Buruliulcer,0,0,0
4,Chagas disease,0,0,0
5,Chikungunya,0,0,0
6,Chlamydia Infection,0,0,0
7,Coccidioidomycosis,1,0,0
8,Congo-Crimean HF,0,0,0
9,Coxsackie Infection,0,0,0
10,CreutzfeldtJakobDisease,1,0,0
11,Dracunculus,0,0,0
12,Echinococcus,0,0,0
13,Enterobiasis,0,0,0
14,Equine encephalitis,1,0,0
15,Fasciola,0,0,0
16,Fasciolopsiasis,0,0,0
17,Giardiasis,0,0,0
18,HendraVirus,0,0,0
19,Herpes Zoster,1,0,1
20,Hymenolepsis,0,0,0
21,Kaposis Sarcoma,0,0,0
22,Lassa Fever,0,0,0
23,Leishmaniasis,0,0,0
24,Leptospirosis,1,0,1
25,Listeriosis,0,0,0
26,Lujo,0,0,0
27,Lyme disease,1,0,1
28,Lymphogranuloma,0,0,0
29,NDM-1,1,0,0
30,Onchocerciasis,0,0,0
31,Rickettsiosis,0,0,0
32,Roseolo virus,0,0,0
33,Saxitoxin Poisoning,0,0,0
34,Scabies,1,0,1
35,SchmallenbergVirus,0,0,0
36,Sleeping Sickness,0,0,0
37,Strongyloidiasis,0,0,0
38,Syphilis,1,1,1
39,Toxoplasma,1,0,0
40,Trachoma,0,0,0
41,Trichinella,0,0,0
42,Trichomoniasis,0,0,0
43,Trichuris,0,0,0
44,Tularemia,0,0,0
45,Visceral Leishmaniasis,0,0,0
46,Yaws,0,0,0
