,Disease,SVM,SSL,DNN
0,Anisakis,1,0,1
1,Ascaris,0,0,0
2,Babesiosis,0,0,0
3,Buruliulcer,0,0,0
4,Chikungunya,1,1,1
5,Chlamydia Infection,1,0,1
6,Cholera Infection,1,1,1
7,Coccidioidomycosis,0,0,0
8,Congo-Crimean HF,0,0,0
9,Coxsackie Infection,1,0,1
10,CreutzfeldtJakobDisease,1,0,0
11,Cytomegalovirus,1,0,0
12,Dracunculus,0,0,0
13,Echinococcus,1,0,1
14,Enteritis,1,0,1
15,Enterobiasis,0,0,0
16,Epstein Barr Virus,1,0,1
17,Equine encephalitis,0,0,0
18,Fasciola,0,0,0
19,Filariasis,1,0,0
20,Filovirus,1,0,0
21,Giardiasis,0,0,0
22,Gonococcal,1,0,1
23,Haemophilus influenzae Infection,1,0,0
24,HendraVirus,0,0,0
25,Hookworm,0,0,0
26,Hymenolepsis,0,0,0
27,Japanese Encephalitis,1,0,0
28,Kaposis Sarcoma,0,0,0
29,Lassa Fever,1,0,0
30,Legionellosis,1,0,1
31,Leishmaniasis,0,0,0
32,Leptospirosis,1,0,1
33,Listeriosis,0,0,0
34,Lujo,0,0,0
35,Lyme disease,1,0,0
36,Lymphogranuloma,0,0,0
37,Marburg Hemorrhagic Fever,0,0,0
38,Meningitis,1,0,1
39,NDM-1,0,0,0
40,NipahVirus,1,0,0
41,Onchocerciasis,1,0,0
42,Pertussis,1,0,1
43,Pneumococcal Infection,1,0,1
44,Pneumonia,1,0,0
45,Poliomyelitis,1,1,1
46,Q Fever,1,0,0
47,Rickettsiosis,1,0,0
48,Roseolo virus,0,0,0
49,Rubella,1,1,1
50,Saxitoxin Poisoning,0,0,0
51,Scabies,1,0,0
52,Schistosomiasis,0,0,0
53,SchmallenbergVirus,0,0,0
54,Sleeping Sickness,1,0,0
55,Smallpox,1,0,1
56,Strongyloidiasis,0,0,0
57,Tetanus,1,0,0
58,Toxoplasma,1,0,1
59,Trachoma,0,0,0
60,Trichinella,1,0,0
61,Trichomoniasis,0,0,0
62,Trichuris,0,0,0
63,Tularemia,0,0,0
64,Visceral Leishmaniasis,0,0,0
65,West Nile Disease,1,0,1
66,Yaws,0,0,0
