,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,1,0,0
2,Babesiosis,1,0,0
3,Buruliulcer,0,0,0
4,Chagas disease,1,0,0
5,Chikungunya,1,0,0
6,Cholera Infection,1,1,0
7,Coccidioidomycosis,0,0,0
8,CreutzfeldtJakobDisease,1,0,0
9,Diphtheria,1,1,1
10,Dracunculus,0,0,0
11,Echinococcus,0,0,0
12,Enterobiasis,0,0,0
13,Equine encephalitis,1,0,0
14,Fasciola,1,0,0
15,Fasciolopsiasis,0,0,0
16,Filariasis,1,0,0
17,Filovirus,0,0,0
18,Giardiasis,1,0,0
19,Haemophilus influenzae Infection,1,0,0
20,HendraVirus,0,0,0
21,Hymenolepsis,0,0,0
22,Japanese Encephalitis,1,0,0
23,Lassa Fever,0,0,0
24,Legionellosis,0,0,0
25,Leishmaniasis,0,0,0
26,Leptospirosis,1,0,1
27,Listeriosis,0,0,0
28,Lujo,1,0,0
29,Lyme disease,0,0,0
30,Marburg Hemorrhagic Fever,0,0,0
31,Mumps,1,0,0
32,NDM-1,0,0,0
33,NipahVirus,0,0,0
34,Onchocerciasis,0,0,1
35,Pertussis,1,0,1
36,Rickettsiosis,1,0,0
37,Roseolo virus,0,0,0
38,Rubella,0,1,0
39,Saxitoxin Poisoning,1,0,0
40,Scabies,1,0,0
41,SchmallenbergVirus,1,0,0
42,Sleeping Sickness,1,0,0
43,Strongyloidiasis,1,0,0
44,Syphilis,0,1,0
45,Tetanus,0,0,0
46,Trachoma,0,0,0
47,Trichinella,0,0,0
48,Trichomoniasis,1,0,0
49,Trichuris,0,0,0
50,Tularemia,0,0,0
51,Visceral Leishmaniasis,0,0,0
52,Yaws,0,0,0
53,Zika Virus,0,1,1
