,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Buruliulcer,0,0,0
3,Chagas disease,0,0,0
4,Chickenpox,1,0,0
5,Chikungunya,0,0,0
6,Chlamydia Infection,0,0,0
7,Coccidioidomycosis,0,0,0
8,Congo-Crimean HF,0,0,0
9,CreutzfeldtJakobDisease,0,0,0
10,Cytomegalovirus,0,0,0
11,Dracunculus,0,0,0
12,Echinococcus,0,0,0
13,Enterobiasis,0,0,0
14,Epstein Barr Virus,0,0,0
15,Fasciola,0,0,0
16,Fasciolopsiasis,0,0,0
17,Giardiasis,0,0,0
18,HendraVirus,0,0,0
19,Herpes Zoster,1,0,1
20,Hymenolepsis,0,0,0
21,Kaposis Sarcoma,0,0,0
22,Lassa Fever,0,0,0
23,Leishmaniasis,0,0,0
24,Leptospirosis,0,0,0
25,Listeriosis,0,0,0
26,Lujo,0,0,0
27,Lymphogranuloma,0,0,0
28,Meningitis,0,0,0
29,Mumps,0,0,0
30,NDM-1,0,0,0
31,NipahVirus,0,0,0
32,Nosocomial,0,0,0
33,Onchocerciasis,0,0,0
34,Rabies,0,1,0
35,Rickettsiosis,0,0,0
36,Roseolo virus,0,0,0
37,Rubella,0,0,0
38,Saxitoxin Poisoning,0,0,0
39,Scabies,0,0,1
40,SchmallenbergVirus,0,0,0
41,Sleeping Sickness,0,0,0
42,Strongyloidiasis,0,0,0
43,Syphilis,1,0,1
44,Toxoplasma,1,0,0
45,Trachoma,0,0,0
46,Trichinella,0,0,0
47,Trichomoniasis,0,0,0
48,Trichuris,0,0,0
49,Tularemia,0,0,0
50,Viral hepatitis,0,1,0
51,Visceral Leishmaniasis,0,0,0
52,Yaws,0,0,0
