,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Anthrax,1,0,1
2,Ascaris,0,0,1
3,Babesiosis,0,0,1
4,Brucellosis,1,0,1
5,Buruliulcer,1,0,0
6,Chikungunya,0,0,1
7,Chlamydia Infection,0,0,0
8,Coccidioidomycosis,1,0,0
9,Congo-Crimean HF,0,0,0
10,Coxsackie Infection,0,0,0
11,CreutzfeldtJakobDisease,0,0,0
12,Echinococcus,0,0,0
13,Enterobiasis,0,0,0
14,Equine encephalitis,0,0,0
15,Fasciola,0,0,0
16,Fasciolopsiasis,0,0,0
17,Giardiasis,0,0,0
18,HendraVirus,0,0,0
19,Hepatitis E,1,0,1
20,Hymenolepsis,0,0,0
21,Kaposis Sarcoma,0,0,0
22,Lassa Fever,0,0,0
23,Legionellosis,1,0,1
24,Leptospirosis,1,0,1
25,Listeriosis,1,0,0
26,Lujo,0,0,0
27,Lyme disease,0,0,1
28,Lymphogranuloma,0,0,0
29,NDM-1,1,0,0
30,Roseolo virus,0,0,0
31,STD,1,1,1
32,Saxitoxin Poisoning,0,0,0
33,Scabies,1,0,1
34,SchmallenbergVirus,0,0,0
35,Strongyloidiasis,0,0,0
36,Syphilis,1,1,1
37,Trichinella,0,0,1
38,Trichomoniasis,0,0,0
39,Trichuris,1,0,0
40,Tularemia,0,0,0
41,Visceral Leishmaniasis,1,0,0
42,Yaws,1,0,0
43,Yellow Fever,1,1,1
