,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,0,0,0
2,Brucellosis,0,0,1
3,Buruliulcer,0,0,0
4,Chagas disease,0,0,0
5,Chikungunya,0,0,0
6,Chlamydia Infection,0,0,0
7,Coccidioidomycosis,0,0,0
8,Congo-Crimean HF,0,0,0
9,Coxsackie Infection,0,0,0
10,CreutzfeldtJakobDisease,0,0,0
11,Cytomegalovirus,0,0,0
12,Dracunculus,0,0,0
13,Echinococcus,0,0,0
14,Enterobiasis,1,0,0
15,Epstein Barr Virus,0,0,0
16,Fasciola,0,0,0
17,Fasciolopsiasis,0,0,0
18,Giardiasis,0,0,0
19,HendraVirus,0,0,0
20,Herpes Zoster,1,0,1
21,Hookworm,0,0,0
22,Hymenolepsis,0,0,0
23,Kaposis Sarcoma,0,0,0
24,Lassa Fever,0,0,0
25,Leishmaniasis,0,0,0
26,Leptospirosis,1,0,0
27,Listeriosis,0,0,0
28,Lujo,0,0,0
29,Lyme disease,0,0,0
30,Lymphogranuloma,0,0,0
31,Meningitis,1,0,1
32,Mumps,0,0,0
33,NDM-1,0,0,0
34,NipahVirus,0,0,0
35,Nosocomial,0,0,0
36,Onchocerciasis,0,0,0
37,Rabies,1,1,1
38,Roseolo virus,0,0,0
39,Rubella,1,0,1
40,Saxitoxin Poisoning,0,0,0
41,Scabies,0,0,0
42,SchmallenbergVirus,0,0,0
43,Sleeping Sickness,0,0,0
44,Strongyloidiasis,0,0,0
45,Syphilis,1,0,1
46,Toxoplasma,0,0,0
47,Trachoma,0,0,0
48,Trichinella,0,0,0
49,Trichomoniasis,0,0,0
50,Trichuris,0,0,0
51,Tularemia,0,0,0
52,Viral hepatitis,0,1,0
53,Visceral Leishmaniasis,0,0,0
54,Yaws,0,0,0
