,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,56.0,38.0,2.0,24.0,15.0,33.0,52.0,0.0,4.0,29.0,9.0,3.0,14.0,37.0,1.0,45.0,4.0,6683.0,0.0,3.0,36.0,55.0,50.0,22.0,3.0,286.0,12.0,33.0,18.0,0.0,12.0,8.0,77.0,1.0,0.0,6.0,1.0,66.0,25.0,8.0,25.0,37.0,34.0,0.0,27.0,82.0,163.0,12.0,177.0,47.0,1.0,0.0,146.0,0.0,7.0,2.0,24.0,25.0,27.0,22.0,10.0,5.0,26.0,3.0,69.0,50.0,1.0,225.0,56.0,1.0,0.0,0.0,7.0,27.0,7.0,1.0,52.0,78.0,65.0,0.0,60.0,8.0,23.0,0.0,22.0,10.0,18.0,110.0,40.0,1.0,57.0,5.0,0.0,21.0,3.0,98.0,6.0,114.0,25.0,30.0,8.0,45.0,2.0,30.0,9.0,1.0,99.0,6.0,13.0,17.0,2.0,92.0,0.0,12.0,84.0
Peru,1.0,3.0,0.0,7.0,0.0,0.0,23.0,0.0,1.0,4.0,7.0,8.0,1.0,2.0,2.0,24.0,0.0,1658.0,0.0,0.0,1.0,4.0,40.0,8.0,0.0,21.0,1.0,11.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,7.0,3.0,0.0,6.0,41.0,5.0,0.0,18.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,18.0,22.0,1.0,51.0,3.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,10.0,17.0,8.0,1.0,21.0,1.0,0.0,0.0,34.0,3.0,4.0,29.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,3.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,4.0,0.0,0.0,2.0,0.0,13.0,20.0
Italy,19.0,10.0,1.0,379.0,8.0,51.0,93.0,1.0,17.0,3.0,10.0,56.0,3.0,13.0,1.0,101.0,0.0,16663.0,0.0,2.0,72.0,79.0,46.0,40.0,0.0,213.0,6.0,62.0,8.0,0.0,42.0,9.0,472.0,2.0,0.0,7.0,1.0,80.0,38.0,5.0,24.0,23.0,7.0,0.0,20.0,186.0,437.0,6.0,360.0,324.0,1.0,0.0,317.0,11.0,0.0,0.0,40.0,11.0,45.0,6.0,0.0,0.0,23.0,0.0,69.0,185.0,6.0,419.0,46.0,12.0,1.0,0.0,14.0,52.0,8.0,36.0,64.0,67.0,104.0,2.0,19.0,257.0,32.0,1.0,38.0,130.0,600.0,172.0,95.0,4.0,71.0,3.0,0.0,9.0,2.0,109.0,10.0,126.0,54.0,17.0,55.0,15.0,0.0,36.0,0.0,0.0,53.0,6.0,38.0,39.0,0.0,48.0,0.0,25.0,74.0
Georgia,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,3.0,350.0,0.0,0.0,13.0,2.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,3.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,9.0,2.0,18.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,6.0,6.0
China,4.0,158.0,2.0,700.0,6.0,18.0,33.0,0.0,11.0,5.0,30.0,8.0,7.0,30.0,11.0,384.0,0.0,4717.0,4.0,7.0,411.0,41.0,69.0,76.0,0.0,1082.0,56.0,288.0,30.0,0.0,13.0,8.0,233.0,1.0,2.0,8.0,4.0,142.0,17.0,3.0,4.0,18.0,17.0,55.0,47.0,239.0,187.0,54.0,276.0,20.0,4.0,0.0,780.0,51.0,4.0,2.0,6.0,3.0,16.0,42.0,0.0,2.0,7.0,0.0,724.0,220.0,71.0,486.0,13.0,4.0,8.0,1.0,17.0,1152.0,6.0,7.0,48.0,3018.0,92.0,11.0,29.0,47.0,13.0,1.0,26.0,11.0,716.0,59.0,76.0,2.0,6.0,12.0,0.0,16.0,2.0,113.0,2.0,233.0,38.0,106.0,23.0,22.0,2.0,2.0,0.0,1.0,126.0,0.0,80.0,178.0,1.0,6.0,1.0,46.0,164.0
Egypt,1.0,0.0,1.0,102.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,5.0,9.0,7.0,0.0,725.0,1.0,0.0,4.0,0.0,2.0,117.0,1.0,13.0,1.0,246.0,2.0,0.0,1.0,0.0,16.0,1.0,0.0,5.0,0.0,211.0,6.0,3.0,4.0,0.0,0.0,0.0,3.0,8.0,80.0,2.0,7.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,53.0,1.0,10.0,1.0,0.0,1.0,20.0,2.0,0.0,6.0,2.0,34.0,0.0,2.0,1.0,1.0,0.0,7.0,29.0,6.0,28.0,5.0,0.0,3.0,10.0,0.0,1.0,0.0,3.0,1.0,3.0,19.0,4.0,2.0,11.0,3.0,0.0,0.0,0.0,17.0,0.0,2.0,26.0,0.0,2.0,0.0,6.0,4.0
Russian Federation,36.0,63.0,1.0,134.0,1.0,34.0,14.0,0.0,10.0,1.0,34.0,12.0,6.0,23.0,2.0,141.0,6.0,4251.0,38.0,2.0,50.0,15.0,30.0,47.0,3.0,249.0,45.0,111.0,26.0,7.0,3.0,2.0,44.0,0.0,0.0,2.0,1.0,328.0,44.0,5.0,5.0,23.0,8.0,0.0,84.0,133.0,62.0,8.0,27.0,14.0,1.0,0.0,1242.0,0.0,0.0,0.0,3.0,0.0,10.0,10.0,3.0,1.0,126.0,0.0,72.0,37.0,4.0,347.0,67.0,4.0,0.0,0.0,131.0,7.0,10.0,61.0,10.0,112.0,61.0,1.0,145.0,13.0,9.0,0.0,157.0,64.0,478.0,33.0,30.0,0.0,4.0,3.0,0.0,4.0,1.0,36.0,10.0,70.0,40.0,17.0,41.0,10.0,0.0,48.0,3.0,0.0,162.0,8.0,53.0,69.0,0.0,69.0,1.0,99.0,76.0
Norway,2.0,1.0,0.0,103.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,3.0,7.0,3.0,5.0,13.0,8.0,428.0,0.0,0.0,14.0,2.0,0.0,4.0,0.0,23.0,0.0,15.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,6.0,0.0,2.0,9.0,7.0,25.0,1.0,3.0,2.0,0.0,1.0,73.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,5.0,0.0,9.0,0.0,11.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,10.0,6.0,1.0,0.0,3.0,135.0,0.0,0.0,2.0,5.0,8.0,4.0,7.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
Cabo Verde,7.0,2.0,0.0,7.0,0.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,528.0,0.0,0.0,12.0,2.0,9.0,0.0,1.0,20.0,1.0,4.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,3.0,1.0,5.0,0.0,5.0,22.0,23.0,0.0,7.0,2.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,7.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,11.0,5.0,96.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,9.0
Germany,2.0,8.0,0.0,693.0,18.0,29.0,8.0,0.0,16.0,2.0,35.0,27.0,20.0,22.0,4.0,179.0,4.0,7195.0,0.0,24.0,84.0,41.0,44.0,51.0,2.0,338.0,16.0,131.0,42.0,0.0,63.0,2.0,134.0,2.0,0.0,1.0,11.0,92.0,23.0,0.0,23.0,11.0,59.0,2.0,93.0,165.0,128.0,27.0,118.0,50.0,0.0,0.0,792.0,1.0,4.0,2.0,37.0,7.0,58.0,19.0,3.0,0.0,71.0,0.0,66.0,143.0,35.0,1002.0,15.0,5.0,1.0,0.0,15.0,58.0,7.0,24.0,21.0,43.0,50.0,21.0,58.0,215.0,6.0,2.0,32.0,27.0,107.0,76.0,196.0,0.0,2.0,11.0,2.0,12.0,41.0,95.0,0.0,143.0,18.0,2.0,105.0,21.0,4.0,13.0,0.0,0.0,113.0,10.0,59.0,27.0,3.0,117.0,0.0,12.0,147.0
