,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,8.0,1.0,0.0,3.0,3.0,1.0,23.0,0.0,1581.0,0.0,2.0,13.0,4.0,31.0,20.0,0.0,26.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,17.0,73.0,34.0,0.0,7.0,1.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,0.0,2.0,0.0,0.0,7.0,70.0,0.0,126.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,8.0,18.0,0.0,19.0,0.0,0.0,0.0,8.0,9.0,9.0,39.0,7.0,0.0,4.0,5.0,0.0,1.0,1.0,6.0,1.0,16.0,6.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,93.0,0.0,2.0,4.0,1.0,0.0,0.0,26.0,10.0
Spain,38.0,4.0,2.0,49.0,12.0,73.0,149.0,1.0,10.0,26.0,31.0,20.0,12.0,87.0,2.0,153.0,4.0,12416.0,6.0,4.0,83.0,42.0,52.0,229.0,2.0,588.0,6.0,62.0,6.0,0.0,10.0,12.0,131.0,2.0,0.0,8.0,2.0,99.0,19.0,14.0,15.0,34.0,17.0,1.0,82.0,128.0,339.0,11.0,341.0,20.0,2.0,0.0,256.0,0.0,0.0,2.0,21.0,16.0,135.0,19.0,8.0,13.0,10.0,1.0,154.0,85.0,5.0,353.0,89.0,3.0,0.0,0.0,2.0,24.0,13.0,0.0,17.0,82.0,51.0,10.0,53.0,26.0,21.0,0.0,38.0,21.0,89.0,221.0,78.0,1.0,37.0,4.0,0.0,6.0,1.0,106.0,8.0,143.0,47.0,34.0,20.0,22.0,1.0,20.0,6.0,1.0,191.0,1.0,29.0,25.0,4.0,142.0,0.0,41.0,173.0
Cabo Verde,3.0,2.0,0.0,14.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,14.0,0.0,642.0,0.0,0.0,15.0,3.0,7.0,1.0,1.0,29.0,1.0,1.0,0.0,0.0,2.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,3.0,1.0,5.0,0.0,5.0,24.0,28.0,0.0,11.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,7.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,14.0,11.0,135.0,1.0,2.0,2.0,0.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,9.0
China,2.0,33.0,3.0,1078.0,4.0,19.0,32.0,0.0,42.0,8.0,18.0,11.0,7.0,42.0,8.0,750.0,0.0,5875.0,1.0,2.0,495.0,45.0,77.0,105.0,0.0,1795.0,103.0,411.0,41.0,0.0,19.0,14.0,146.0,0.0,0.0,4.0,0.0,154.0,52.0,6.0,11.0,11.0,36.0,55.0,96.0,345.0,183.0,42.0,374.0,26.0,3.0,0.0,1605.0,34.0,7.0,6.0,11.0,0.0,19.0,8.0,0.0,5.0,14.0,0.0,1099.0,201.0,120.0,814.0,24.0,11.0,2.0,10.0,13.0,1502.0,9.0,9.0,74.0,3110.0,87.0,2.0,52.0,96.0,14.0,5.0,31.0,37.0,1424.0,99.0,52.0,2.0,3.0,8.0,0.0,16.0,2.0,158.0,1.0,408.0,28.0,11.0,32.0,23.0,0.0,4.0,0.0,1.0,154.0,0.0,65.0,209.0,1.0,15.0,55.0,46.0,211.0
Viet Nam,2.0,1.0,3.0,76.0,0.0,18.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,0.0,51.0,0.0,1163.0,0.0,1.0,22.0,7.0,9.0,2.0,3.0,43.0,0.0,23.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,11.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,25.0,83.0,1.0,8.0,3.0,0.0,0.0,84.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,22.0,28.0,0.0,18.0,2.0,0.0,0.0,0.0,2.0,27.0,0.0,0.0,3.0,602.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,50.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,8.0,3.0,0.0,1.0,1.0,4.0,5.0
Italy,16.0,2.0,2.0,86.0,21.0,69.0,130.0,0.0,15.0,16.0,24.0,42.0,4.0,44.0,2.0,227.0,0.0,25578.0,1.0,2.0,93.0,110.0,71.0,123.0,2.0,575.0,4.0,100.0,16.0,0.0,18.0,1.0,549.0,1.0,0.0,17.0,0.0,62.0,55.0,5.0,8.0,29.0,4.0,1.0,26.0,218.0,406.0,2.0,539.0,416.0,0.0,1.0,419.0,1.0,1.0,0.0,124.0,22.0,84.0,10.0,6.0,2.0,30.0,0.0,151.0,256.0,4.0,667.0,78.0,8.0,0.0,0.0,8.0,76.0,5.0,19.0,79.0,122.0,129.0,3.0,54.0,73.0,16.0,0.0,96.0,184.0,1366.0,117.0,86.0,0.0,37.0,3.0,1.0,11.0,7.0,179.0,2.0,223.0,34.0,20.0,40.0,19.0,0.0,13.0,0.0,2.0,100.0,6.0,93.0,68.0,0.0,54.0,0.0,25.0,163.0
United Kingdom,1.0,16.0,2.0,287.0,10.0,48.0,9.0,2.0,157.0,20.0,31.0,27.0,32.0,66.0,15.0,835.0,1.0,19474.0,0.0,38.0,548.0,86.0,83.0,130.0,4.0,1132.0,11.0,497.0,19.0,0.0,96.0,14.0,304.0,1.0,0.0,13.0,5.0,474.0,41.0,9.0,87.0,23.0,18.0,2.0,202.0,476.0,351.0,16.0,174.0,66.0,13.0,0.0,3262.0,9.0,1.0,2.0,31.0,16.0,98.0,28.0,7.0,7.0,59.0,1.0,441.0,414.0,18.0,819.0,98.0,56.0,0.0,2.0,96.0,114.0,21.0,17.0,58.0,166.0,229.0,4.0,67.0,257.0,4.0,4.0,92.0,47.0,410.0,173.0,440.0,1.0,27.0,28.0,0.0,25.0,19.0,312.0,2.0,517.0,48.0,140.0,30.0,32.0,6.0,18.0,2.0,2.0,277.0,4.0,368.0,48.0,8.0,17.0,0.0,118.0,309.0
Argentina,3.0,1.0,0.0,17.0,2.0,8.0,78.0,0.0,2.0,32.0,6.0,13.0,2.0,9.0,0.0,22.0,0.0,2873.0,0.0,4.0,44.0,18.0,190.0,22.0,0.0,92.0,11.0,26.0,6.0,0.0,2.0,1.0,19.0,0.0,0.0,1.0,0.0,12.0,5.0,0.0,0.0,3.0,45.0,0.0,72.0,80.0,38.0,7.0,16.0,1.0,2.0,0.0,55.0,0.0,0.0,0.0,2.0,2.0,393.0,4.0,0.0,1.0,0.0,0.0,25.0,14.0,0.0,95.0,3.0,0.0,0.0,0.0,6.0,1.0,5.0,20.0,8.0,168.0,18.0,0.0,65.0,11.0,1.0,0.0,15.0,21.0,26.0,75.0,7.0,0.0,6.0,10.0,0.0,1.0,1.0,15.0,1.0,66.0,15.0,24.0,5.0,11.0,0.0,37.0,4.0,0.0,37.0,0.0,13.0,13.0,0.0,2.0,0.0,30.0,86.0
Japan,6.0,5.0,2.0,142.0,5.0,4.0,2.0,1.0,14.0,1.0,2.0,1.0,8.0,8.0,2.0,134.0,0.0,3791.0,0.0,0.0,75.0,35.0,39.0,5.0,0.0,87.0,0.0,88.0,99.0,0.0,14.0,0.0,81.0,2.0,0.0,8.0,0.0,117.0,8.0,0.0,5.0,9.0,0.0,0.0,7.0,35.0,76.0,24.0,65.0,17.0,2.0,0.0,388.0,7.0,3.0,22.0,5.0,0.0,20.0,3.0,0.0,0.0,11.0,0.0,39.0,27.0,1.0,151.0,10.0,2.0,1.0,0.0,16.0,38.0,11.0,4.0,18.0,197.0,26.0,0.0,6.0,24.0,6.0,2.0,14.0,20.0,92.0,26.0,8.0,1.0,5.0,6.0,0.0,4.0,4.0,11.0,5.0,140.0,9.0,6.0,15.0,4.0,0.0,1.0,1.0,0.0,32.0,0.0,18.0,20.0,1.0,3.0,0.0,5.0,230.0
Indonesia,1.0,7.0,3.0,30.0,1.0,32.0,5.0,1.0,3.0,1.0,5.0,50.0,2.0,9.0,2.0,90.0,0.0,2944.0,0.0,0.0,65.0,9.0,160.0,7.0,0.0,116.0,5.0,53.0,1.0,0.0,1.0,4.0,46.0,3.0,0.0,10.0,1.0,18.0,3.0,0.0,4.0,7.0,2.0,3.0,23.0,82.0,53.0,4.0,50.0,14.0,3.0,0.0,305.0,0.0,0.0,0.0,1.0,2.0,27.0,12.0,0.0,0.0,4.0,0.0,52.0,89.0,1.0,176.0,6.0,4.0,0.0,2.0,4.0,12.0,23.0,2.0,11.0,71.0,20.0,1.0,19.0,10.0,6.0,0.0,19.0,3.0,78.0,43.0,20.0,0.0,4.0,5.0,0.0,1.0,3.0,11.0,22.0,89.0,10.0,0.0,12.0,21.0,1.0,2.0,5.0,2.0,82.0,0.0,27.0,5.0,2.0,1.0,1.0,43.0,163.0
Malaysia,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,138.0,7.0,996.0,0.0,0.0,17.0,1.0,21.0,0.0,0.0,39.0,0.0,31.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,13.0,18.0,0.0,0.0,0.0,2.0,5.0,3.0,19.0,20.0,0.0,1.0,0.0,5.0,0.0,47.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,157.0,12.0,1.0,12.0,3.0,0.0,0.0,22.0,0.0,75.0,10.0,1.0,6.0,76.0,9.0,0.0,13.0,5.0,0.0,0.0,2.0,0.0,40.0,3.0,31.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,9.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,4.0,0.0,1.0,0.0,2.0,28.0
United States,7.0,128.0,28.0,255.0,90.0,154.0,90.0,4.0,190.0,99.0,90.0,143.0,170.0,132.0,65.0,2886.0,1.0,35111.0,24.0,16.0,2394.0,434.0,338.0,102.0,15.0,3461.0,49.0,808.0,87.0,0.0,118.0,121.0,722.0,1.0,1.0,48.0,48.0,592.0,217.0,55.0,92.0,119.0,127.0,4.0,371.0,965.0,1249.0,29.0,949.0,355.0,65.0,1.0,5276.0,7.0,11.0,12.0,120.0,22.0,215.0,62.0,21.0,11.0,416.0,1.0,1367.0,705.0,98.0,2133.0,145.0,40.0,1.0,11.0,166.0,140.0,92.0,88.0,247.0,783.0,690.0,4.0,349.0,683.0,46.0,21.0,226.0,114.0,813.0,913.0,766.0,15.0,52.0,51.0,3.0,63.0,55.0,779.0,33.0,1206.0,389.0,111.0,182.0,142.0,9.0,14.0,25.0,16.0,530.0,18.0,373.0,295.0,4.0,274.0,2.0,419.0,1501.0
Mexico,1.0,7.0,3.0,12.0,2.0,11.0,30.0,0.0,3.0,22.0,30.0,22.0,2.0,48.0,9.0,33.0,0.0,3594.0,0.0,2.0,26.0,8.0,130.0,16.0,0.0,115.0,0.0,46.0,8.0,1.0,2.0,0.0,24.0,0.0,0.0,2.0,0.0,27.0,1.0,0.0,6.0,22.0,4.0,1.0,25.0,80.0,67.0,1.0,41.0,2.0,0.0,0.0,157.0,0.0,0.0,0.0,1.0,3.0,35.0,3.0,0.0,0.0,6.0,0.0,33.0,37.0,0.0,151.0,9.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,4.0,16.0,44.0,0.0,24.0,18.0,16.0,0.0,47.0,37.0,50.0,91.0,15.0,6.0,3.0,2.0,0.0,4.0,1.0,50.0,4.0,66.0,27.0,0.0,10.0,4.0,0.0,2.0,2.0,1.0,62.0,0.0,34.0,13.0,0.0,10.0,0.0,18.0,132.0
Norway,2.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,10.0,5.0,6.0,35.0,0.0,838.0,0.0,0.0,24.0,1.0,4.0,16.0,0.0,32.0,0.0,14.0,1.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,5.0,5.0,0.0,2.0,21.0,24.0,26.0,1.0,5.0,0.0,0.0,0.0,71.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,15.0,12.0,1.0,26.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,1.0,6.0,6.0,6.0,0.0,1.0,15.0,8.0,0.0,7.0,6.0,17.0,12.0,77.0,0.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,16.0,27.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,8.0
Chile,1.0,0.0,0.0,10.0,2.0,1.0,11.0,0.0,0.0,7.0,1.0,5.0,0.0,3.0,0.0,6.0,0.0,1421.0,0.0,0.0,8.0,3.0,24.0,1.0,0.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,35.0,0.0,9.0,34.0,4.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,0.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,17.0,7.0,2.0,0.0,5.0,1.0,11.0,9.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,5.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,21.0
