,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Ecuador,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,10.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,19.0,27.0,0.0,15.0,8.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,18.0,4.0,10.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,8.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,22.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,20.0
Spain,53.0,7.0,1.0,13.0,4.0,217.0,122.0,0.0,9.0,25.0,12.0,120.0,100.0,39.0,6.0,85.0,5.0,5.0,1.0,0.0,30.0,33.0,125.0,49.0,0.0,188.0,6.0,34.0,7.0,0.0,12.0,0.0,305.0,6.0,0.0,1.0,2.0,715.0,86.0,1.0,67.0,37.0,2.0,0.0,56.0,134.0,344.0,1.0,118.0,14.0,0.0,0.0,54.0,0.0,0.0,0.0,29.0,19.0,30.0,10.0,939.0,1.0,19.0,1.0,3.0,117.0,1.0,533.0,143.0,37.0,1.0,0.0,24.0,30.0,2.0,5.0,5.0,29.0,31.0,4.0,78.0,10.0,19.0,0.0,28.0,17.0,8.0,283.0,217.0,1.0,22.0,3.0,0.0,17.0,3.0,33.0,1.0,30.0,114.0,44.0,10.0,53.0,0.0,54.0,10.0,0.0,210.0,60.0,26.0,23.0,2.0,12.0,0.0,22.0,170.0
United States,11.0,121.0,18.0,122.0,87.0,202.0,98.0,7.0,69.0,117.0,296.0,175.0,230.0,126.0,96.0,2509.0,1.0,95.0,69.0,24.0,1184.0,487.0,314.0,99.0,35.0,1876.0,15.0,1133.0,122.0,0.0,269.0,580.0,1140.0,6.0,0.0,31.0,39.0,756.0,232.0,23.0,132.0,100.0,55.0,4.0,952.0,1848.0,1885.0,22.0,1121.0,419.0,66.0,1.0,2335.0,17.0,8.0,15.0,350.0,26.0,170.0,34.0,28.0,0.0,503.0,2.0,154.0,499.0,34.0,4613.0,184.0,140.0,3.0,11.0,132.0,129.0,31.0,187.0,179.0,223.0,389.0,12.0,417.0,657.0,49.0,10.0,184.0,414.0,120.0,1259.0,779.0,47.0,49.0,34.0,0.0,135.0,84.0,310.0,6.0,438.0,222.0,142.0,114.0,243.0,12.0,19.0,59.0,8.0,602.0,8.0,505.0,314.0,0.0,399.0,0.0,311.0,1249.0
Belgium,1.0,1.0,0.0,44.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,6.0,8.0,10.0,0.0,50.0,0.0,2.0,1.0,0.0,9.0,3.0,14.0,10.0,0.0,113.0,2.0,13.0,0.0,0.0,11.0,0.0,45.0,0.0,0.0,1.0,0.0,21.0,2.0,0.0,4.0,1.0,0.0,0.0,7.0,15.0,25.0,0.0,10.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,76.0,0.0,11.0,0.0,6.0,0.0,3.0,0.0,2.0,29.0,0.0,171.0,6.0,0.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,1.0,29.0,1.0,7.0,2.0,0.0,0.0,12.0,9.0,1.0,16.0,38.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,6.0,9.0,4.0,4.0,2.0,0.0,1.0,2.0,1.0,44.0,0.0,2.0,10.0,0.0,2.0,0.0,4.0,13.0
Australia,2.0,4.0,0.0,24.0,2.0,9.0,8.0,9.0,7.0,4.0,2.0,10.0,46.0,1.0,5.0,158.0,0.0,0.0,2.0,2.0,42.0,18.0,37.0,15.0,0.0,48.0,2.0,86.0,5.0,0.0,0.0,5.0,107.0,3.0,0.0,0.0,1.0,88.0,23.0,3.0,76.0,3.0,2.0,38.0,27.0,113.0,85.0,1.0,25.0,5.0,5.0,1.0,691.0,0.0,0.0,0.0,7.0,0.0,14.0,25.0,9.0,0.0,11.0,2.0,3.0,20.0,4.0,202.0,54.0,2.0,0.0,7.0,9.0,3.0,0.0,8.0,26.0,27.0,21.0,9.0,16.0,11.0,1.0,1.0,5.0,16.0,7.0,113.0,173.0,0.0,6.0,2.0,1.0,58.0,3.0,3.0,0.0,98.0,45.0,1.0,3.0,75.0,0.0,0.0,3.0,0.0,67.0,1.0,38.0,16.0,0.0,12.0,0.0,15.0,81.0
Malaysia,1.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,0.0,36.0,0.0,6.0,0.0,1.0,2.0,1.0,38.0,2.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,0.0,1.0,1.0,4.0,6.0,15.0,22.0,0.0,3.0,0.0,0.0,0.0,39.0,4.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,53.0,31.0,0.0,152.0,1.0,2.0,0.0,23.0,2.0,6.0,0.0,0.0,6.0,7.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,21.0
Congo,1.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,3.0,5.0,33.0,2.0,71.0,2.0,165.0,66.0,7.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,7317.0,0.0,35.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,39.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,167.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,16.0,0.0,10.0,282.0,86.0,740.0,4.0,2.0,0.0,0.0,0.0,44.0,9.0,2.0,1.0,0.0,141.0,0.0,3.0,2.0,7.0,0.0,5.0,7.0,9.0,13.0,7.0,0.0,0.0,7.0,0.0,0.0,5.0,9.0,0.0,83.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,25.0,1.0,68.0,8.0,1.0,14.0,0.0,37.0,123.0
Chile,1.0,1.0,0.0,22.0,0.0,4.0,12.0,0.0,1.0,4.0,4.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,1.0,0.0,18.0,6.0,5.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,75.0,0.0,14.0,13.0,7.0,0.0,4.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,44.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,9.0,32.0,7.0,0.0,1.0,2.0,3.0,37.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,42.0
Hong Kong,1.0,1.0,0.0,69.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,56.0,0.0,10.0,0.0,3.0,257.0,0.0,27.0,0.0,0.0,69.0,2.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0,5.0,33.0,2.0,1.0,0.0,0.0,131.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,47.0,1.0,0.0,5.0,5.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,11.0,234.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,19.0,0.0,0.0,0.0,4.0,10.0
"Bolivia, Plurinational State of",2.0,0.0,2.0,0.0,0.0,6.0,13.0,0.0,0.0,12.0,10.0,5.0,1.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,4.0,0.0,178.0,3.0,21.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,163.0,0.0,7.0,15.0,10.0,0.0,2.0,1.0,1.0,0.0,146.0,0.0,0.0,0.0,0.0,9.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,17.0,3.0,29.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,35.0,6.0,2.0,0.0,6.0,2.0,0.0,11.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,28.0,0.0,11.0,3.0,0.0,0.0,0.0,15.0,43.0
