,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,45.0,11.0,2.0,73.0,3.0,34.0,41.0,0.0,18.0,1.0,91.0,30.0,12.0,7.0,1.0,168.0,1.0,27.0,0.0,4.0,30.0,38.0,51.0,47.0,0.0,180.0,7.0,34.0,24.0,0.0,10.0,1.0,336.0,6.0,0.0,11.0,0.0,67.0,44.0,5.0,3.0,94.0,6.0,0.0,57.0,308.0,534.0,2.0,205.0,144.0,0.0,0.0,590.0,1.0,1.0,2.0,282.0,8.0,235.0,29.0,4.0,0.0,10.0,1.0,6.0,218.0,0.0,1265.0,884.0,17.0,1.0,0.0,28.0,135.0,1.0,141.0,158.0,39.0,222.0,2.0,25.0,32.0,11.0,0.0,49.0,501.0,5.0,370.0,148.0,5.0,234.0,9.0,3.0,1.0,12.0,51.0,0.0,205.0,50.0,23.0,39.0,41.0,0.0,46.0,3.0,2.0,135.0,0.0,35.0,51.0,0.0,92.0,0.0,16.0,99.0
Croatia,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,10.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,35.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Spain,82.0,1.0,2.0,12.0,4.0,40.0,88.0,0.0,3.0,40.0,14.0,17.0,17.0,24.0,0.0,74.0,1.0,11.0,1.0,1.0,20.0,19.0,216.0,82.0,0.0,176.0,7.0,24.0,2.0,0.0,2.0,2.0,115.0,0.0,0.0,3.0,1.0,254.0,9.0,4.0,40.0,36.0,5.0,0.0,75.0,143.0,482.0,1.0,116.0,20.0,1.0,0.0,265.0,0.0,0.0,6.0,52.0,5.0,47.0,2.0,0.0,2.0,4.0,1.0,14.0,86.0,7.0,549.0,117.0,40.0,0.0,0.0,6.0,16.0,0.0,7.0,10.0,62.0,45.0,2.0,33.0,0.0,2.0,0.0,49.0,14.0,4.0,225.0,159.0,1.0,51.0,6.0,0.0,4.0,3.0,27.0,1.0,216.0,38.0,33.0,16.0,23.0,0.0,12.0,12.0,0.0,203.0,0.0,17.0,18.0,0.0,15.0,0.0,15.0,117.0
Guernsey,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
United States,7.0,117.0,6.0,178.0,49.0,181.0,73.0,1.0,61.0,47.0,265.0,138.0,146.0,133.0,68.0,2104.0,3.0,102.0,57.0,56.0,868.0,462.0,325.0,108.0,34.0,1660.0,16.0,876.0,106.0,1.0,226.0,38.0,1058.0,7.0,0.0,22.0,33.0,919.0,284.0,14.0,74.0,73.0,80.0,2.0,832.0,1727.0,1940.0,8.0,1075.0,364.0,46.0,1.0,3089.0,7.0,2.0,22.0,307.0,16.0,187.0,31.0,17.0,3.0,210.0,3.0,193.0,562.0,23.0,2626.0,235.0,171.0,0.0,7.0,203.0,78.0,20.0,166.0,107.0,247.0,566.0,6.0,347.0,677.0,44.0,7.0,126.0,364.0,106.0,1101.0,892.0,21.0,54.0,20.0,1.0,114.0,46.0,250.0,1.0,684.0,212.0,208.0,160.0,215.0,2.0,24.0,31.0,1.0,468.0,3.0,207.0,232.0,4.0,183.0,2.0,239.0,1184.0
Norway,5.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,3.0,5.0,3.0,31.0,0.0,4.0,0.0,0.0,13.0,1.0,0.0,4.0,0.0,33.0,3.0,7.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,10.0,4.0,0.0,0.0,1.0,0.0,1.0,9.0,7.0,2.0,7.0,0.0,0.0,0.0,66.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,6.0,3.0,0.0,69.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,14.0,1.0,4.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,14.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,28.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,6.0
Germany,2.0,22.0,2.0,113.0,12.0,23.0,7.0,1.0,17.0,1.0,64.0,8.0,54.0,30.0,3.0,215.0,4.0,22.0,3.0,42.0,97.0,77.0,25.0,48.0,0.0,204.0,22.0,69.0,11.0,0.0,28.0,1.0,197.0,6.0,0.0,3.0,12.0,96.0,23.0,2.0,25.0,18.0,22.0,0.0,56.0,115.0,407.0,13.0,121.0,42.0,1.0,0.0,593.0,8.0,1.0,13.0,16.0,5.0,48.0,1.0,1.0,0.0,67.0,2.0,24.0,77.0,26.0,908.0,28.0,2.0,0.0,0.0,78.0,41.0,3.0,24.0,19.0,33.0,108.0,3.0,45.0,18.0,10.0,1.0,21.0,51.0,7.0,125.0,281.0,0.0,17.0,10.0,6.0,8.0,36.0,20.0,0.0,66.0,76.0,10.0,16.0,25.0,2.0,13.0,4.0,2.0,171.0,7.0,66.0,32.0,0.0,54.0,0.0,22.0,56.0
Japan,9.0,5.0,1.0,35.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,29.0,2.0,97.0,0.0,9.0,1.0,1.0,96.0,20.0,14.0,5.0,0.0,58.0,0.0,40.0,58.0,0.0,5.0,1.0,40.0,0.0,0.0,3.0,45.0,125.0,3.0,0.0,5.0,10.0,1.0,0.0,8.0,35.0,22.0,3.0,36.0,19.0,0.0,0.0,264.0,4.0,0.0,71.0,1.0,1.0,8.0,5.0,0.0,0.0,4.0,0.0,14.0,37.0,18.0,422.0,9.0,1.0,0.0,0.0,3.0,19.0,0.0,6.0,19.0,21.0,8.0,0.0,10.0,8.0,1.0,1.0,7.0,264.0,19.0,34.0,11.0,0.0,0.0,5.0,1.0,4.0,7.0,4.0,0.0,147.0,54.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,10.0,11.0,1.0,0.0,0.0,32.0,41.0
Russian Federation,3.0,70.0,22.0,113.0,3.0,24.0,29.0,0.0,1.0,2.0,53.0,12.0,18.0,34.0,2.0,367.0,10.0,9.0,6.0,0.0,46.0,15.0,87.0,77.0,1.0,212.0,179.0,42.0,9.0,42.0,0.0,0.0,134.0,1.0,0.0,21.0,1.0,409.0,9.0,23.0,4.0,16.0,3.0,0.0,126.0,105.0,75.0,4.0,10.0,2.0,0.0,0.0,1345.0,0.0,0.0,0.0,3.0,0.0,30.0,7.0,0.0,0.0,76.0,0.0,17.0,52.0,3.0,757.0,37.0,6.0,0.0,0.0,45.0,0.0,3.0,22.0,7.0,59.0,75.0,1.0,173.0,10.0,1.0,0.0,116.0,74.0,19.0,85.0,29.0,0.0,12.0,0.0,0.0,14.0,17.0,8.0,19.0,150.0,66.0,9.0,5.0,16.0,1.0,14.0,6.0,0.0,319.0,15.0,113.0,36.0,0.0,11.0,0.0,44.0,72.0
Peru,3.0,2.0,0.0,1.0,0.0,1.0,15.0,0.0,5.0,7.0,10.0,18.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,13.0,1.0,6.0,3.0,6.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,1.0,7.0,4.0,0.0,22.0,39.0,9.0,1.0,13.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,57.0,4.0,7.0,0.0,0.0,1.0,2.0,0.0,3.0,9.0,3.0,7.0,2.0,11.0,1.0,1.0,0.0,18.0,8.0,2.0,30.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,10.0,11.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,47.0,0.0,5.0,3.0,0.0,0.0,0.0,12.0,94.0
China,1.0,9.0,4.0,284.0,2.0,7.0,6.0,1.0,7.0,0.0,2.0,2.0,12.0,33.0,3.0,619.0,0.0,12.0,3.0,5.0,168.0,16.0,69.0,41.0,0.0,239.0,99.0,122.0,19.0,0.0,15.0,0.0,81.0,2.0,0.0,3.0,18.0,234.0,51.0,1.0,25.0,6.0,1.0,0.0,29.0,210.0,127.0,29.0,74.0,8.0,1.0,0.0,640.0,22.0,0.0,2.0,2.0,5.0,32.0,7.0,0.0,0.0,1.0,1.0,34.0,150.0,13.0,288.0,37.0,10.0,3.0,2.0,19.0,994.0,1.0,7.0,51.0,58.0,84.0,0.0,159.0,20.0,8.0,0.0,162.0,19.0,130.0,48.0,53.0,0.0,0.0,17.0,0.0,117.0,4.0,13.0,0.0,171.0,32.0,17.0,7.0,12.0,0.0,2.0,0.0,4.0,102.0,0.0,19.0,131.0,0.0,24.0,0.0,23.0,56.0
Bulgaria,3.0,8.0,1.0,248.0,4.0,3.0,66.0,0.0,7.0,0.0,46.0,2.0,2.0,2.0,0.0,31.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,33.0,7.0,8.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,65.0,63.0,7.0,1.0,13.0,1.0,0.0,0.0,1536.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,11.0,0.0,1.0,20.0,0.0,594.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,74.0,12.0,14.0,65.0,8.0,0.0,0.0,54.0,155.0,0.0,14.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,79.0,58.0,0.0,2.0,2.0,0.0,152.0,1.0,0.0,77.0,1.0,4.0,5.0,0.0,17.0,0.0,2.0,13.0
United Kingdom,2.0,29.0,2.0,28.0,10.0,28.0,6.0,1.0,13.0,9.0,18.0,17.0,50.0,76.0,5.0,359.0,0.0,11.0,3.0,37.0,346.0,37.0,50.0,44.0,1.0,239.0,8.0,327.0,13.0,0.0,24.0,2.0,182.0,3.0,0.0,9.0,10.0,348.0,33.0,11.0,128.0,12.0,28.0,1.0,73.0,102.0,283.0,5.0,212.0,57.0,7.0,1.0,825.0,2.0,1.0,5.0,37.0,14.0,85.0,11.0,1.0,0.0,41.0,1.0,13.0,174.0,12.0,277.0,149.0,7.0,3.0,1.0,131.0,15.0,22.0,17.0,33.0,82.0,57.0,7.0,90.0,50.0,6.0,1.0,42.0,54.0,35.0,239.0,156.0,3.0,9.0,18.0,0.0,42.0,29.0,33.0,1.0,118.0,58.0,218.0,20.0,15.0,5.0,7.0,17.0,2.0,134.0,0.0,114.0,31.0,1.0,7.0,0.0,30.0,170.0
"Bolivia, Plurinational State of",1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,14.0,2.0,13.0,1.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,1.0,3.0,115.0,5.0,0.0,13.0,4.0,46.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,70.0,0.0,3.0,7.0,6.0,0.0,4.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,2.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,44.0,2.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,3.0,6.0,0.0,22.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,3.0,5.0,0.0,1.0,1.0,0.0,21.0,0.0,4.0,1.0,0.0,0.0,0.0,30.0,85.0
Indonesia,2.0,2.0,1.0,10.0,5.0,13.0,9.0,0.0,3.0,5.0,10.0,21.0,9.0,6.0,0.0,27.0,0.0,2.0,0.0,1.0,12.0,2.0,197.0,16.0,0.0,64.0,0.0,15.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,9.0,0.0,17.0,1.0,1.0,8.0,1.0,0.0,0.0,8.0,29.0,52.0,1.0,29.0,1.0,0.0,0.0,66.0,16.0,0.0,0.0,7.0,12.0,32.0,16.0,0.0,0.0,0.0,0.0,7.0,110.0,0.0,102.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,20.0,0.0,57.0,3.0,0.0,0.0,16.0,50.0,1.0,48.0,8.0,1.0,2.0,11.0,0.0,9.0,2.0,4.0,0.0,14.0,14.0,2.0,6.0,7.0,0.0,1.0,3.0,0.0,66.0,0.0,10.0,1.0,0.0,3.0,1.0,46.0,80.0
