,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
"Macedonia, Republic of",1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,880.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,21.0,31.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,104.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,15.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,5.0
United States,13.0,79.0,13.0,165.0,57.0,172.0,109.0,6.0,72.0,101.0,381.0,153.0,174.0,129.0,73.0,2497.0,1.0,123.0,72.0,26.0,1157.0,553.0,381.0,126.0,46.0,1834.0,14.0,1066.0,133.0,1.0,279.0,47.0,1136.0,9.0,0.0,28.0,48.0,785.0,267.0,21.0,93.0,98.0,92.0,4.0,932.0,2139.0,2198.0,17.0,1243.0,427.0,73.0,1.0,2515.0,13.0,4.0,17.0,281.0,20.0,163.0,27.0,13.0,3.0,342.0,4.0,222.0,584.0,30.0,4930.0,230.0,223.0,2.0,8.0,171.0,97.0,23.0,226.0,161.0,220.0,399.0,14.0,422.0,847.0,41.0,9.0,163.0,575.0,110.0,1305.0,791.0,28.0,61.0,25.0,0.0,149.0,47.0,320.0,2.0,552.0,239.0,170.0,192.0,266.0,8.0,30.0,44.0,6.0,567.0,4.0,330.0,285.0,0.0,159.0,2.0,280.0,1340.0
Indonesia,1.0,3.0,1.0,9.0,5.0,15.0,11.0,0.0,2.0,6.0,2.0,18.0,10.0,5.0,0.0,49.0,0.0,3.0,0.0,0.0,11.0,8.0,190.0,11.0,1.0,47.0,1.0,5.0,2.0,0.0,1.0,0.0,40.0,0.0,0.0,3.0,0.0,19.0,3.0,1.0,8.0,3.0,0.0,1.0,42.0,47.0,46.0,0.0,31.0,3.0,1.0,0.0,83.0,8.0,0.0,0.0,6.0,11.0,22.0,17.0,0.0,0.0,0.0,0.0,9.0,75.0,0.0,108.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,14.0,28.0,0.0,47.0,2.0,4.0,0.0,14.0,23.0,2.0,44.0,8.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,39.0,12.0,0.0,9.0,5.0,0.0,4.0,7.0,0.0,45.0,0.0,12.0,3.0,0.0,1.0,0.0,44.0,71.0
Italy,46.0,13.0,1.0,49.0,11.0,34.0,30.0,1.0,10.0,21.0,91.0,113.0,21.0,10.0,2.0,83.0,1.0,19.0,0.0,4.0,31.0,30.0,103.0,58.0,0.0,177.0,12.0,44.0,33.0,0.0,11.0,1.0,465.0,5.0,0.0,7.0,0.0,119.0,61.0,6.0,8.0,117.0,6.0,0.0,92.0,293.0,433.0,2.0,206.0,95.0,0.0,0.0,314.0,2.0,1.0,1.0,287.0,21.0,256.0,26.0,5.0,0.0,26.0,2.0,11.0,113.0,6.0,1000.0,907.0,20.0,1.0,0.0,42.0,146.0,1.0,102.0,102.0,24.0,162.0,8.0,28.0,26.0,28.0,0.0,65.0,417.0,3.0,256.0,121.0,19.0,202.0,6.0,2.0,1.0,3.0,39.0,0.0,166.0,55.0,48.0,168.0,34.0,0.0,8.0,3.0,3.0,189.0,0.0,43.0,68.0,1.0,98.0,0.0,29.0,164.0
Spain,72.0,1.0,1.0,12.0,4.0,53.0,117.0,0.0,3.0,39.0,16.0,120.0,72.0,41.0,5.0,53.0,5.0,7.0,1.0,0.0,34.0,28.0,130.0,71.0,0.0,154.0,6.0,37.0,3.0,0.0,2.0,1.0,197.0,3.0,0.0,2.0,3.0,387.0,12.0,1.0,60.0,39.0,6.0,0.0,49.0,143.0,458.0,1.0,109.0,14.0,0.0,0.0,177.0,0.0,0.0,3.0,54.0,18.0,47.0,8.0,6.0,1.0,17.0,0.0,5.0,87.0,3.0,554.0,190.0,53.0,0.0,0.0,9.0,17.0,2.0,5.0,9.0,40.0,31.0,3.0,59.0,6.0,15.0,0.0,43.0,21.0,8.0,287.0,159.0,1.0,38.0,5.0,0.0,7.0,5.0,31.0,1.0,164.0,93.0,35.0,14.0,35.0,0.0,51.0,19.0,0.0,206.0,17.0,26.0,29.0,1.0,6.0,0.0,16.0,159.0
Turkey,2.0,18.0,0.0,10.0,1.0,3.0,6.0,0.0,0.0,0.0,23.0,1.0,2.0,17.0,0.0,108.0,12.0,2.0,3.0,1.0,14.0,5.0,9.0,109.0,0.0,30.0,7.0,9.0,3.0,0.0,6.0,0.0,25.0,2.0,0.0,0.0,0.0,158.0,32.0,0.0,1.0,1.0,1.0,0.0,23.0,113.0,61.0,0.0,39.0,2.0,0.0,0.0,153.0,0.0,0.0,0.0,1.0,4.0,27.0,3.0,0.0,0.0,14.0,0.0,7.0,38.0,0.0,218.0,28.0,33.0,0.0,0.0,10.0,1.0,0.0,13.0,3.0,22.0,59.0,8.0,291.0,78.0,0.0,0.0,33.0,14.0,29.0,73.0,87.0,0.0,45.0,6.0,0.0,5.0,9.0,9.0,0.0,90.0,16.0,1.0,14.0,30.0,0.0,3.0,0.0,11.0,150.0,0.0,16.0,25.0,4.0,9.0,1.0,6.0,26.0
France,4.0,12.0,2.0,55.0,4.0,9.0,17.0,0.0,0.0,1.0,90.0,134.0,10.0,25.0,5.0,378.0,0.0,8.0,2.0,20.0,86.0,17.0,173.0,87.0,0.0,249.0,6.0,57.0,6.0,0.0,9.0,0.0,283.0,0.0,0.0,5.0,2.0,373.0,37.0,3.0,29.0,38.0,0.0,0.0,15.0,93.0,68.0,1.0,29.0,5.0,6.0,0.0,690.0,4.0,1.0,0.0,12.0,3.0,204.0,9.0,115.0,0.0,170.0,0.0,12.0,172.0,1.0,633.0,84.0,4.0,0.0,0.0,14.0,34.0,4.0,10.0,24.0,7.0,42.0,6.0,23.0,47.0,7.0,0.0,16.0,31.0,8.0,44.0,154.0,7.0,4.0,8.0,2.0,7.0,13.0,18.0,0.0,202.0,31.0,43.0,65.0,22.0,0.0,3.0,2.0,0.0,163.0,3.0,68.0,21.0,2.0,36.0,0.0,98.0,251.0
Japan,7.0,5.0,1.0,30.0,2.0,24.0,1.0,5.0,9.0,5.0,2.0,4.0,3.0,29.0,2.0,118.0,0.0,8.0,0.0,0.0,118.0,20.0,24.0,12.0,0.0,68.0,1.0,41.0,52.0,0.0,6.0,0.0,39.0,0.0,0.0,3.0,65.0,146.0,7.0,2.0,7.0,13.0,2.0,0.0,13.0,30.0,30.0,4.0,36.0,12.0,0.0,0.0,188.0,7.0,3.0,83.0,2.0,0.0,92.0,1.0,1.0,0.0,4.0,0.0,13.0,51.0,7.0,281.0,15.0,0.0,0.0,0.0,3.0,21.0,0.0,7.0,23.0,19.0,9.0,0.0,25.0,4.0,1.0,2.0,5.0,98.0,23.0,64.0,18.0,1.0,0.0,4.0,1.0,1.0,14.0,6.0,0.0,104.0,17.0,48.0,2.0,2.0,1.0,0.0,2.0,0.0,41.0,0.0,14.0,12.0,0.0,1.0,0.0,12.0,49.0
Russian Federation,12.0,70.0,23.0,76.0,11.0,24.0,43.0,0.0,7.0,1.0,56.0,16.0,21.0,22.0,0.0,335.0,9.0,5.0,7.0,0.0,39.0,19.0,99.0,83.0,0.0,245.0,179.0,52.0,9.0,45.0,1.0,0.0,144.0,0.0,0.0,20.0,1.0,373.0,8.0,30.0,3.0,16.0,7.0,0.0,99.0,137.0,59.0,3.0,22.0,5.0,0.0,0.0,1059.0,2.0,0.0,0.0,0.0,2.0,15.0,9.0,5.0,0.0,248.0,0.0,14.0,56.0,2.0,889.0,44.0,8.0,0.0,0.0,30.0,1.0,0.0,34.0,6.0,37.0,100.0,0.0,185.0,12.0,4.0,0.0,148.0,113.0,4.0,59.0,25.0,0.0,5.0,4.0,0.0,9.0,31.0,11.0,20.0,130.0,51.0,7.0,21.0,16.0,4.0,41.0,21.0,0.0,443.0,18.0,133.0,47.0,0.0,11.0,0.0,52.0,89.0
United Kingdom,1.0,26.0,5.0,18.0,6.0,37.0,6.0,2.0,29.0,7.0,41.0,35.0,83.0,43.0,3.0,387.0,0.0,11.0,26.0,10.0,367.0,48.0,35.0,38.0,2.0,282.0,8.0,344.0,13.0,0.0,58.0,3.0,211.0,5.0,0.0,19.0,7.0,388.0,59.0,8.0,224.0,29.0,27.0,1.0,62.0,166.0,468.0,4.0,182.0,60.0,8.0,0.0,671.0,5.0,1.0,2.0,35.0,17.0,75.0,12.0,32.0,0.0,100.0,1.0,11.0,152.0,3.0,397.0,169.0,13.0,3.0,0.0,64.0,20.0,21.0,23.0,29.0,75.0,67.0,5.0,70.0,53.0,5.0,2.0,47.0,87.0,33.0,277.0,163.0,7.0,10.0,13.0,0.0,27.0,18.0,47.0,1.0,125.0,87.0,80.0,13.0,29.0,4.0,13.0,32.0,4.0,141.0,0.0,124.0,39.0,2.0,17.0,0.0,37.0,155.0
