,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Brazil,2.0,2.0,6.0,45.0,6.0,41.0,20.0,1.0,5.0,30.0,18.0,98.0,5.0,23.0,8.0,51.0,0.0,4778.0,1.0,35.0,18.0,45.0,187.0,7.0,0.0,70.0,4.0,45.0,4.0,0.0,4.0,5.0,70.0,3.0,0.0,21.0,2.0,44.0,5.0,8.0,3.0,83.0,8.0,1.0,8.0,185.0,126.0,3.0,98.0,54.0,8.0,0.0,329.0,2.0,1.0,3.0,1.0,85.0,164.0,9.0,1.0,0.0,6.0,0.0,46.0,175.0,1.0,214.0,32.0,1.0,0.0,0.0,12.0,49.0,13.0,3.0,5.0,50.0,104.0,1.0,126.0,25.0,41.0,0.0,122.0,53.0,49.0,99.0,40.0,2.0,5.0,35.0,0.0,2.0,3.0,16.0,1.0,178.0,52.0,172.0,14.0,59.0,5.0,1.0,3.0,1.0,84.0,0.0,24.0,53.0,4.0,7.0,0.0,180.0,419.0
United States,15.0,198.0,25.0,470.0,88.0,144.0,28.0,3.0,116.0,68.0,236.0,129.0,122.0,102.0,85.0,1986.0,9.0,29898.0,21.0,28.0,1764.0,367.0,179.0,78.0,4.0,2183.0,48.0,695.0,65.0,2.0,111.0,192.0,555.0,1.0,0.0,67.0,58.0,520.0,218.0,47.0,83.0,98.0,127.0,8.0,358.0,904.0,948.0,19.0,1133.0,382.0,86.0,5.0,3846.0,10.0,11.0,7.0,127.0,27.0,133.0,93.0,23.0,8.0,370.0,2.0,943.0,491.0,159.0,2081.0,116.0,27.0,1.0,15.0,132.0,148.0,243.0,108.0,192.0,1149.0,651.0,6.0,364.0,903.0,55.0,14.0,202.0,157.0,586.0,978.0,758.0,33.0,49.0,38.0,1.0,70.0,43.0,943.0,99.0,1077.0,221.0,135.0,184.0,128.0,6.0,15.0,30.0,9.0,345.0,16.0,432.0,306.0,4.0,694.0,1.0,280.0,781.0
Spain,56.0,38.0,2.0,22.0,11.0,37.0,50.0,0.0,1.0,24.0,9.0,3.0,15.0,36.0,1.0,52.0,4.0,6986.0,0.0,3.0,35.0,52.0,46.0,24.0,3.0,290.0,11.0,30.0,15.0,0.0,11.0,8.0,80.0,1.0,0.0,7.0,1.0,64.0,25.0,9.0,23.0,37.0,31.0,0.0,33.0,83.0,164.0,12.0,169.0,47.0,1.0,0.0,146.0,0.0,7.0,2.0,23.0,29.0,27.0,20.0,11.0,5.0,24.0,3.0,54.0,50.0,1.0,244.0,55.0,1.0,0.0,0.0,7.0,23.0,7.0,1.0,51.0,76.0,54.0,0.0,61.0,12.0,19.0,0.0,23.0,11.0,21.0,100.0,40.0,1.0,61.0,5.0,0.0,21.0,3.0,90.0,1.0,116.0,21.0,29.0,8.0,45.0,2.0,30.0,9.0,1.0,94.0,6.0,11.0,14.0,3.0,113.0,0.0,12.0,79.0
Portugal,3.0,0.0,1.0,4.0,0.0,6.0,5.0,0.0,2.0,1.0,3.0,2.0,12.0,15.0,0.0,35.0,0.0,3175.0,0.0,0.0,13.0,4.0,10.0,3.0,0.0,52.0,2.0,6.0,0.0,0.0,0.0,0.0,81.0,1.0,0.0,2.0,0.0,75.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,36.0,26.0,2.0,5.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,45.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,16.0,28.0,1.0,81.0,12.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,14.0,17.0,15.0,0.0,19.0,1.0,0.0,0.0,11.0,6.0,16.0,30.0,20.0,2.0,0.0,2.0,0.0,1.0,0.0,23.0,1.0,25.0,25.0,0.0,3.0,8.0,0.0,4.0,1.0,0.0,53.0,0.0,0.0,14.0,0.0,3.0,0.0,5.0,15.0
Peru,1.0,3.0,1.0,7.0,0.0,0.0,23.0,0.0,1.0,4.0,7.0,7.0,1.0,2.0,2.0,23.0,0.0,1703.0,0.0,0.0,2.0,4.0,44.0,8.0,0.0,20.0,2.0,11.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,7.0,3.0,0.0,7.0,38.0,5.0,0.0,18.0,4.0,1.0,0.0,30.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,17.0,24.0,1.0,51.0,3.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,10.0,18.0,12.0,1.0,19.0,1.0,0.0,0.0,30.0,3.0,4.0,26.0,2.0,0.0,9.0,2.0,0.0,2.0,0.0,3.0,2.0,9.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,39.0,0.0,5.0,0.0,0.0,2.0,0.0,14.0,18.0
Italy,19.0,10.0,0.0,296.0,10.0,52.0,106.0,1.0,16.0,3.0,10.0,59.0,1.0,13.0,1.0,104.0,0.0,16933.0,0.0,2.0,69.0,75.0,51.0,34.0,0.0,215.0,4.0,67.0,9.0,0.0,41.0,9.0,483.0,2.0,0.0,8.0,1.0,87.0,38.0,5.0,21.0,22.0,7.0,0.0,22.0,173.0,384.0,7.0,354.0,330.0,1.0,1.0,282.0,11.0,0.0,0.0,40.0,11.0,49.0,7.0,1.0,0.0,25.0,0.0,69.0,183.0,5.0,434.0,46.0,12.0,0.0,0.0,14.0,46.0,8.0,38.0,79.0,60.0,90.0,2.0,36.0,193.0,31.0,1.0,37.0,136.0,591.0,116.0,90.0,4.0,68.0,2.0,0.0,8.0,2.0,113.0,10.0,114.0,38.0,15.0,44.0,11.0,0.0,32.0,0.0,0.0,57.0,6.0,38.0,33.0,0.0,48.0,0.0,25.0,72.0
Georgia,6.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,378.0,0.0,0.0,11.0,2.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,3.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,12.0,2.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,6.0,6.0
China,4.0,159.0,2.0,1167.0,6.0,20.0,34.0,0.0,12.0,4.0,30.0,11.0,7.0,33.0,13.0,411.0,0.0,4818.0,4.0,7.0,448.0,45.0,74.0,83.0,0.0,1174.0,47.0,297.0,32.0,0.0,14.0,10.0,207.0,1.0,2.0,8.0,4.0,115.0,17.0,3.0,4.0,17.0,16.0,55.0,53.0,241.0,185.0,53.0,280.0,20.0,4.0,0.0,1094.0,54.0,4.0,2.0,9.0,3.0,15.0,42.0,0.0,2.0,4.0,0.0,789.0,233.0,74.0,485.0,12.0,4.0,6.0,3.0,14.0,1120.0,6.0,6.0,50.0,3036.0,90.0,11.0,31.0,47.0,13.0,1.0,22.0,13.0,803.0,57.0,74.0,2.0,5.0,12.0,0.0,14.0,1.0,110.0,2.0,258.0,39.0,101.0,23.0,23.0,2.0,2.0,0.0,1.0,130.0,0.0,82.0,188.0,1.0,9.0,1.0,46.0,159.0
Egypt,1.0,0.0,0.0,123.0,1.0,0.0,22.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0,0.0,769.0,1.0,0.0,4.0,0.0,2.0,115.0,1.0,13.0,1.0,263.0,2.0,0.0,1.0,0.0,19.0,1.0,0.0,6.0,0.0,175.0,6.0,3.0,4.0,0.0,0.0,0.0,3.0,9.0,78.0,2.0,7.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,55.0,1.0,10.0,1.0,0.0,1.0,24.0,2.0,0.0,9.0,2.0,35.0,0.0,2.0,1.0,1.0,0.0,6.0,29.0,7.0,30.0,5.0,0.0,3.0,9.0,0.0,1.0,0.0,3.0,1.0,3.0,19.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,16.0,0.0,3.0,29.0,0.0,2.0,0.0,3.0,4.0
Russian Federation,31.0,61.0,1.0,161.0,1.0,35.0,15.0,0.0,12.0,0.0,31.0,13.0,8.0,24.0,2.0,138.0,6.0,4185.0,35.0,1.0,51.0,15.0,28.0,49.0,2.0,245.0,43.0,108.0,26.0,8.0,4.0,2.0,52.0,0.0,0.0,2.0,1.0,319.0,44.0,5.0,7.0,22.0,8.0,0.0,84.0,142.0,65.0,8.0,34.0,15.0,1.0,0.0,1242.0,0.0,0.0,0.0,3.0,0.0,10.0,8.0,3.0,1.0,139.0,1.0,85.0,37.0,4.0,322.0,66.0,4.0,0.0,0.0,132.0,8.0,10.0,59.0,13.0,105.0,61.0,1.0,151.0,13.0,12.0,1.0,159.0,63.0,481.0,31.0,33.0,0.0,3.0,3.0,0.0,4.0,1.0,34.0,10.0,74.0,40.0,10.0,41.0,10.0,0.0,45.0,4.0,0.0,158.0,10.0,52.0,70.0,0.0,71.0,1.0,99.0,77.0
