,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United States,19.0,218.0,29.0,1230.0,56.0,209.0,102.0,5.0,133.0,71.0,147.0,101.0,130.0,84.0,202.0,1423.0,14.0,33661.0,13.0,23.0,1676.0,499.0,221.0,92.0,38.0,1827.0,8.0,825.0,44.0,3.0,541.0,93.0,683.0,6.0,0.0,53.0,47.0,823.0,268.0,30.0,121.0,86.0,88.0,12.0,392.0,1188.0,1197.0,22.0,1130.0,485.0,96.0,4.0,3867.0,10.0,13.0,4.0,98.0,35.0,163.0,106.0,24.0,4.0,309.0,1.0,743.0,535.0,201.0,2257.0,131.0,39.0,1.0,22.0,95.0,177.0,141.0,96.0,243.0,869.0,559.0,8.0,324.0,780.0,59.0,31.0,294.0,165.0,481.0,800.0,706.0,25.0,42.0,81.0,2.0,108.0,60.0,733.0,54.0,1107.0,250.0,161.0,116.0,201.0,15.0,10.0,55.0,16.0,341.0,18.0,436.0,405.0,2.0,292.0,1.0,263.0,834.0
Spain,50.0,40.0,3.0,728.0,14.0,68.0,79.0,0.0,17.0,46.0,22.0,3.0,70.0,40.0,5.0,106.0,4.0,8300.0,0.0,3.0,45.0,70.0,115.0,97.0,5.0,339.0,18.0,45.0,23.0,0.0,61.0,6.0,84.0,1.0,0.0,2.0,1.0,68.0,36.0,4.0,47.0,52.0,34.0,0.0,55.0,160.0,278.0,25.0,376.0,84.0,2.0,0.0,492.0,0.0,7.0,0.0,19.0,27.0,42.0,29.0,12.0,8.0,13.0,3.0,95.0,120.0,4.0,383.0,66.0,5.0,1.0,0.0,8.0,33.0,4.0,0.0,54.0,75.0,90.0,3.0,129.0,13.0,8.0,0.0,79.0,10.0,19.0,211.0,112.0,1.0,79.0,7.0,0.0,48.0,5.0,173.0,9.0,203.0,47.0,50.0,10.0,54.0,2.0,28.0,10.0,1.0,132.0,2.0,33.0,74.0,2.0,39.0,0.0,20.0,86.0
Cabo Verde,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Russian Federation,38.0,32.0,0.0,224.0,1.0,15.0,21.0,0.0,4.0,4.0,42.0,5.0,5.0,21.0,0.0,112.0,4.0,4815.0,31.0,1.0,175.0,22.0,28.0,118.0,4.0,186.0,51.0,90.0,28.0,8.0,8.0,2.0,67.0,0.0,0.0,1.0,1.0,221.0,9.0,2.0,4.0,21.0,7.0,0.0,42.0,66.0,37.0,1.0,21.0,9.0,2.0,0.0,1413.0,0.0,0.0,1.0,8.0,2.0,36.0,11.0,2.0,1.0,32.0,0.0,52.0,37.0,2.0,401.0,20.0,4.0,0.0,0.0,36.0,8.0,1.0,58.0,15.0,158.0,80.0,2.0,173.0,28.0,4.0,0.0,95.0,58.0,459.0,49.0,24.0,0.0,13.0,5.0,0.0,2.0,1.0,44.0,2.0,71.0,166.0,19.0,23.0,15.0,0.0,51.0,2.0,0.0,156.0,5.0,46.0,28.0,1.0,13.0,0.0,80.0,33.0
China,2.0,55.0,2.0,610.0,4.0,15.0,19.0,0.0,16.0,5.0,10.0,5.0,16.0,28.0,7.0,183.0,0.0,6088.0,8.0,7.0,236.0,56.0,50.0,66.0,0.0,707.0,70.0,235.0,33.0,0.0,19.0,3.0,333.0,1.0,2.0,8.0,4.0,253.0,23.0,3.0,5.0,13.0,47.0,11.0,48.0,245.0,144.0,87.0,159.0,25.0,8.0,0.0,623.0,46.0,16.0,8.0,7.0,4.0,24.0,40.0,3.0,0.0,17.0,0.0,557.0,201.0,34.0,609.0,38.0,15.0,11.0,1.0,18.0,1404.0,5.0,13.0,67.0,4649.0,79.0,7.0,22.0,71.0,15.0,1.0,31.0,17.0,529.0,77.0,98.0,2.0,10.0,29.0,0.0,26.0,3.0,84.0,1.0,215.0,54.0,113.0,26.0,18.0,3.0,4.0,0.0,3.0,131.0,0.0,80.0,163.0,1.0,2.0,1.0,27.0,135.0
El Salvador,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,268.0,0.0,0.0,175.0,2.0,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,46.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0
Canada,1.0,7.0,0.0,119.0,1.0,11.0,2.0,0.0,30.0,2.0,6.0,3.0,11.0,10.0,7.0,245.0,0.0,4558.0,2.0,19.0,137.0,27.0,8.0,11.0,1.0,175.0,2.0,49.0,8.0,0.0,15.0,3.0,53.0,1.0,0.0,1.0,0.0,37.0,24.0,2.0,7.0,2.0,6.0,0.0,27.0,62.0,84.0,1.0,54.0,43.0,0.0,0.0,309.0,0.0,0.0,0.0,17.0,2.0,8.0,28.0,4.0,0.0,25.0,1.0,50.0,35.0,3.0,113.0,8.0,5.0,0.0,1.0,4.0,22.0,4.0,4.0,10.0,33.0,38.0,0.0,58.0,58.0,2.0,6.0,10.0,5.0,46.0,49.0,95.0,1.0,2.0,2.0,0.0,10.0,8.0,64.0,1.0,120.0,17.0,64.0,11.0,5.0,0.0,3.0,4.0,0.0,41.0,0.0,24.0,15.0,1.0,15.0,0.0,6.0,36.0
Italy,17.0,11.0,1.0,934.0,7.0,55.0,107.0,2.0,9.0,10.0,12.0,55.0,14.0,14.0,4.0,196.0,0.0,21406.0,0.0,0.0,58.0,79.0,34.0,95.0,1.0,302.0,16.0,60.0,5.0,0.0,59.0,9.0,245.0,4.0,0.0,9.0,3.0,60.0,29.0,3.0,30.0,43.0,3.0,0.0,24.0,347.0,637.0,9.0,416.0,380.0,3.0,0.0,406.0,10.0,0.0,1.0,153.0,23.0,79.0,9.0,2.0,1.0,9.0,0.0,79.0,166.0,14.0,673.0,140.0,15.0,1.0,0.0,15.0,59.0,23.0,59.0,107.0,137.0,132.0,2.0,27.0,350.0,8.0,1.0,33.0,214.0,921.0,270.0,117.0,3.0,74.0,17.0,0.0,10.0,10.0,116.0,11.0,187.0,75.0,21.0,103.0,17.0,0.0,109.0,0.0,7.0,85.0,1.0,43.0,67.0,1.0,23.0,0.0,32.0,87.0
Japan,7.0,41.0,1.0,337.0,1.0,3.0,3.0,2.0,7.0,2.0,48.0,5.0,5.0,9.0,1.0,46.0,8.0,1585.0,0.0,2.0,41.0,48.0,34.0,13.0,0.0,113.0,3.0,50.0,98.0,0.0,3.0,1.0,41.0,1.0,0.0,9.0,6.0,83.0,11.0,2.0,4.0,4.0,1.0,0.0,4.0,60.0,64.0,16.0,51.0,28.0,1.0,0.0,162.0,26.0,0.0,51.0,2.0,0.0,15.0,2.0,0.0,1.0,5.0,0.0,56.0,33.0,15.0,123.0,8.0,1.0,1.0,0.0,8.0,24.0,11.0,0.0,9.0,145.0,16.0,2.0,3.0,14.0,2.0,0.0,11.0,28.0,38.0,26.0,11.0,7.0,2.0,6.0,0.0,5.0,1.0,29.0,11.0,61.0,45.0,2.0,14.0,6.0,0.0,0.0,1.0,0.0,23.0,0.0,5.0,14.0,0.0,3.0,0.0,18.0,35.0
Costa Rica,3.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,5.0,0.0,9.0,0.0,598.0,0.0,0.0,0.0,2.0,15.0,6.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,20.0,19.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,8.0,0.0,0.0,7.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,15.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,16.0
