,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United States,10.0,177.0,30.0,336.0,102.0,158.0,85.0,8.0,189.0,101.0,163.0,174.0,211.0,148.0,59.0,2918.0,1.0,35019.0,27.0,25.0,2438.0,420.0,324.0,122.0,11.0,3291.0,55.0,840.0,84.0,0.0,117.0,180.0,716.0,1.0,0.0,71.0,42.0,616.0,253.0,54.0,117.0,114.0,106.0,4.0,365.0,1023.0,1200.0,24.0,1174.0,427.0,61.0,2.0,5409.0,9.0,11.0,13.0,126.0,20.0,206.0,87.0,22.0,12.0,465.0,3.0,1441.0,670.0,100.0,2260.0,142.0,31.0,2.0,1.0,158.0,149.0,182.0,90.0,246.0,1179.0,764.0,5.0,379.0,923.0,58.0,20.0,229.0,123.0,791.0,1146.0,912.0,18.0,57.0,56.0,3.0,66.0,50.0,908.0,76.0,1224.0,347.0,114.0,191.0,131.0,10.0,19.0,29.0,19.0,474.0,18.0,383.0,308.0,6.0,471.0,2.0,436.0,1405.0
Mexico,1.0,7.0,1.0,13.0,2.0,9.0,24.0,0.0,10.0,23.0,28.0,24.0,0.0,46.0,9.0,27.0,0.0,3206.0,0.0,2.0,29.0,7.0,132.0,12.0,0.0,92.0,0.0,38.0,7.0,0.0,2.0,5.0,26.0,1.0,0.0,2.0,0.0,22.0,5.0,0.0,4.0,22.0,6.0,1.0,17.0,74.0,66.0,1.0,29.0,4.0,0.0,0.0,136.0,0.0,0.0,0.0,1.0,2.0,21.0,4.0,0.0,0.0,6.0,0.0,27.0,36.0,1.0,123.0,8.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,3.0,26.0,38.0,0.0,26.0,9.0,19.0,0.0,40.0,42.0,42.0,69.0,30.0,8.0,3.0,2.0,0.0,4.0,1.0,68.0,3.0,54.0,21.0,0.0,8.0,4.0,0.0,2.0,1.0,0.0,41.0,0.0,25.0,13.0,0.0,23.0,0.0,15.0,127.0
Norway,3.0,1.0,0.0,28.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,4.0,12.0,4.0,7.0,33.0,0.0,760.0,0.0,0.0,27.0,1.0,4.0,13.0,0.0,27.0,0.0,17.0,0.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0,5.0,0.0,2.0,17.0,17.0,26.0,0.0,5.0,0.0,0.0,0.0,67.0,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,8.0,14.0,1.0,22.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,1.0,8.0,4.0,5.0,0.0,3.0,14.0,8.0,0.0,3.0,6.0,9.0,11.0,77.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,14.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0
Chile,1.0,0.0,0.0,11.0,2.0,1.0,11.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,1361.0,0.0,0.0,9.0,4.0,13.0,1.0,0.0,61.0,1.0,6.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,29.0,0.0,17.0,54.0,6.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,12.0,11.0,2.0,0.0,5.0,1.0,11.0,8.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0
Spain,35.0,3.0,2.0,34.0,18.0,62.0,129.0,1.0,10.0,24.0,33.0,20.0,11.0,81.0,2.0,123.0,5.0,11042.0,6.0,4.0,82.0,43.0,50.0,162.0,2.0,512.0,5.0,49.0,8.0,0.0,15.0,14.0,119.0,2.0,0.0,9.0,3.0,97.0,15.0,14.0,14.0,33.0,8.0,0.0,71.0,112.0,289.0,8.0,256.0,21.0,1.0,0.0,205.0,0.0,0.0,2.0,22.0,14.0,132.0,6.0,7.0,11.0,30.0,1.0,147.0,83.0,5.0,296.0,84.0,2.0,0.0,0.0,3.0,17.0,14.0,1.0,12.0,64.0,68.0,9.0,48.0,21.0,21.0,0.0,27.0,18.0,75.0,198.0,74.0,1.0,37.0,4.0,0.0,5.0,1.0,103.0,8.0,103.0,47.0,32.0,17.0,19.0,1.0,20.0,5.0,1.0,167.0,4.0,23.0,24.0,3.0,158.0,0.0,23.0,143.0
Italy,17.0,1.0,2.0,93.0,17.0,64.0,133.0,0.0,14.0,16.0,7.0,48.0,2.0,32.0,2.0,193.0,0.0,25012.0,1.0,2.0,96.0,49.0,72.0,94.0,2.0,409.0,5.0,100.0,16.0,0.0,16.0,3.0,611.0,1.0,0.0,16.0,0.0,86.0,49.0,7.0,7.0,24.0,5.0,1.0,23.0,160.0,338.0,2.0,445.0,345.0,0.0,1.0,349.0,2.0,1.0,0.0,90.0,23.0,69.0,6.0,5.0,2.0,31.0,0.0,122.0,290.0,5.0,552.0,71.0,6.0,0.0,0.0,8.0,75.0,4.0,14.0,75.0,90.0,111.0,3.0,49.0,41.0,38.0,0.0,74.0,138.0,1140.0,96.0,62.0,2.0,36.0,4.0,1.0,10.0,7.0,182.0,1.0,177.0,37.0,11.0,41.0,16.0,0.0,13.0,0.0,2.0,87.0,6.0,82.0,53.0,0.0,72.0,0.0,15.0,160.0
Viet Nam,1.0,1.0,3.0,60.0,0.0,18.0,0.0,0.0,2.0,0.0,6.0,14.0,3.0,0.0,0.0,51.0,0.0,1294.0,0.0,0.0,29.0,2.0,20.0,2.0,2.0,37.0,0.0,22.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,12.0,7.0,0.0,1.0,4.0,2.0,0.0,2.0,32.0,104.0,1.0,9.0,3.0,0.0,0.0,57.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,28.0,34.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,7.0,596.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,48.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,3.0,0.0,0.0,1.0,4.0,25.0
Germany,3.0,3.0,5.0,671.0,51.0,25.0,8.0,0.0,16.0,1.0,39.0,28.0,18.0,37.0,2.0,318.0,5.0,7993.0,1.0,34.0,124.0,47.0,68.0,56.0,3.0,347.0,32.0,201.0,47.0,0.0,50.0,2.0,208.0,2.0,0.0,2.0,11.0,98.0,26.0,1.0,33.0,16.0,99.0,2.0,89.0,148.0,126.0,19.0,203.0,43.0,2.0,0.0,939.0,1.0,0.0,2.0,38.0,7.0,33.0,23.0,3.0,1.0,93.0,0.0,104.0,143.0,80.0,698.0,20.0,7.0,1.0,0.0,6.0,30.0,9.0,22.0,32.0,54.0,69.0,6.0,60.0,140.0,13.0,5.0,44.0,39.0,179.0,81.0,248.0,0.0,13.0,24.0,2.0,8.0,18.0,85.0,0.0,117.0,17.0,16.0,102.0,29.0,21.0,15.0,4.0,1.0,187.0,39.0,68.0,40.0,7.0,117.0,0.0,24.0,157.0
Romania,1.0,1.0,0.0,201.0,6.0,39.0,14.0,0.0,2.0,0.0,1.0,3.0,0.0,7.0,0.0,21.0,0.0,1949.0,0.0,13.0,30.0,9.0,0.0,2.0,0.0,57.0,1.0,14.0,2.0,0.0,1.0,1.0,37.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,20.0,0.0,2.0,18.0,19.0,0.0,15.0,2.0,0.0,0.0,189.0,0.0,0.0,0.0,1.0,0.0,18.0,13.0,1.0,0.0,30.0,0.0,12.0,9.0,1.0,34.0,3.0,5.0,0.0,0.0,18.0,52.0,2.0,1.0,0.0,14.0,32.0,0.0,4.0,2.0,3.0,0.0,15.0,8.0,2448.0,26.0,30.0,0.0,4.0,0.0,0.0,3.0,0.0,10.0,1.0,18.0,11.0,0.0,7.0,3.0,0.0,14.0,1.0,0.0,63.0,0.0,7.0,27.0,4.0,12.0,0.0,1.0,17.0
India,5.0,20.0,6.0,278.0,2.0,10.0,15.0,0.0,40.0,0.0,18.0,145.0,2.0,102.0,26.0,593.0,3.0,12247.0,0.0,2.0,271.0,109.0,297.0,62.0,4.0,614.0,5.0,416.0,12.0,0.0,8.0,8.0,111.0,3.0,0.0,41.0,8.0,167.0,50.0,5.0,14.0,30.0,6.0,3.0,70.0,317.0,184.0,3.0,113.0,30.0,6.0,0.0,1170.0,39.0,0.0,3.0,6.0,49.0,185.0,37.0,0.0,3.0,21.0,0.0,261.0,363.0,11.0,1280.0,13.0,2.0,11.0,50.0,4.0,143.0,35.0,23.0,80.0,342.0,344.0,2.0,90.0,61.0,13.0,0.0,218.0,21.0,251.0,69.0,94.0,0.0,7.0,10.0,2.0,21.0,12.0,118.0,15.0,421.0,24.0,19.0,25.0,19.0,1.0,3.0,15.0,1.0,327.0,0.0,250.0,78.0,53.0,17.0,0.0,114.0,594.0
