,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United States,8.0,125.0,28.0,239.0,87.0,154.0,90.0,4.0,187.0,98.0,64.0,139.0,167.0,131.0,66.0,2855.0,1.0,34670.0,23.0,23.0,2349.0,430.0,338.0,101.0,16.0,3373.0,49.0,804.0,86.0,0.0,118.0,122.0,708.0,4.0,1.0,50.0,48.0,589.0,214.0,53.0,90.0,115.0,126.0,4.0,363.0,964.0,1215.0,27.0,938.0,350.0,66.0,1.0,5169.0,8.0,11.0,11.0,116.0,22.0,218.0,58.0,22.0,11.0,410.0,1.0,1344.0,698.0,97.0,2086.0,141.0,40.0,1.0,11.0,172.0,140.0,96.0,89.0,237.0,721.0,679.0,4.0,347.0,667.0,45.0,21.0,229.0,113.0,800.0,889.0,744.0,15.0,51.0,53.0,3.0,63.0,58.0,767.0,34.0,1206.0,394.0,119.0,182.0,112.0,9.0,14.0,22.0,16.0,541.0,18.0,368.0,283.0,4.0,261.0,2.0,420.0,1490.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,8.0,1.0,0.0,3.0,3.0,1.0,23.0,0.0,1584.0,0.0,2.0,13.0,4.0,33.0,20.0,0.0,30.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,7.0,0.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,16.0,70.0,35.0,0.0,7.0,1.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,0.0,2.0,0.0,0.0,7.0,68.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,7.0,18.0,0.0,19.0,0.0,0.0,0.0,8.0,9.0,9.0,43.0,7.0,0.0,4.0,5.0,0.0,2.0,1.0,6.0,1.0,14.0,6.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,90.0,0.0,2.0,4.0,1.0,0.0,0.0,27.0,12.0
Spain,38.0,4.0,2.0,51.0,12.0,78.0,149.0,1.0,10.0,26.0,32.0,20.0,12.0,99.0,2.0,152.0,4.0,12502.0,6.0,4.0,82.0,42.0,52.0,230.0,2.0,593.0,7.0,65.0,6.0,0.0,10.0,12.0,133.0,2.0,0.0,8.0,2.0,100.0,19.0,14.0,15.0,32.0,17.0,1.0,78.0,131.0,331.0,11.0,344.0,19.0,2.0,0.0,258.0,0.0,0.0,2.0,21.0,16.0,140.0,19.0,8.0,13.0,12.0,1.0,156.0,86.0,5.0,359.0,89.0,3.0,0.0,0.0,2.0,28.0,13.0,2.0,17.0,82.0,51.0,10.0,53.0,26.0,21.0,0.0,43.0,21.0,93.0,223.0,78.0,1.0,37.0,4.0,0.0,7.0,1.0,110.0,8.0,141.0,46.0,35.0,20.0,22.0,1.0,21.0,6.0,1.0,191.0,1.0,30.0,25.0,4.0,142.0,0.0,41.0,181.0
Cabo Verde,3.0,2.0,0.0,14.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,14.0,0.0,621.0,0.0,0.0,15.0,3.0,7.0,1.0,1.0,29.0,1.0,1.0,0.0,0.0,2.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,18.0,1.0,3.0,1.0,5.0,0.0,5.0,22.0,26.0,0.0,11.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,7.0,23.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,14.0,10.0,135.0,1.0,2.0,2.0,0.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,9.0
China,2.0,33.0,3.0,1071.0,2.0,19.0,32.0,0.0,42.0,8.0,17.0,11.0,7.0,41.0,7.0,763.0,0.0,5904.0,1.0,2.0,487.0,44.0,79.0,99.0,0.0,1818.0,105.0,408.0,41.0,0.0,17.0,14.0,140.0,0.0,0.0,4.0,1.0,152.0,49.0,5.0,12.0,13.0,41.0,55.0,92.0,342.0,166.0,40.0,371.0,26.0,3.0,0.0,1610.0,33.0,7.0,5.0,11.0,1.0,20.0,6.0,0.0,5.0,13.0,0.0,1106.0,197.0,121.0,815.0,25.0,11.0,2.0,16.0,13.0,1528.0,9.0,9.0,74.0,3115.0,90.0,2.0,54.0,95.0,13.0,5.0,33.0,37.0,1474.0,101.0,50.0,2.0,3.0,11.0,0.0,14.0,2.0,160.0,1.0,409.0,28.0,12.0,32.0,22.0,0.0,4.0,0.0,1.0,159.0,0.0,67.0,202.0,1.0,15.0,55.0,47.0,216.0
Italy,16.0,2.0,2.0,87.0,21.0,69.0,129.0,2.0,15.0,18.0,24.0,42.0,4.0,43.0,2.0,227.0,0.0,25678.0,1.0,2.0,91.0,110.0,71.0,122.0,4.0,586.0,6.0,101.0,16.0,0.0,17.0,1.0,540.0,1.0,0.0,19.0,0.0,67.0,55.0,5.0,8.0,29.0,2.0,1.0,24.0,215.0,399.0,2.0,541.0,416.0,0.0,1.0,417.0,1.0,1.0,0.0,124.0,23.0,89.0,24.0,6.0,2.0,30.0,0.0,151.0,243.0,4.0,671.0,79.0,8.0,0.0,0.0,8.0,76.0,9.0,19.0,79.0,123.0,128.0,3.0,54.0,75.0,16.0,0.0,93.0,185.0,1375.0,120.0,88.0,0.0,37.0,5.0,1.0,11.0,11.0,183.0,2.0,227.0,35.0,30.0,41.0,19.0,0.0,14.0,0.0,2.0,96.0,6.0,92.0,67.0,1.0,47.0,0.0,30.0,165.0
United Kingdom,1.0,18.0,2.0,290.0,10.0,48.0,9.0,1.0,155.0,20.0,30.0,30.0,32.0,65.0,14.0,827.0,1.0,19574.0,0.0,38.0,545.0,85.0,82.0,131.0,4.0,1162.0,11.0,508.0,19.0,0.0,95.0,14.0,306.0,1.0,0.0,13.0,6.0,467.0,39.0,9.0,87.0,30.0,18.0,2.0,201.0,491.0,348.0,15.0,174.0,64.0,13.0,0.0,3288.0,9.0,1.0,2.0,29.0,17.0,98.0,27.0,7.0,7.0,59.0,1.0,450.0,411.0,18.0,822.0,98.0,55.0,0.0,2.0,90.0,114.0,21.0,17.0,71.0,170.0,228.0,4.0,71.0,239.0,4.0,4.0,97.0,48.0,411.0,170.0,458.0,1.0,27.0,29.0,0.0,25.0,20.0,310.0,2.0,527.0,48.0,139.0,30.0,31.0,6.0,18.0,2.0,2.0,266.0,4.0,371.0,45.0,8.0,17.0,0.0,126.0,311.0
Viet Nam,2.0,1.0,3.0,72.0,0.0,18.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,1.0,0.0,51.0,0.0,1155.0,0.0,1.0,22.0,7.0,10.0,2.0,3.0,41.0,0.0,23.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,25.0,80.0,1.0,8.0,3.0,0.0,0.0,84.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,21.0,27.0,0.0,18.0,2.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,3.0,608.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,49.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,8.0,3.0,0.0,1.0,1.0,4.0,5.0
Argentina,2.0,2.0,0.0,17.0,2.0,8.0,77.0,0.0,4.0,32.0,6.0,13.0,2.0,9.0,0.0,23.0,0.0,2855.0,0.0,4.0,44.0,18.0,190.0,25.0,0.0,94.0,11.0,26.0,5.0,0.0,2.0,1.0,18.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,0.0,3.0,45.0,0.0,54.0,82.0,33.0,6.0,19.0,1.0,2.0,0.0,55.0,0.0,0.0,0.0,2.0,2.0,401.0,4.0,0.0,1.0,0.0,0.0,25.0,14.0,0.0,94.0,3.0,0.0,0.0,0.0,6.0,1.0,5.0,18.0,6.0,164.0,17.0,0.0,65.0,11.0,1.0,0.0,15.0,21.0,25.0,74.0,7.0,0.0,6.0,10.0,0.0,1.0,0.0,15.0,1.0,66.0,15.0,24.0,5.0,11.0,0.0,32.0,4.0,0.0,37.0,0.0,13.0,10.0,0.0,2.0,0.0,30.0,87.0
Japan,6.0,5.0,2.0,150.0,4.0,4.0,2.0,1.0,14.0,1.0,2.0,1.0,8.0,8.0,2.0,130.0,0.0,3688.0,0.0,0.0,74.0,36.0,32.0,5.0,0.0,89.0,0.0,86.0,100.0,0.0,13.0,0.0,79.0,2.0,0.0,10.0,0.0,117.0,8.0,0.0,5.0,10.0,0.0,0.0,7.0,38.0,65.0,23.0,64.0,16.0,2.0,0.0,381.0,6.0,3.0,22.0,5.0,0.0,19.0,3.0,0.0,0.0,10.0,0.0,37.0,27.0,1.0,150.0,10.0,2.0,1.0,0.0,7.0,36.0,14.0,4.0,19.0,193.0,27.0,0.0,4.0,23.0,6.0,2.0,15.0,20.0,81.0,26.0,8.0,1.0,7.0,6.0,0.0,4.0,4.0,11.0,5.0,137.0,10.0,6.0,15.0,3.0,1.0,1.0,1.0,0.0,29.0,0.0,18.0,20.0,1.0,3.0,0.0,6.0,233.0
