,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Australia,3.0,4.0,0.0,31.0,3.0,11.0,10.0,4.0,3.0,4.0,3.0,9.0,44.0,12.0,4.0,161.0,0.0,5.0,1.0,1.0,38.0,19.0,28.0,15.0,0.0,51.0,2.0,76.0,4.0,0.0,7.0,3.0,121.0,1.0,0.0,2.0,1.0,102.0,13.0,1.0,65.0,4.0,1.0,25.0,27.0,133.0,84.0,1.0,41.0,14.0,3.0,0.0,463.0,3.0,0.0,0.0,15.0,1.0,18.0,7.0,4.0,0.0,10.0,0.0,7.0,31.0,5.0,162.0,45.0,1.0,0.0,5.0,8.0,5.0,17.0,8.0,33.0,54.0,20.0,20.0,21.0,13.0,5.0,0.0,36.0,16.0,3.0,102.0,198.0,2.0,5.0,4.0,1.0,82.0,38.0,14.0,0.0,81.0,21.0,1.0,12.0,25.0,1.0,3.0,2.0,0.0,55.0,0.0,15.0,15.0,1.0,3.0,0.0,12.0,67.0
Spain,74.0,1.0,0.0,12.0,4.0,54.0,118.0,0.0,3.0,39.0,16.0,108.0,71.0,40.0,5.0,53.0,5.0,7.0,1.0,0.0,34.0,28.0,128.0,71.0,0.0,153.0,6.0,37.0,2.0,0.0,2.0,1.0,187.0,3.0,0.0,2.0,3.0,388.0,12.0,1.0,59.0,38.0,6.0,0.0,50.0,146.0,458.0,1.0,109.0,14.0,0.0,0.0,178.0,0.0,0.0,3.0,54.0,5.0,47.0,8.0,6.0,1.0,6.0,0.0,5.0,87.0,3.0,559.0,189.0,53.0,0.0,0.0,9.0,17.0,2.0,5.0,8.0,40.0,31.0,3.0,57.0,6.0,13.0,0.0,40.0,21.0,8.0,279.0,160.0,1.0,38.0,5.0,0.0,6.0,5.0,32.0,1.0,168.0,92.0,35.0,14.0,36.0,0.0,51.0,19.0,0.0,204.0,11.0,26.0,29.0,1.0,5.0,0.0,17.0,144.0
United States,13.0,79.0,12.0,166.0,59.0,173.0,110.0,5.0,72.0,103.0,369.0,152.0,174.0,129.0,75.0,2498.0,1.0,124.0,70.0,26.0,1152.0,542.0,370.0,119.0,45.0,1821.0,14.0,1071.0,132.0,1.0,274.0,47.0,1146.0,9.0,0.0,28.0,48.0,784.0,262.0,21.0,89.0,99.0,91.0,4.0,928.0,2114.0,2204.0,17.0,1238.0,424.0,72.0,1.0,2571.0,12.0,4.0,17.0,283.0,19.0,161.0,27.0,13.0,3.0,341.0,4.0,219.0,577.0,29.0,4919.0,230.0,213.0,2.0,8.0,172.0,97.0,24.0,221.0,162.0,222.0,396.0,14.0,420.0,834.0,41.0,9.0,163.0,572.0,109.0,1303.0,777.0,28.0,62.0,24.0,0.0,149.0,49.0,316.0,2.0,594.0,242.0,180.0,184.0,262.0,8.0,30.0,44.0,6.0,559.0,3.0,327.0,284.0,0.0,154.0,2.0,282.0,1334.0
"Macedonia, Republic of",1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,916.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,21.0,43.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,114.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,15.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0
Indonesia,1.0,3.0,1.0,9.0,5.0,15.0,10.0,0.0,2.0,6.0,2.0,18.0,10.0,5.0,0.0,49.0,0.0,2.0,0.0,0.0,11.0,8.0,191.0,11.0,1.0,45.0,0.0,5.0,2.0,0.0,1.0,0.0,40.0,0.0,0.0,4.0,0.0,20.0,3.0,1.0,8.0,3.0,0.0,1.0,32.0,47.0,47.0,0.0,31.0,3.0,1.0,0.0,79.0,8.0,0.0,0.0,6.0,11.0,20.0,19.0,0.0,0.0,0.0,0.0,7.0,75.0,0.0,108.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,14.0,28.0,0.0,46.0,2.0,4.0,0.0,14.0,23.0,1.0,45.0,7.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,39.0,12.0,0.0,9.0,5.0,0.0,4.0,7.0,0.0,45.0,0.0,11.0,3.0,0.0,1.0,0.0,44.0,71.0
Italy,46.0,13.0,1.0,53.0,11.0,36.0,30.0,1.0,10.0,21.0,91.0,113.0,21.0,10.0,2.0,85.0,1.0,19.0,0.0,4.0,31.0,30.0,102.0,58.0,0.0,179.0,12.0,45.0,33.0,0.0,11.0,1.0,460.0,5.0,0.0,7.0,0.0,118.0,60.0,6.0,8.0,117.0,6.0,0.0,91.0,292.0,434.0,2.0,208.0,96.0,0.0,0.0,316.0,3.0,1.0,1.0,291.0,21.0,283.0,26.0,5.0,0.0,26.0,2.0,11.0,113.0,6.0,998.0,939.0,20.0,1.0,0.0,42.0,158.0,1.0,103.0,103.0,24.0,162.0,8.0,27.0,28.0,28.0,0.0,66.0,419.0,3.0,258.0,121.0,19.0,186.0,6.0,2.0,1.0,3.0,39.0,0.0,169.0,55.0,48.0,165.0,37.0,0.0,8.0,3.0,3.0,188.0,0.0,42.0,68.0,1.0,99.0,0.0,30.0,164.0
Turkey,2.0,17.0,0.0,10.0,1.0,3.0,6.0,0.0,0.0,0.0,23.0,1.0,2.0,17.0,0.0,109.0,12.0,2.0,3.0,1.0,14.0,5.0,9.0,104.0,0.0,26.0,8.0,10.0,3.0,0.0,6.0,0.0,25.0,2.0,0.0,0.0,0.0,156.0,31.0,0.0,1.0,1.0,1.0,0.0,23.0,121.0,65.0,0.0,42.0,2.0,0.0,0.0,160.0,0.0,0.0,0.0,1.0,4.0,27.0,3.0,0.0,0.0,12.0,0.0,6.0,37.0,0.0,224.0,28.0,33.0,0.0,0.0,10.0,1.0,0.0,13.0,3.0,22.0,59.0,8.0,298.0,79.0,0.0,0.0,33.0,14.0,29.0,64.0,87.0,0.0,45.0,6.0,0.0,5.0,9.0,9.0,0.0,90.0,16.0,1.0,14.0,34.0,0.0,3.0,0.0,11.0,172.0,0.0,16.0,25.0,3.0,9.0,1.0,5.0,25.0
Japan,6.0,5.0,1.0,30.0,2.0,24.0,1.0,4.0,8.0,5.0,2.0,4.0,3.0,29.0,2.0,113.0,0.0,8.0,0.0,0.0,119.0,20.0,22.0,12.0,0.0,67.0,1.0,40.0,52.0,0.0,6.0,0.0,39.0,0.0,0.0,2.0,64.0,144.0,7.0,2.0,7.0,13.0,2.0,0.0,12.0,31.0,33.0,4.0,36.0,12.0,0.0,0.0,186.0,7.0,3.0,84.0,2.0,0.0,91.0,1.0,1.0,0.0,4.0,0.0,13.0,49.0,7.0,281.0,13.0,0.0,0.0,0.0,3.0,21.0,0.0,7.0,21.0,17.0,8.0,0.0,24.0,4.0,1.0,2.0,5.0,98.0,23.0,64.0,16.0,1.0,0.0,4.0,1.0,1.0,14.0,6.0,0.0,103.0,20.0,48.0,2.0,2.0,1.0,0.0,2.0,0.0,37.0,0.0,14.0,12.0,0.0,0.0,0.0,12.0,47.0
France,4.0,13.0,2.0,54.0,4.0,11.0,17.0,0.0,0.0,1.0,90.0,135.0,9.0,26.0,5.0,382.0,0.0,9.0,2.0,20.0,86.0,17.0,166.0,86.0,0.0,247.0,6.0,57.0,6.0,0.0,9.0,0.0,282.0,0.0,0.0,5.0,2.0,373.0,35.0,3.0,31.0,38.0,0.0,0.0,14.0,93.0,68.0,1.0,29.0,5.0,6.0,0.0,702.0,4.0,1.0,0.0,12.0,3.0,225.0,9.0,115.0,0.0,168.0,0.0,12.0,169.0,1.0,634.0,84.0,4.0,0.0,0.0,14.0,36.0,4.0,11.0,24.0,7.0,42.0,6.0,22.0,47.0,7.0,0.0,16.0,30.0,8.0,43.0,156.0,7.0,4.0,8.0,3.0,7.0,11.0,18.0,0.0,204.0,31.0,43.0,65.0,23.0,0.0,3.0,2.0,0.0,162.0,3.0,68.0,20.0,2.0,36.0,0.0,98.0,244.0
Russian Federation,12.0,70.0,23.0,70.0,11.0,24.0,43.0,0.0,7.0,1.0,55.0,16.0,21.0,22.0,0.0,328.0,9.0,5.0,7.0,0.0,39.0,19.0,100.0,82.0,0.0,242.0,179.0,52.0,9.0,45.0,1.0,0.0,144.0,0.0,0.0,20.0,1.0,371.0,8.0,30.0,3.0,16.0,7.0,0.0,92.0,137.0,59.0,3.0,22.0,5.0,0.0,0.0,1058.0,2.0,0.0,0.0,0.0,2.0,15.0,6.0,5.0,0.0,246.0,0.0,14.0,54.0,2.0,888.0,42.0,8.0,0.0,0.0,31.0,1.0,0.0,34.0,6.0,37.0,100.0,0.0,181.0,12.0,4.0,0.0,150.0,111.0,4.0,59.0,24.0,0.0,5.0,4.0,0.0,9.0,31.0,11.0,20.0,130.0,50.0,7.0,21.0,16.0,4.0,40.0,21.0,0.0,443.0,17.0,123.0,47.0,0.0,11.0,0.0,50.0,89.0
