,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Malaysia,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,146.0,0.0,928.0,0.0,0.0,18.0,0.0,23.0,0.0,0.0,20.0,0.0,34.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,16.0,6.0,0.0,0.0,1.0,2.0,1.0,3.0,14.0,22.0,0.0,2.0,0.0,6.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,135.0,13.0,1.0,11.0,3.0,0.0,0.0,7.0,0.0,85.0,17.0,1.0,7.0,77.0,6.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,31.0,3.0,33.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,15.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,8.0,4.0,0.0,2.0,0.0,2.0,6.0
Spain,36.0,4.0,2.0,34.0,18.0,62.0,133.0,1.0,10.0,24.0,33.0,20.0,11.0,83.0,2.0,132.0,5.0,11193.0,6.0,4.0,85.0,45.0,52.0,174.0,2.0,525.0,5.0,48.0,6.0,0.0,15.0,14.0,121.0,2.0,0.0,9.0,3.0,97.0,15.0,14.0,13.0,34.0,8.0,0.0,71.0,114.0,310.0,7.0,339.0,22.0,1.0,0.0,221.0,0.0,0.0,2.0,22.0,14.0,132.0,7.0,7.0,12.0,30.0,1.0,146.0,85.0,5.0,297.0,88.0,2.0,0.0,0.0,3.0,22.0,13.0,1.0,13.0,62.0,72.0,10.0,50.0,21.0,21.0,0.0,32.0,19.0,77.0,201.0,77.0,1.0,36.0,3.0,0.0,5.0,1.0,104.0,8.0,115.0,49.0,31.0,18.0,19.0,1.0,23.0,5.0,1.0,169.0,4.0,25.0,24.0,3.0,156.0,0.0,23.0,153.0
United States,10.0,180.0,29.0,314.0,101.0,148.0,85.0,7.0,186.0,99.0,165.0,168.0,203.0,147.0,56.0,2969.0,1.0,34744.0,27.0,22.0,2463.0,412.0,322.0,119.0,11.0,3446.0,54.0,838.0,91.0,0.0,115.0,173.0,736.0,1.0,0.0,61.0,42.0,612.0,243.0,58.0,112.0,116.0,107.0,4.0,383.0,1016.0,1230.0,27.0,1123.0,393.0,60.0,2.0,5421.0,9.0,11.0,13.0,126.0,19.0,207.0,84.0,21.0,12.0,459.0,3.0,1418.0,677.0,102.0,2279.0,140.0,26.0,2.0,2.0,158.0,147.0,118.0,90.0,241.0,1163.0,750.0,5.0,364.0,886.0,59.0,19.0,234.0,128.0,822.0,1118.0,903.0,17.0,56.0,50.0,3.0,64.0,51.0,899.0,56.0,1222.0,343.0,112.0,189.0,144.0,10.0,18.0,27.0,19.0,481.0,17.0,387.0,315.0,6.0,426.0,2.0,427.0,1415.0
Mexico,1.0,7.0,1.0,13.0,2.0,10.0,26.0,0.0,9.0,23.0,29.0,24.0,0.0,47.0,9.0,28.0,0.0,3203.0,0.0,2.0,28.0,7.0,136.0,12.0,0.0,96.0,0.0,38.0,8.0,0.0,2.0,5.0,27.0,0.0,0.0,2.0,0.0,22.0,5.0,0.0,4.0,22.0,6.0,1.0,18.0,75.0,66.0,1.0,26.0,4.0,0.0,0.0,136.0,0.0,0.0,0.0,1.0,2.0,22.0,4.0,0.0,0.0,6.0,0.0,27.0,37.0,1.0,124.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,3.0,22.0,38.0,0.0,27.0,18.0,18.0,0.0,42.0,41.0,42.0,73.0,8.0,8.0,3.0,2.0,0.0,5.0,1.0,70.0,3.0,51.0,21.0,0.0,8.0,4.0,0.0,2.0,1.0,0.0,43.0,0.0,25.0,14.0,0.0,23.0,0.0,15.0,127.0
Norway,2.0,1.0,0.0,38.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,12.0,4.0,7.0,33.0,0.0,763.0,0.0,0.0,28.0,1.0,4.0,17.0,0.0,27.0,0.0,17.0,0.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,4.0,5.0,0.0,2.0,18.0,17.0,26.0,0.0,5.0,0.0,0.0,0.0,70.0,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,8.0,13.0,1.0,22.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,1.0,8.0,4.0,6.0,0.0,3.0,14.0,8.0,0.0,5.0,6.0,9.0,11.0,79.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,14.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,16.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0
Chile,1.0,0.0,0.0,10.0,2.0,1.0,11.0,0.0,0.0,6.0,1.0,2.0,0.0,4.0,0.0,5.0,0.0,1369.0,0.0,0.0,8.0,4.0,14.0,1.0,0.0,67.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,28.0,0.0,10.0,54.0,6.0,0.0,6.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,17.0,11.0,2.0,0.0,5.0,1.0,11.0,8.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0
Italy,17.0,1.0,2.0,91.0,17.0,68.0,131.0,0.0,15.0,16.0,8.0,48.0,2.0,32.0,2.0,198.0,0.0,25383.0,1.0,2.0,97.0,57.0,74.0,104.0,2.0,437.0,5.0,105.0,17.0,0.0,16.0,3.0,608.0,1.0,0.0,16.0,0.0,84.0,50.0,5.0,8.0,25.0,5.0,1.0,23.0,168.0,339.0,2.0,471.0,362.0,0.0,1.0,365.0,2.0,1.0,0.0,94.0,23.0,70.0,7.0,5.0,2.0,31.0,0.0,127.0,288.0,5.0,571.0,71.0,6.0,0.0,0.0,8.0,76.0,4.0,15.0,76.0,96.0,110.0,3.0,49.0,41.0,38.0,0.0,98.0,164.0,1181.0,102.0,68.0,2.0,36.0,4.0,1.0,11.0,7.0,181.0,1.0,197.0,37.0,11.0,41.0,17.0,0.0,13.0,0.0,2.0,91.0,6.0,85.0,56.0,0.0,71.0,0.0,17.0,160.0
Viet Nam,1.0,1.0,3.0,63.0,0.0,18.0,0.0,0.0,2.0,0.0,6.0,14.0,3.0,0.0,0.0,53.0,0.0,1269.0,0.0,0.0,31.0,2.0,21.0,2.0,2.0,38.0,0.0,22.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,12.0,5.0,0.0,1.0,4.0,2.0,0.0,2.0,33.0,104.0,1.0,9.0,3.0,0.0,0.0,66.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,26.0,33.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,3.0,577.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,49.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,10.0,3.0,0.0,0.0,1.0,4.0,20.0
Germany,3.0,3.0,5.0,669.0,53.0,24.0,8.0,0.0,15.0,1.0,41.0,28.0,19.0,38.0,2.0,315.0,5.0,8005.0,1.0,34.0,127.0,55.0,68.0,63.0,3.0,338.0,32.0,196.0,47.0,0.0,50.0,1.0,213.0,2.0,0.0,2.0,11.0,100.0,26.0,1.0,30.0,16.0,100.0,2.0,90.0,147.0,125.0,18.0,247.0,37.0,2.0,0.0,953.0,1.0,1.0,2.0,39.0,7.0,34.0,23.0,3.0,1.0,94.0,0.0,109.0,140.0,81.0,688.0,24.0,7.0,1.0,0.0,6.0,30.0,9.0,24.0,36.0,62.0,72.0,6.0,63.0,136.0,28.0,5.0,45.0,39.0,182.0,84.0,253.0,0.0,14.0,24.0,1.0,8.0,18.0,87.0,0.0,117.0,21.0,16.0,97.0,28.0,21.0,18.0,4.0,1.0,200.0,39.0,70.0,36.0,7.0,117.0,0.0,24.0,156.0
Romania,1.0,1.0,0.0,203.0,6.0,41.0,14.0,0.0,2.0,0.0,1.0,3.0,0.0,7.0,0.0,22.0,0.0,1964.0,0.0,13.0,30.0,9.0,0.0,2.0,0.0,57.0,1.0,14.0,2.0,0.0,1.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,20.0,0.0,2.0,19.0,20.0,0.0,16.0,2.0,0.0,0.0,194.0,0.0,0.0,0.0,1.0,0.0,17.0,13.0,1.0,0.0,30.0,0.0,14.0,9.0,1.0,33.0,4.0,5.0,0.0,0.0,18.0,51.0,2.0,1.0,0.0,14.0,32.0,0.0,4.0,2.0,3.0,0.0,14.0,8.0,2406.0,28.0,28.0,0.0,4.0,0.0,0.0,3.0,0.0,10.0,1.0,18.0,11.0,0.0,7.0,3.0,0.0,11.0,1.0,0.0,63.0,0.0,8.0,27.0,4.0,12.0,0.0,1.0,18.0
