,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cabo Verde,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,143.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Italy,17.0,11.0,1.0,785.0,5.0,53.0,97.0,2.0,7.0,10.0,9.0,61.0,11.0,14.0,2.0,166.0,0.0,18993.0,0.0,0.0,52.0,76.0,38.0,67.0,1.0,272.0,16.0,64.0,10.0,0.0,51.0,9.0,269.0,3.0,0.0,7.0,1.0,94.0,28.0,5.0,30.0,47.0,3.0,0.0,22.0,254.0,566.0,7.0,343.0,302.0,3.0,0.0,377.0,11.0,0.0,0.0,134.0,20.0,61.0,6.0,0.0,1.0,7.0,0.0,69.0,195.0,14.0,619.0,115.0,17.0,1.0,0.0,13.0,43.0,23.0,42.0,95.0,130.0,117.0,1.0,26.0,345.0,29.0,1.0,36.0,166.0,760.0,229.0,102.0,5.0,70.0,14.0,0.0,7.0,10.0,132.0,11.0,188.0,76.0,19.0,95.0,16.0,0.0,107.0,0.0,1.0,74.0,1.0,32.0,38.0,1.0,32.0,0.0,30.0,93.0
United States,15.0,263.0,24.0,586.0,59.0,215.0,81.0,5.0,129.0,70.0,146.0,89.0,145.0,88.0,183.0,1615.0,12.0,32479.0,15.0,26.0,1682.0,434.0,197.0,95.0,35.0,1900.0,12.0,799.0,55.0,3.0,487.0,155.0,680.0,2.0,0.0,72.0,51.0,758.0,255.0,26.0,124.0,86.0,89.0,9.0,420.0,1189.0,1119.0,21.0,1278.0,477.0,94.0,3.0,3747.0,10.0,9.0,6.0,97.0,34.0,160.0,113.0,24.0,6.0,320.0,3.0,844.0,525.0,195.0,2311.0,114.0,43.0,1.0,19.0,83.0,183.0,267.0,100.0,221.0,1149.0,632.0,5.0,331.0,891.0,58.0,16.0,264.0,169.0,497.0,970.0,734.0,27.0,43.0,71.0,2.0,107.0,51.0,796.0,110.0,1187.0,277.0,161.0,131.0,203.0,13.0,12.0,49.0,13.0,316.0,15.0,466.0,359.0,3.0,454.0,0.0,277.0,744.0
Puerto Rico,1.0,0.0,0.0,55.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,308.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,13.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,6.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,16.0
Spain,48.0,39.0,3.0,327.0,10.0,52.0,47.0,0.0,7.0,40.0,21.0,3.0,16.0,34.0,5.0,79.0,4.0,7386.0,0.0,1.0,37.0,73.0,86.0,70.0,5.0,296.0,18.0,34.0,26.0,0.0,50.0,7.0,67.0,1.0,0.0,4.0,1.0,43.0,32.0,4.0,29.0,51.0,34.0,0.0,34.0,116.0,225.0,23.0,314.0,85.0,2.0,0.0,324.0,0.0,7.0,0.0,21.0,23.0,33.0,24.0,12.0,7.0,28.0,3.0,92.0,101.0,4.0,351.0,63.0,5.0,0.0,0.0,9.0,31.0,5.0,1.0,52.0,83.0,116.0,2.0,109.0,11.0,9.0,0.0,64.0,8.0,16.0,150.0,57.0,1.0,55.0,7.0,0.0,23.0,3.0,180.0,7.0,184.0,23.0,46.0,9.0,52.0,2.0,33.0,10.0,1.0,90.0,4.0,26.0,62.0,2.0,77.0,0.0,16.0,77.0
Japan,7.0,50.0,1.0,305.0,2.0,8.0,1.0,2.0,7.0,2.0,3.0,1.0,3.0,5.0,2.0,45.0,8.0,1776.0,0.0,2.0,61.0,41.0,37.0,8.0,0.0,116.0,3.0,45.0,92.0,0.0,3.0,1.0,52.0,0.0,0.0,9.0,5.0,79.0,14.0,3.0,1.0,3.0,0.0,0.0,6.0,60.0,97.0,12.0,36.0,18.0,1.0,0.0,123.0,26.0,0.0,41.0,1.0,1.0,15.0,3.0,0.0,1.0,6.0,0.0,55.0,45.0,12.0,99.0,7.0,1.0,1.0,0.0,8.0,33.0,12.0,0.0,10.0,143.0,26.0,0.0,3.0,14.0,3.0,0.0,5.0,25.0,35.0,25.0,11.0,6.0,1.0,8.0,0.0,6.0,1.0,30.0,11.0,54.0,41.0,2.0,17.0,20.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,14.0,0.0,4.0,0.0,13.0,31.0
Russian Federation,39.0,52.0,0.0,188.0,1.0,23.0,19.0,0.0,4.0,3.0,36.0,7.0,3.0,21.0,2.0,109.0,2.0,3976.0,33.0,2.0,74.0,19.0,26.0,53.0,3.0,183.0,45.0,97.0,36.0,6.0,9.0,2.0,48.0,0.0,0.0,1.0,1.0,282.0,4.0,2.0,4.0,24.0,4.0,0.0,71.0,101.0,40.0,1.0,16.0,10.0,1.0,0.0,1406.0,0.0,0.0,0.0,8.0,1.0,32.0,10.0,2.0,0.0,45.0,0.0,59.0,33.0,2.0,394.0,67.0,4.0,0.0,0.0,121.0,8.0,1.0,61.0,8.0,119.0,59.0,2.0,135.0,21.0,6.0,0.0,131.0,81.0,477.0,45.0,23.0,0.0,12.0,2.0,0.0,2.0,2.0,49.0,1.0,65.0,146.0,16.0,31.0,13.0,0.0,50.0,3.0,0.0,150.0,7.0,47.0,28.0,1.0,65.0,0.0,125.0,38.0
Portugal,5.0,0.0,1.0,148.0,0.0,8.0,5.0,0.0,1.0,1.0,4.0,6.0,11.0,3.0,1.0,99.0,0.0,3295.0,0.0,0.0,10.0,4.0,17.0,2.0,0.0,43.0,1.0,3.0,1.0,0.0,10.0,2.0,78.0,1.0,0.0,1.0,0.0,6.0,3.0,0.0,2.0,15.0,0.0,0.0,1.0,32.0,44.0,2.0,11.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,40.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,14.0,26.0,1.0,116.0,13.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,19.0,11.0,17.0,0.0,23.0,0.0,5.0,0.0,9.0,5.0,15.0,39.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,25.0,1.0,70.0,20.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,46.0,0.0,7.0,9.0,0.0,9.0,0.0,15.0,30.0
China,2.0,149.0,2.0,638.0,5.0,19.0,32.0,0.0,16.0,6.0,8.0,3.0,13.0,27.0,7.0,222.0,0.0,5312.0,8.0,8.0,265.0,55.0,61.0,71.0,0.0,805.0,65.0,265.0,34.0,0.0,18.0,2.0,312.0,1.0,2.0,8.0,6.0,224.0,23.0,2.0,6.0,15.0,47.0,11.0,47.0,244.0,131.0,80.0,144.0,20.0,5.0,0.0,632.0,46.0,16.0,2.0,6.0,4.0,29.0,37.0,3.0,0.0,14.0,0.0,650.0,230.0,35.0,568.0,35.0,13.0,10.0,1.0,20.0,1380.0,6.0,11.0,66.0,4075.0,96.0,9.0,28.0,62.0,16.0,1.0,27.0,12.0,511.0,73.0,98.0,2.0,9.0,28.0,0.0,22.0,3.0,106.0,2.0,228.0,49.0,122.0,26.0,18.0,3.0,4.0,0.0,2.0,121.0,0.0,79.0,152.0,1.0,4.0,1.0,51.0,172.0
El Salvador,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,308.0,0.0,0.0,174.0,0.0,21.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,30.0
