,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,50.0,2.0,3.0,910.0,15.0,96.0,74.0,0.0,33.0,57.0,44.0,7.0,74.0,48.0,4.0,171.0,5.0,9248.0,0.0,4.0,76.0,64.0,128.0,126.0,5.0,391.0,38.0,59.0,30.0,0.0,66.0,6.0,93.0,2.0,0.0,2.0,2.0,85.0,45.0,3.0,52.0,72.0,39.0,0.0,63.0,188.0,347.0,59.0,430.0,104.0,2.0,0.0,670.0,0.0,0.0,2.0,28.0,25.0,55.0,32.0,15.0,8.0,15.0,1.0,128.0,146.0,4.0,431.0,72.0,5.0,1.0,0.0,6.0,37.0,4.0,5.0,51.0,80.0,94.0,21.0,152.0,21.0,7.0,1.0,90.0,8.0,37.0,284.0,131.0,2.0,124.0,9.0,0.0,56.0,6.0,162.0,9.0,241.0,54.0,38.0,12.0,50.0,1.0,41.0,6.0,0.0,159.0,5.0,40.0,80.0,1.0,21.0,0.0,34.0,95.0
Costa Rica,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,6.0,0.0,10.0,0.0,735.0,0.0,0.0,0.0,2.0,23.0,6.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,19.0,18.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,39.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,1.0,0.0,8.0,5.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,17.0,5.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0
Portugal,5.0,1.0,0.0,290.0,1.0,10.0,7.0,0.0,2.0,1.0,3.0,11.0,2.0,1.0,1.0,119.0,0.0,3206.0,0.0,0.0,16.0,5.0,59.0,3.0,0.0,33.0,0.0,3.0,1.0,0.0,11.0,2.0,56.0,1.0,0.0,1.0,0.0,27.0,3.0,1.0,1.0,15.0,0.0,0.0,5.0,42.0,52.0,2.0,13.0,1.0,1.0,0.0,119.0,0.0,0.0,1.0,66.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,17.0,27.0,0.0,140.0,12.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,8.0,14.0,24.0,1.0,22.0,0.0,8.0,0.0,9.0,1.0,26.0,15.0,8.0,0.0,2.0,2.0,0.0,0.0,5.0,6.0,0.0,177.0,12.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,48.0,0.0,11.0,12.0,0.0,7.0,0.0,17.0,46.0
"Congo, The Democratic Republic of the",1.0,2.0,0.0,44.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,30.0,2.0,5.0,27.0,322.0,2.0,0.0,5.0,4.0,4.0,1.0,0.0,360.0,1.0,10.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,3.0,11.0,2.0,0.0,6.0,1.0,2.0,0.0,6.0,11.0,7.0,2.0,28.0,5.0,0.0,1.0,45.0,0.0,0.0,0.0,2.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,18.0,20.0,2.0,95.0,12.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,11.0,20.0,8.0,3.0,11.0,0.0,0.0,3.0,4.0,11.0,10.0,10.0,0.0,2.0,0.0,0.0,6.0,9.0,23.0,0.0,28.0,1.0,1.0,7.0,5.0,0.0,5.0,5.0,0.0,35.0,0.0,15.0,4.0,0.0,0.0,4.0,18.0,12.0
Mexico,2.0,2.0,5.0,80.0,7.0,9.0,13.0,0.0,49.0,23.0,20.0,16.0,6.0,20.0,4.0,55.0,0.0,2801.0,0.0,0.0,23.0,15.0,130.0,20.0,1.0,61.0,0.0,19.0,8.0,1.0,5.0,4.0,32.0,0.0,0.0,2.0,0.0,46.0,5.0,1.0,6.0,19.0,2.0,0.0,12.0,100.0,111.0,2.0,72.0,5.0,3.0,0.0,112.0,0.0,0.0,0.0,0.0,2.0,36.0,4.0,0.0,3.0,2.0,1.0,17.0,42.0,0.0,154.0,3.0,2.0,0.0,0.0,10.0,3.0,13.0,4.0,4.0,40.0,9.0,0.0,41.0,11.0,31.0,0.0,56.0,16.0,10.0,116.0,65.0,2.0,5.0,2.0,0.0,14.0,3.0,29.0,7.0,116.0,29.0,3.0,3.0,10.0,2.0,4.0,8.0,2.0,30.0,1.0,30.0,11.0,0.0,1.0,0.0,5.0,118.0
United States,13.0,277.0,37.0,2380.0,62.0,230.0,127.0,7.0,136.0,87.0,139.0,151.0,155.0,100.0,202.0,1331.0,18.0,35770.0,26.0,31.0,1837.0,583.0,265.0,103.0,42.0,1903.0,20.0,976.0,58.0,3.0,584.0,70.0,722.0,7.0,0.0,55.0,36.0,901.0,319.0,32.0,126.0,85.0,117.0,9.0,402.0,1251.0,1244.0,25.0,1153.0,546.0,78.0,4.0,4024.0,23.0,13.0,8.0,105.0,46.0,185.0,118.0,19.0,4.0,398.0,2.0,775.0,629.0,192.0,2053.0,154.0,61.0,1.0,11.0,260.0,183.0,87.0,68.0,284.0,888.0,496.0,15.0,350.0,845.0,89.0,33.0,325.0,144.0,583.0,808.0,732.0,18.0,43.0,95.0,3.0,116.0,67.0,653.0,57.0,1089.0,285.0,150.0,137.0,207.0,15.0,13.0,64.0,15.0,429.0,21.0,413.0,427.0,3.0,118.0,1.0,299.0,994.0
Cabo Verde,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Belgium,4.0,1.0,0.0,202.0,0.0,4.0,11.0,0.0,3.0,0.0,8.0,0.0,1.0,1.0,1.0,42.0,0.0,1924.0,0.0,1.0,10.0,7.0,8.0,10.0,0.0,61.0,1.0,18.0,7.0,0.0,17.0,0.0,58.0,0.0,0.0,0.0,0.0,69.0,32.0,2.0,3.0,2.0,1.0,1.0,6.0,32.0,9.0,0.0,16.0,8.0,0.0,0.0,175.0,0.0,0.0,0.0,32.0,0.0,5.0,1.0,3.0,0.0,4.0,0.0,3.0,20.0,2.0,59.0,1.0,0.0,0.0,0.0,8.0,9.0,1.0,2.0,1.0,4.0,18.0,4.0,13.0,22.0,0.0,1.0,10.0,8.0,8.0,15.0,136.0,1.0,3.0,0.0,1.0,7.0,3.0,10.0,0.0,27.0,1.0,5.0,0.0,5.0,0.0,2.0,7.0,1.0,29.0,0.0,7.0,3.0,1.0,1.0,0.0,5.0,14.0
Italy,18.0,11.0,2.0,1041.0,6.0,56.0,138.0,2.0,37.0,14.0,15.0,30.0,18.0,13.0,4.0,233.0,0.0,24280.0,0.0,2.0,58.0,87.0,19.0,104.0,1.0,323.0,21.0,53.0,8.0,0.0,70.0,10.0,210.0,2.0,0.0,11.0,2.0,73.0,44.0,5.0,33.0,64.0,2.0,0.0,27.0,375.0,680.0,10.0,381.0,311.0,3.0,0.0,508.0,4.0,0.0,1.0,167.0,25.0,98.0,10.0,3.0,1.0,16.0,0.0,80.0,150.0,14.0,933.0,227.0,14.0,1.0,0.0,20.0,58.0,22.0,58.0,142.0,138.0,170.0,2.0,34.0,346.0,9.0,3.0,49.0,273.0,952.0,322.0,151.0,1.0,78.0,17.0,0.0,10.0,11.0,123.0,10.0,307.0,82.0,26.0,92.0,21.0,0.0,94.0,0.0,8.0,81.0,1.0,50.0,65.0,1.0,21.0,0.0,25.0,87.0
Brazil,2.0,1.0,10.0,80.0,14.0,95.0,49.0,2.0,8.0,68.0,21.0,311.0,8.0,36.0,5.0,114.0,0.0,6709.0,7.0,32.0,34.0,64.0,816.0,22.0,0.0,88.0,3.0,42.0,0.0,0.0,32.0,7.0,163.0,2.0,0.0,44.0,0.0,118.0,7.0,18.0,6.0,151.0,0.0,1.0,42.0,305.0,105.0,6.0,143.0,21.0,11.0,2.0,845.0,13.0,0.0,1.0,1.0,107.0,507.0,69.0,1.0,0.0,10.0,1.0,37.0,233.0,23.0,781.0,50.0,0.0,0.0,0.0,9.0,58.0,33.0,3.0,13.0,57.0,227.0,1.0,204.0,17.0,39.0,0.0,154.0,80.0,40.0,189.0,81.0,1.0,32.0,90.0,0.0,10.0,8.0,35.0,7.0,1409.0,125.0,66.0,41.0,76.0,5.0,1.0,8.0,3.0,103.0,0.0,57.0,74.0,6.0,6.0,0.0,296.0,938.0
