,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,16.0,2.0,2.0,108.0,18.0,75.0,99.0,3.0,8.0,18.0,21.0,49.0,4.0,47.0,2.0,266.0,0.0,25929.0,1.0,2.0,69.0,107.0,68.0,144.0,4.0,627.0,7.0,113.0,16.0,0.0,17.0,1.0,399.0,2.0,0.0,21.0,0.0,68.0,55.0,5.0,5.0,53.0,2.0,1.0,25.0,213.0,361.0,3.0,540.0,415.0,0.0,1.0,521.0,1.0,1.0,1.0,129.0,23.0,97.0,22.0,6.0,3.0,11.0,0.0,168.0,254.0,4.0,805.0,86.0,6.0,0.0,1.0,15.0,70.0,17.0,16.0,84.0,165.0,205.0,2.0,70.0,89.0,13.0,0.0,90.0,194.0,1465.0,116.0,84.0,0.0,38.0,5.0,1.0,10.0,13.0,177.0,2.0,252.0,33.0,74.0,54.0,19.0,0.0,21.0,1.0,2.0,94.0,3.0,88.0,57.0,1.0,37.0,0.0,31.0,178.0
Spain,29.0,4.0,2.0,66.0,11.0,79.0,147.0,1.0,15.0,26.0,35.0,19.0,8.0,100.0,2.0,152.0,3.0,12835.0,6.0,3.0,76.0,49.0,45.0,237.0,2.0,609.0,6.0,70.0,10.0,0.0,12.0,12.0,127.0,1.0,0.0,6.0,2.0,92.0,17.0,11.0,14.0,32.0,16.0,1.0,80.0,136.0,355.0,11.0,340.0,18.0,2.0,0.0,271.0,0.0,0.0,1.0,23.0,15.0,147.0,19.0,8.0,16.0,10.0,1.0,187.0,97.0,5.0,385.0,87.0,4.0,0.0,0.0,1.0,28.0,12.0,2.0,17.0,93.0,59.0,10.0,57.0,25.0,23.0,0.0,47.0,20.0,97.0,205.0,74.0,2.0,24.0,3.0,0.0,8.0,1.0,117.0,7.0,142.0,42.0,36.0,17.0,22.0,1.0,22.0,6.0,1.0,207.0,0.0,31.0,23.0,4.0,136.0,0.0,52.0,201.0
United States,6.0,148.0,25.0,226.0,72.0,158.0,89.0,6.0,171.0,91.0,50.0,119.0,158.0,105.0,63.0,2812.0,1.0,34978.0,20.0,21.0,2294.0,360.0,357.0,97.0,18.0,3661.0,44.0,755.0,86.0,0.0,116.0,108.0,724.0,4.0,1.0,53.0,43.0,541.0,201.0,36.0,91.0,110.0,134.0,13.0,366.0,938.0,1199.0,25.0,846.0,311.0,65.0,1.0,5203.0,8.0,10.0,11.0,191.0,18.0,238.0,44.0,8.0,11.0,367.0,1.0,1384.0,706.0,110.0,2059.0,113.0,45.0,1.0,16.0,123.0,127.0,107.0,89.0,239.0,799.0,681.0,3.0,278.0,566.0,39.0,18.0,252.0,119.0,877.0,856.0,640.0,13.0,49.0,53.0,3.0,62.0,56.0,602.0,34.0,1213.0,406.0,108.0,160.0,132.0,7.0,14.0,25.0,16.0,542.0,18.0,393.0,282.0,4.0,95.0,2.0,421.0,1565.0
"Venezuela, Bolivarian Republic of",1.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.0,2.0,17.0,1.0,21.0,0.0,1536.0,0.0,1.0,17.0,4.0,37.0,18.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,0.0,16.0,67.0,37.0,0.0,4.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,0.0,2.0,0.0,0.0,7.0,77.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,7.0,18.0,0.0,15.0,0.0,0.0,0.0,8.0,9.0,10.0,46.0,16.0,0.0,5.0,5.0,0.0,3.0,1.0,6.0,1.0,14.0,5.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,110.0,0.0,4.0,6.0,1.0,0.0,0.0,29.0,16.0
Cabo Verde,2.0,1.0,0.0,14.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,12.0,0.0,575.0,0.0,0.0,15.0,2.0,6.0,1.0,1.0,29.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0,2.0,0.0,5.0,0.0,2.0,17.0,23.0,0.0,10.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,12.0,10.0,109.0,1.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0
China,2.0,26.0,2.0,1006.0,1.0,35.0,29.0,0.0,48.0,8.0,10.0,16.0,8.0,51.0,8.0,814.0,0.0,6143.0,1.0,2.0,387.0,42.0,65.0,105.0,0.0,1805.0,106.0,409.0,36.0,0.0,16.0,13.0,125.0,1.0,0.0,4.0,3.0,143.0,52.0,5.0,15.0,17.0,42.0,34.0,89.0,346.0,166.0,22.0,228.0,25.0,3.0,0.0,1661.0,20.0,5.0,4.0,11.0,2.0,30.0,1.0,0.0,4.0,12.0,0.0,1111.0,212.0,95.0,911.0,31.0,17.0,1.0,25.0,11.0,1564.0,9.0,12.0,82.0,3859.0,107.0,0.0,58.0,105.0,11.0,5.0,39.0,40.0,1654.0,99.0,54.0,2.0,3.0,12.0,0.0,11.0,3.0,149.0,2.0,445.0,35.0,12.0,36.0,21.0,0.0,7.0,0.0,1.0,196.0,0.0,71.0,180.0,1.0,16.0,55.0,56.0,239.0
Viet Nam,2.0,1.0,4.0,71.0,0.0,18.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0,0.0,43.0,0.0,1027.0,0.0,1.0,19.0,7.0,13.0,2.0,3.0,43.0,0.0,28.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,20.0,38.0,1.0,6.0,3.0,0.0,0.0,90.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,18.0,28.0,0.0,19.0,2.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,3.0,536.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,2.0,48.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,11.0,1.0,0.0,1.0,0.0,4.0,4.0
United Kingdom,1.0,18.0,2.0,318.0,11.0,46.0,7.0,1.0,150.0,20.0,40.0,27.0,29.0,69.0,15.0,886.0,1.0,19956.0,0.0,37.0,499.0,70.0,99.0,135.0,4.0,1254.0,14.0,528.0,23.0,0.0,60.0,13.0,284.0,1.0,0.0,15.0,4.0,461.0,32.0,8.0,92.0,35.0,21.0,3.0,196.0,517.0,347.0,14.0,161.0,64.0,13.0,0.0,3241.0,9.0,1.0,2.0,27.0,20.0,111.0,27.0,10.0,6.0,57.0,0.0,480.0,413.0,19.0,972.0,83.0,57.0,1.0,4.0,29.0,114.0,29.0,17.0,73.0,184.0,282.0,3.0,98.0,212.0,3.0,2.0,117.0,53.0,419.0,180.0,453.0,3.0,31.0,24.0,0.0,31.0,24.0,320.0,5.0,565.0,51.0,116.0,29.0,31.0,6.0,19.0,4.0,2.0,274.0,4.0,373.0,49.0,6.0,17.0,0.0,129.0,342.0
Argentina,2.0,2.0,0.0,19.0,2.0,15.0,73.0,0.0,4.0,32.0,8.0,14.0,2.0,8.0,0.0,21.0,0.0,2743.0,1.0,3.0,46.0,10.0,234.0,26.0,0.0,95.0,9.0,20.0,3.0,0.0,1.0,5.0,20.0,0.0,0.0,1.0,0.0,12.0,8.0,1.0,0.0,10.0,51.0,0.0,56.0,81.0,31.0,6.0,26.0,3.0,2.0,0.0,57.0,0.0,0.0,0.0,1.0,3.0,396.0,3.0,0.0,1.0,1.0,0.0,25.0,17.0,0.0,95.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,6.0,132.0,26.0,0.0,60.0,11.0,2.0,0.0,18.0,22.0,32.0,53.0,33.0,0.0,5.0,10.0,0.0,1.0,0.0,16.0,1.0,58.0,9.0,3.0,6.0,10.0,0.0,29.0,4.0,0.0,30.0,0.0,18.0,7.0,0.0,5.0,0.0,31.0,118.0
Indonesia,1.0,7.0,3.0,32.0,1.0,31.0,8.0,1.0,3.0,1.0,5.0,48.0,2.0,9.0,2.0,83.0,0.0,2797.0,0.0,0.0,47.0,8.0,155.0,7.0,0.0,122.0,2.0,42.0,0.0,0.0,0.0,3.0,40.0,3.0,0.0,8.0,1.0,19.0,3.0,0.0,3.0,7.0,2.0,3.0,31.0,78.0,44.0,4.0,54.0,16.0,3.0,0.0,277.0,0.0,0.0,0.0,0.0,2.0,40.0,11.0,0.0,0.0,4.0,0.0,63.0,76.0,1.0,224.0,8.0,0.0,0.0,3.0,2.0,9.0,21.0,2.0,8.0,62.0,32.0,0.0,19.0,8.0,3.0,0.0,26.0,5.0,89.0,48.0,18.0,0.0,3.0,5.0,0.0,1.0,5.0,12.0,16.0,81.0,9.0,0.0,9.0,23.0,1.0,1.0,3.0,2.0,69.0,0.0,26.0,6.0,2.0,1.0,1.0,43.0,157.0
