,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,48.0,39.0,3.0,268.0,16.0,49.0,42.0,0.0,7.0,39.0,24.0,3.0,16.0,37.0,4.0,75.0,5.0,7266.0,0.0,1.0,41.0,73.0,79.0,69.0,4.0,280.0,18.0,34.0,26.0,0.0,53.0,8.0,57.0,0.0,0.0,3.0,1.0,42.0,31.0,4.0,29.0,51.0,34.0,0.0,34.0,101.0,213.0,22.0,289.0,82.0,2.0,0.0,303.0,0.0,7.0,0.0,21.0,22.0,30.0,24.0,12.0,7.0,29.0,3.0,93.0,104.0,4.0,341.0,57.0,5.0,0.0,0.0,8.0,30.0,5.0,1.0,51.0,79.0,113.0,2.0,97.0,10.0,9.0,0.0,55.0,6.0,15.0,148.0,48.0,1.0,53.0,5.0,0.0,23.0,2.0,179.0,7.0,179.0,22.0,46.0,9.0,50.0,2.0,33.0,10.0,1.0,89.0,5.0,25.0,23.0,2.0,80.0,0.0,16.0,79.0
Cabo Verde,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,155.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
Uganda,1.0,4.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,14.0,10.0,10.0,0.0,252.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,80.0,0.0,7.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,6.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,6.0,1.0,2.0,1.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,95.0,6.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,90.0,0.0,7.0,1.0,0.0,0.0,1.0,5.0,4.0,8.0,10.0,0.0,0.0,6.0,1.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,26.0,4.0,1.0,1.0,0.0,8.0,10.0
China,3.0,156.0,1.0,646.0,5.0,19.0,32.0,0.0,15.0,6.0,18.0,5.0,14.0,30.0,9.0,257.0,0.0,5310.0,7.0,8.0,296.0,55.0,69.0,81.0,0.0,832.0,66.0,263.0,35.0,0.0,15.0,2.0,305.0,1.0,2.0,8.0,6.0,225.0,21.0,2.0,6.0,20.0,47.0,11.0,47.0,254.0,169.0,82.0,144.0,20.0,4.0,0.0,654.0,46.0,16.0,2.0,5.0,4.0,25.0,37.0,2.0,0.0,14.0,0.0,591.0,234.0,33.0,612.0,33.0,13.0,10.0,1.0,21.0,1367.0,7.0,11.0,66.0,4132.0,97.0,9.0,27.0,58.0,16.0,1.0,26.0,12.0,531.0,74.0,95.0,3.0,8.0,27.0,0.0,19.0,2.0,110.0,2.0,234.0,50.0,122.0,27.0,21.0,3.0,4.0,0.0,1.0,136.0,0.0,81.0,157.0,1.0,4.0,1.0,49.0,172.0
Italy,17.0,11.0,1.0,722.0,4.0,51.0,85.0,1.0,7.0,8.0,9.0,55.0,10.0,14.0,2.0,159.0,0.0,18954.0,0.0,0.0,49.0,76.0,38.0,66.0,1.0,269.0,11.0,65.0,10.0,0.0,48.0,9.0,305.0,3.0,0.0,6.0,1.0,94.0,28.0,5.0,30.0,45.0,3.0,0.0,19.0,244.0,558.0,7.0,351.0,308.0,3.0,0.0,376.0,11.0,0.0,0.0,129.0,17.0,53.0,6.0,0.0,1.0,6.0,0.0,73.0,198.0,13.0,601.0,103.0,17.0,1.0,0.0,13.0,44.0,19.0,41.0,94.0,127.0,119.0,1.0,21.0,340.0,29.0,1.0,35.0,147.0,708.0,234.0,102.0,5.0,71.0,7.0,0.0,7.0,6.0,132.0,11.0,183.0,71.0,17.0,97.0,16.0,0.0,106.0,0.0,1.0,70.0,1.0,29.0,38.0,1.0,31.0,0.0,29.0,83.0
United States,15.0,274.0,23.0,575.0,62.0,215.0,81.0,5.0,129.0,65.0,203.0,105.0,155.0,83.0,182.0,1731.0,12.0,33112.0,14.0,28.0,1766.0,418.0,197.0,86.0,29.0,2108.0,10.0,786.0,60.0,3.0,308.0,160.0,686.0,2.0,0.0,62.0,55.0,739.0,262.0,28.0,129.0,87.0,88.0,9.0,420.0,1164.0,1106.0,18.0,1250.0,469.0,94.0,4.0,3956.0,11.0,5.0,7.0,101.0,27.0,147.0,120.0,24.0,6.0,335.0,3.0,895.0,518.0,197.0,2368.0,108.0,42.0,1.0,19.0,80.0,181.0,258.0,101.0,209.0,1284.0,636.0,6.0,330.0,964.0,65.0,13.0,258.0,165.0,552.0,1040.0,742.0,29.0,47.0,63.0,2.0,102.0,50.0,831.0,110.0,1203.0,276.0,157.0,139.0,191.0,4.0,14.0,51.0,9.0,331.0,14.0,460.0,356.0,4.0,493.0,0.0,286.0,754.0
Puerto Rico,1.0,0.0,0.0,49.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,308.0,0.0,0.0,13.0,0.0,12.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,13.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,6.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,15.0
Japan,7.0,51.0,1.0,304.0,2.0,7.0,1.0,2.0,7.0,2.0,3.0,1.0,3.0,4.0,2.0,49.0,8.0,1983.0,0.0,2.0,62.0,37.0,46.0,7.0,0.0,81.0,3.0,45.0,84.0,0.0,3.0,1.0,53.0,0.0,0.0,7.0,5.0,81.0,13.0,4.0,1.0,3.0,1.0,0.0,5.0,62.0,140.0,12.0,40.0,20.0,1.0,0.0,131.0,19.0,0.0,40.0,1.0,1.0,12.0,3.0,0.0,1.0,6.0,0.0,59.0,51.0,12.0,104.0,8.0,1.0,1.0,0.0,8.0,32.0,9.0,0.0,13.0,155.0,27.0,0.0,3.0,15.0,4.0,0.0,9.0,26.0,34.0,26.0,12.0,6.0,1.0,7.0,0.0,3.0,1.0,29.0,9.0,52.0,40.0,2.0,17.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,11.0,14.0,0.0,4.0,0.0,13.0,37.0
Russian Federation,39.0,55.0,0.0,176.0,1.0,23.0,17.0,0.0,4.0,2.0,35.0,8.0,3.0,21.0,2.0,109.0,3.0,3867.0,33.0,2.0,72.0,16.0,28.0,51.0,3.0,192.0,45.0,98.0,33.0,6.0,8.0,2.0,46.0,0.0,0.0,0.0,1.0,309.0,4.0,2.0,4.0,24.0,4.0,0.0,76.0,104.0,48.0,1.0,15.0,10.0,1.0,0.0,1364.0,0.0,0.0,0.0,1.0,0.0,30.0,9.0,2.0,0.0,53.0,0.0,59.0,35.0,3.0,384.0,66.0,4.0,0.0,0.0,127.0,8.0,0.0,64.0,9.0,118.0,66.0,1.0,139.0,23.0,5.0,0.0,132.0,77.0,487.0,45.0,27.0,0.0,8.0,2.0,0.0,1.0,2.0,50.0,1.0,63.0,136.0,16.0,31.0,13.0,0.0,50.0,3.0,0.0,147.0,7.0,40.0,33.0,1.0,64.0,0.0,126.0,40.0
Portugal,4.0,0.0,1.0,147.0,0.0,8.0,4.0,0.0,1.0,1.0,4.0,6.0,11.0,5.0,1.0,94.0,0.0,3275.0,0.0,0.0,13.0,4.0,16.0,3.0,0.0,47.0,1.0,3.0,1.0,0.0,10.0,2.0,79.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,2.0,15.0,0.0,0.0,1.0,30.0,42.0,1.0,5.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,39.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,15.0,25.0,1.0,94.0,13.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,19.0,11.0,17.0,0.0,23.0,0.0,5.0,0.0,9.0,5.0,12.0,39.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,25.0,1.0,69.0,20.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,46.0,0.0,2.0,8.0,0.0,9.0,0.0,13.0,30.0
El Salvador,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,2.0,0.0,333.0,0.0,0.0,175.0,0.0,21.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,41.0
Canada,1.0,6.0,0.0,75.0,1.0,11.0,2.0,1.0,34.0,1.0,12.0,1.0,6.0,11.0,6.0,223.0,0.0,3863.0,2.0,17.0,112.0,33.0,11.0,7.0,0.0,180.0,2.0,49.0,9.0,0.0,8.0,3.0,53.0,0.0,0.0,2.0,0.0,30.0,24.0,2.0,6.0,2.0,6.0,0.0,67.0,53.0,85.0,1.0,50.0,43.0,1.0,0.0,277.0,0.0,0.0,0.0,38.0,2.0,13.0,35.0,5.0,0.0,29.0,1.0,47.0,30.0,4.0,122.0,5.0,4.0,0.0,1.0,4.0,18.0,8.0,7.0,11.0,36.0,42.0,0.0,46.0,86.0,1.0,6.0,8.0,4.0,40.0,48.0,110.0,1.0,1.0,4.0,0.0,7.0,6.0,61.0,3.0,114.0,31.0,59.0,11.0,3.0,0.0,3.0,3.0,0.0,30.0,0.0,30.0,14.0,1.0,36.0,0.0,17.0,56.0
"Congo, The Democratic Republic of the",1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,35.0,0.0,7.0,14.0,252.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,532.0,1.0,6.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,9.0,6.0,0.0,18.0,3.0,0.0,1.0,31.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,24.0,2.0,79.0,71.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,9.0,29.0,1.0,0.0,9.0,0.0,1.0,2.0,3.0,8.0,17.0,10.0,0.0,0.0,1.0,0.0,3.0,5.0,17.0,0.0,15.0,0.0,1.0,7.0,4.0,0.0,4.0,3.0,0.0,25.0,0.0,18.0,4.0,0.0,0.0,4.0,18.0,6.0
Costa Rica,3.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,6.0,0.0,3.0,0.0,6.0,0.0,414.0,0.0,0.0,2.0,1.0,12.0,3.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,14.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,10.0,0.0,0.0,6.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,12.0,18.0
Mexico,2.0,3.0,3.0,23.0,3.0,5.0,14.0,0.0,55.0,21.0,13.0,19.0,4.0,16.0,3.0,45.0,0.0,2365.0,0.0,0.0,20.0,9.0,134.0,15.0,1.0,45.0,0.0,22.0,4.0,0.0,4.0,10.0,22.0,1.0,0.0,3.0,0.0,35.0,9.0,2.0,4.0,20.0,3.0,0.0,10.0,79.0,91.0,1.0,50.0,9.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0.0,3.0,0.0,1.0,11.0,25.0,1.0,127.0,3.0,2.0,0.0,0.0,2.0,6.0,5.0,3.0,3.0,50.0,11.0,0.0,49.0,8.0,29.0,0.0,43.0,22.0,12.0,68.0,76.0,4.0,4.0,2.0,0.0,11.0,0.0,74.0,3.0,102.0,25.0,0.0,5.0,3.0,2.0,3.0,5.0,2.0,20.0,1.0,24.0,14.0,0.0,54.0,0.0,5.0,135.0
Belgium,2.0,2.0,0.0,236.0,0.0,4.0,7.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,2.0,44.0,0.0,1779.0,0.0,0.0,7.0,1.0,9.0,3.0,0.0,62.0,0.0,16.0,4.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,2.0,15.0,5.0,2.0,2.0,4.0,0.0,1.0,5.0,38.0,11.0,0.0,9.0,2.0,0.0,0.0,143.0,0.0,0.0,0.0,31.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0,56.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,1.0,5.0,10.0,3.0,12.0,15.0,0.0,0.0,9.0,8.0,3.0,11.0,25.0,0.0,2.0,0.0,1.0,3.0,6.0,10.0,0.0,17.0,1.0,13.0,3.0,4.0,0.0,2.0,6.0,0.0,7.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,15.0
Brazil,1.0,2.0,9.0,63.0,12.0,66.0,28.0,0.0,3.0,39.0,19.0,166.0,9.0,30.0,7.0,69.0,0.0,5199.0,7.0,35.0,20.0,57.0,352.0,11.0,0.0,73.0,5.0,42.0,3.0,0.0,3.0,5.0,133.0,3.0,0.0,21.0,2.0,62.0,6.0,14.0,5.0,165.0,2.0,1.0,17.0,266.0,123.0,3.0,94.0,45.0,8.0,1.0,586.0,3.0,1.0,1.0,1.0,91.0,395.0,23.0,2.0,0.0,8.0,0.0,41.0,169.0,19.0,419.0,38.0,1.0,0.0,0.0,12.0,79.0,9.0,3.0,12.0,62.0,180.0,1.0,176.0,20.0,45.0,0.0,152.0,71.0,38.0,133.0,58.0,2.0,23.0,58.0,0.0,6.0,2.0,32.0,3.0,1129.0,102.0,181.0,22.0,55.0,4.0,1.0,7.0,2.0,86.0,0.0,41.0,55.0,3.0,6.0,0.0,237.0,607.0
