,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,16.0,2.0,2.0,108.0,18.0,74.0,99.0,3.0,8.0,18.0,21.0,49.0,4.0,47.0,2.0,262.0,0.0,25790.0,1.0,2.0,69.0,107.0,68.0,144.0,4.0,626.0,7.0,113.0,16.0,0.0,17.0,1.0,399.0,2.0,0.0,21.0,0.0,67.0,54.0,5.0,5.0,53.0,2.0,1.0,25.0,212.0,361.0,3.0,540.0,415.0,0.0,1.0,520.0,1.0,1.0,1.0,128.0,23.0,97.0,22.0,6.0,3.0,11.0,0.0,166.0,255.0,4.0,816.0,86.0,6.0,0.0,1.0,15.0,70.0,17.0,16.0,84.0,165.0,203.0,2.0,70.0,89.0,13.0,0.0,90.0,193.0,1455.0,116.0,84.0,0.0,38.0,5.0,1.0,10.0,13.0,174.0,2.0,251.0,33.0,74.0,54.0,19.0,0.0,21.0,1.0,2.0,93.0,3.0,88.0,57.0,1.0,36.0,0.0,31.0,179.0
Spain,29.0,4.0,2.0,65.0,11.0,79.0,147.0,1.0,15.0,26.0,35.0,19.0,8.0,100.0,2.0,152.0,3.0,12797.0,6.0,3.0,77.0,49.0,44.0,237.0,2.0,604.0,6.0,70.0,10.0,0.0,12.0,12.0,127.0,1.0,0.0,6.0,2.0,93.0,17.0,11.0,14.0,32.0,16.0,1.0,80.0,136.0,355.0,11.0,340.0,18.0,2.0,0.0,265.0,0.0,0.0,1.0,23.0,15.0,147.0,19.0,8.0,16.0,10.0,1.0,186.0,96.0,5.0,384.0,87.0,4.0,0.0,0.0,1.0,26.0,12.0,2.0,17.0,92.0,59.0,10.0,57.0,25.0,23.0,0.0,47.0,20.0,97.0,205.0,78.0,2.0,24.0,3.0,0.0,8.0,1.0,117.0,7.0,141.0,42.0,36.0,17.0,22.0,1.0,22.0,6.0,1.0,207.0,0.0,30.0,23.0,4.0,136.0,0.0,52.0,199.0
United States,6.0,148.0,25.0,226.0,72.0,157.0,87.0,6.0,171.0,91.0,50.0,119.0,158.0,105.0,63.0,2799.0,1.0,34750.0,20.0,21.0,2279.0,359.0,353.0,97.0,18.0,3645.0,44.0,753.0,86.0,0.0,115.0,107.0,716.0,4.0,1.0,53.0,40.0,536.0,199.0,36.0,91.0,109.0,134.0,13.0,362.0,935.0,1196.0,25.0,844.0,310.0,65.0,1.0,5194.0,8.0,10.0,11.0,189.0,18.0,237.0,43.0,8.0,11.0,365.0,1.0,1376.0,701.0,105.0,2055.0,113.0,45.0,1.0,15.0,122.0,127.0,106.0,89.0,238.0,791.0,676.0,3.0,279.0,565.0,39.0,18.0,253.0,117.0,873.0,851.0,635.0,13.0,48.0,53.0,3.0,61.0,56.0,581.0,34.0,1208.0,406.0,107.0,160.0,128.0,7.0,14.0,25.0,16.0,537.0,18.0,391.0,281.0,4.0,95.0,2.0,420.0,1558.0
"Venezuela, Bolivarian Republic of",1.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.0,2.0,16.0,1.0,21.0,0.0,1537.0,0.0,1.0,17.0,4.0,37.0,18.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,0.0,16.0,67.0,37.0,0.0,4.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,0.0,2.0,0.0,0.0,7.0,77.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,7.0,18.0,0.0,15.0,0.0,0.0,0.0,8.0,9.0,10.0,46.0,16.0,0.0,5.0,5.0,0.0,3.0,1.0,6.0,1.0,14.0,5.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,103.0,0.0,3.0,6.0,1.0,0.0,0.0,29.0,16.0
Cabo Verde,2.0,1.0,0.0,14.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,12.0,0.0,586.0,0.0,0.0,15.0,2.0,6.0,1.0,1.0,29.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0,2.0,0.0,5.0,0.0,2.0,17.0,24.0,0.0,10.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,12.0,10.0,116.0,1.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,3.0,5.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0
China,2.0,26.0,2.0,1002.0,1.0,35.0,29.0,0.0,48.0,8.0,10.0,16.0,8.0,50.0,8.0,806.0,0.0,6092.0,1.0,2.0,388.0,43.0,65.0,100.0,0.0,1800.0,106.0,407.0,36.0,0.0,16.0,13.0,125.0,1.0,0.0,3.0,3.0,143.0,52.0,5.0,14.0,17.0,42.0,34.0,89.0,343.0,165.0,22.0,228.0,25.0,3.0,0.0,1641.0,20.0,5.0,4.0,11.0,2.0,30.0,1.0,0.0,4.0,12.0,0.0,1099.0,210.0,94.0,902.0,31.0,17.0,1.0,25.0,11.0,1560.0,8.0,12.0,82.0,3796.0,106.0,0.0,57.0,105.0,11.0,5.0,39.0,37.0,1636.0,99.0,54.0,2.0,3.0,11.0,0.0,11.0,3.0,148.0,2.0,442.0,35.0,12.0,36.0,21.0,0.0,7.0,0.0,1.0,192.0,0.0,71.0,181.0,1.0,16.0,55.0,54.0,236.0
Viet Nam,2.0,1.0,4.0,71.0,0.0,18.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0,0.0,43.0,0.0,1025.0,0.0,1.0,19.0,7.0,12.0,2.0,3.0,42.0,0.0,28.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,20.0,38.0,1.0,6.0,3.0,0.0,0.0,90.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,18.0,28.0,0.0,19.0,2.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,3.0,537.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,2.0,48.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,11.0,1.0,0.0,1.0,0.0,4.0,4.0
United Kingdom,1.0,18.0,2.0,317.0,11.0,46.0,7.0,1.0,150.0,20.0,40.0,27.0,29.0,69.0,15.0,881.0,1.0,19805.0,0.0,37.0,492.0,68.0,99.0,135.0,4.0,1242.0,14.0,528.0,23.0,0.0,60.0,13.0,283.0,1.0,0.0,15.0,4.0,458.0,32.0,8.0,92.0,35.0,21.0,3.0,195.0,515.0,347.0,14.0,161.0,64.0,13.0,0.0,3200.0,9.0,1.0,2.0,27.0,20.0,110.0,27.0,10.0,6.0,56.0,0.0,481.0,411.0,19.0,969.0,83.0,57.0,1.0,4.0,29.0,113.0,29.0,17.0,73.0,183.0,282.0,3.0,96.0,210.0,3.0,2.0,117.0,53.0,418.0,179.0,452.0,3.0,31.0,24.0,0.0,31.0,24.0,316.0,5.0,561.0,51.0,116.0,29.0,31.0,6.0,19.0,4.0,2.0,270.0,4.0,372.0,49.0,6.0,17.0,0.0,129.0,341.0
Argentina,2.0,2.0,0.0,19.0,2.0,15.0,73.0,0.0,4.0,31.0,8.0,14.0,2.0,8.0,0.0,21.0,0.0,2723.0,1.0,3.0,45.0,10.0,231.0,26.0,0.0,94.0,9.0,20.0,3.0,0.0,1.0,5.0,20.0,0.0,0.0,1.0,0.0,12.0,8.0,1.0,0.0,10.0,51.0,0.0,55.0,81.0,31.0,6.0,26.0,3.0,2.0,0.0,57.0,0.0,0.0,0.0,1.0,3.0,395.0,3.0,0.0,1.0,0.0,0.0,25.0,17.0,0.0,95.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,6.0,129.0,26.0,0.0,60.0,11.0,2.0,0.0,18.0,21.0,30.0,53.0,33.0,0.0,5.0,10.0,0.0,1.0,0.0,16.0,1.0,58.0,9.0,3.0,6.0,10.0,0.0,29.0,4.0,0.0,30.0,0.0,18.0,7.0,0.0,5.0,0.0,30.0,110.0
Indonesia,1.0,7.0,3.0,32.0,1.0,31.0,7.0,1.0,3.0,1.0,5.0,48.0,2.0,9.0,2.0,83.0,0.0,2796.0,0.0,0.0,48.0,8.0,155.0,8.0,0.0,122.0,2.0,42.0,0.0,0.0,0.0,3.0,40.0,3.0,0.0,8.0,1.0,19.0,3.0,0.0,3.0,6.0,2.0,3.0,30.0,77.0,44.0,4.0,54.0,16.0,3.0,0.0,280.0,0.0,0.0,0.0,0.0,2.0,40.0,11.0,0.0,0.0,4.0,0.0,63.0,77.0,1.0,212.0,8.0,0.0,0.0,3.0,2.0,9.0,21.0,2.0,8.0,61.0,31.0,0.0,19.0,9.0,3.0,0.0,25.0,5.0,90.0,52.0,18.0,0.0,3.0,5.0,0.0,1.0,5.0,12.0,16.0,81.0,9.0,0.0,9.0,22.0,1.0,1.0,3.0,2.0,69.0,0.0,26.0,6.0,2.0,1.0,1.0,43.0,157.0
