,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Norway,5.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,5.0,2.0,29.0,0.0,4.0,0.0,0.0,22.0,4.0,0.0,5.0,0.0,32.0,3.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,10.0,4.0,1.0,1.0,1.0,0.0,1.0,8.0,6.0,2.0,8.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,5.0,2.0,0.0,76.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,19.0,1.0,5.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,12.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0
Germany,2.0,17.0,3.0,118.0,13.0,23.0,7.0,1.0,16.0,2.0,72.0,6.0,58.0,36.0,2.0,196.0,5.0,18.0,3.0,38.0,77.0,82.0,25.0,46.0,0.0,207.0,24.0,65.0,13.0,0.0,33.0,0.0,182.0,6.0,0.0,1.0,12.0,83.0,20.0,2.0,25.0,45.0,25.0,0.0,53.0,137.0,279.0,14.0,122.0,45.0,1.0,0.0,571.0,8.0,2.0,11.0,13.0,14.0,52.0,1.0,0.0,0.0,60.0,2.0,20.0,80.0,24.0,1185.0,33.0,2.0,0.0,0.0,71.0,37.0,3.0,23.0,16.0,30.0,88.0,3.0,35.0,15.0,10.0,1.0,22.0,54.0,6.0,125.0,322.0,0.0,15.0,9.0,5.0,8.0,28.0,24.0,0.0,58.0,73.0,6.0,18.0,25.0,3.0,13.0,4.0,0.0,155.0,9.0,55.0,25.0,0.0,29.0,0.0,21.0,55.0
Italy,36.0,17.0,1.0,69.0,6.0,33.0,23.0,1.0,19.0,3.0,91.0,69.0,12.0,8.0,1.0,173.0,1.0,31.0,0.0,4.0,28.0,30.0,61.0,58.0,0.0,170.0,6.0,35.0,32.0,0.0,9.0,1.0,294.0,6.0,0.0,8.0,0.0,99.0,49.0,5.0,4.0,116.0,6.0,0.0,58.0,314.0,471.0,3.0,210.0,107.0,0.0,0.0,519.0,1.0,1.0,2.0,262.0,17.0,222.0,28.0,4.0,0.0,10.0,1.0,9.0,108.0,0.0,1242.0,900.0,18.0,1.0,0.0,33.0,134.0,1.0,134.0,137.0,36.0,174.0,4.0,23.0,33.0,16.0,0.0,48.0,496.0,3.0,384.0,108.0,5.0,221.0,10.0,3.0,1.0,12.0,48.0,0.0,198.0,53.0,24.0,41.0,47.0,0.0,42.0,2.0,2.0,166.0,0.0,33.0,60.0,1.0,92.0,0.0,16.0,103.0
Spain,83.0,1.0,2.0,9.0,4.0,47.0,79.0,0.0,2.0,34.0,16.0,15.0,17.0,26.0,0.0,65.0,1.0,10.0,1.0,0.0,19.0,22.0,141.0,80.0,0.0,152.0,7.0,25.0,2.0,0.0,2.0,1.0,129.0,0.0,0.0,1.0,2.0,256.0,6.0,4.0,39.0,53.0,5.0,0.0,48.0,142.0,484.0,1.0,116.0,20.0,1.0,0.0,220.0,0.0,0.0,6.0,50.0,6.0,49.0,2.0,0.0,2.0,6.0,1.0,8.0,92.0,5.0,526.0,144.0,40.0,0.0,0.0,5.0,18.0,0.0,5.0,10.0,63.0,37.0,4.0,50.0,0.0,1.0,0.0,49.0,15.0,4.0,219.0,161.0,1.0,51.0,6.0,0.0,6.0,3.0,24.0,1.0,195.0,36.0,31.0,14.0,43.0,0.0,13.0,12.0,0.0,190.0,0.0,20.0,18.0,1.0,7.0,0.0,19.0,112.0
Japan,9.0,4.0,1.0,31.0,1.0,4.0,0.0,4.0,7.0,4.0,2.0,1.0,3.0,30.0,3.0,101.0,0.0,9.0,0.0,1.0,98.0,20.0,14.0,5.0,0.0,57.0,0.0,37.0,50.0,0.0,4.0,1.0,34.0,0.0,0.0,1.0,56.0,134.0,4.0,0.0,6.0,14.0,2.0,0.0,9.0,39.0,28.0,3.0,34.0,14.0,0.0,0.0,241.0,4.0,0.0,85.0,1.0,1.0,33.0,2.0,0.0,0.0,4.0,0.0,14.0,37.0,17.0,369.0,12.0,1.0,0.0,0.0,3.0,26.0,0.0,7.0,22.0,21.0,9.0,0.0,13.0,6.0,1.0,1.0,8.0,214.0,20.0,72.0,13.0,1.0,0.0,5.0,1.0,5.0,10.0,4.0,0.0,130.0,49.0,30.0,2.0,4.0,0.0,0.0,2.0,0.0,25.0,0.0,11.0,11.0,1.0,0.0,0.0,32.0,47.0
Russian Federation,8.0,94.0,23.0,108.0,6.0,23.0,31.0,0.0,3.0,2.0,56.0,13.0,17.0,34.0,1.0,375.0,9.0,8.0,6.0,0.0,36.0,16.0,93.0,81.0,1.0,223.0,177.0,44.0,9.0,43.0,1.0,0.0,120.0,1.0,0.0,21.0,2.0,420.0,7.0,23.0,4.0,16.0,3.0,0.0,124.0,138.0,78.0,4.0,10.0,2.0,0.0,0.0,1349.0,1.0,0.0,0.0,2.0,1.0,25.0,6.0,0.0,0.0,107.0,0.0,18.0,51.0,3.0,800.0,42.0,8.0,0.0,0.0,43.0,1.0,1.0,33.0,7.0,57.0,99.0,0.0,168.0,11.0,2.0,0.0,140.0,105.0,10.0,83.0,23.0,0.0,10.0,0.0,0.0,16.0,21.0,9.0,20.0,148.0,56.0,6.0,15.0,16.0,1.0,15.0,5.0,0.0,377.0,18.0,103.0,48.0,0.0,8.0,0.0,50.0,83.0
Peru,3.0,2.0,0.0,1.0,1.0,1.0,13.0,0.0,5.0,7.0,10.0,17.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,13.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,1.0,7.0,5.0,0.0,21.0,39.0,7.0,1.0,10.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,56.0,5.0,7.0,0.0,0.0,1.0,3.0,0.0,2.0,9.0,3.0,7.0,2.0,9.0,1.0,0.0,0.0,20.0,8.0,0.0,30.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,10.0,8.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,46.0,0.0,5.0,3.0,0.0,0.0,0.0,12.0,91.0
China,1.0,12.0,3.0,279.0,2.0,7.0,5.0,1.0,7.0,1.0,2.0,2.0,14.0,33.0,3.0,638.0,2.0,13.0,3.0,6.0,175.0,18.0,61.0,42.0,0.0,234.0,93.0,129.0,16.0,0.0,17.0,0.0,89.0,2.0,0.0,3.0,18.0,233.0,48.0,1.0,25.0,5.0,1.0,0.0,37.0,205.0,133.0,41.0,72.0,10.0,0.0,0.0,634.0,21.0,0.0,2.0,2.0,5.0,31.0,8.0,1.0,0.0,1.0,1.0,32.0,152.0,13.0,278.0,39.0,13.0,3.0,1.0,20.0,1006.0,2.0,8.0,64.0,62.0,83.0,0.0,155.0,22.0,9.0,0.0,159.0,18.0,136.0,56.0,53.0,0.0,1.0,16.0,0.0,117.0,5.0,13.0,0.0,169.0,32.0,15.0,7.0,10.0,0.0,3.0,1.0,3.0,110.0,0.0,25.0,138.0,0.0,24.0,0.0,24.0,54.0
Bulgaria,3.0,7.0,1.0,227.0,5.0,3.0,47.0,0.0,7.0,0.0,47.0,2.0,2.0,2.0,0.0,29.0,0.0,1.0,0.0,3.0,4.0,2.0,3.0,1.0,0.0,35.0,8.0,7.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,51.0,51.0,8.0,1.0,13.0,1.0,0.0,0.0,1476.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,15.0,0.0,638.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,74.0,11.0,15.0,65.0,7.0,0.0,0.0,65.0,171.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,79.0,45.0,0.0,4.0,1.0,0.0,146.0,1.0,0.0,75.0,1.0,2.0,4.0,0.0,8.0,0.0,2.0,13.0
United Kingdom,2.0,27.0,4.0,30.0,9.0,33.0,5.0,2.0,11.0,10.0,25.0,19.0,44.0,81.0,3.0,364.0,0.0,13.0,3.0,16.0,349.0,40.0,52.0,45.0,3.0,235.0,5.0,319.0,12.0,0.0,26.0,2.0,174.0,4.0,0.0,11.0,8.0,358.0,38.0,10.0,137.0,21.0,28.0,1.0,69.0,102.0,280.0,5.0,173.0,52.0,10.0,1.0,790.0,3.0,1.0,5.0,35.0,18.0,88.0,7.0,2.0,0.0,58.0,1.0,14.0,175.0,12.0,313.0,163.0,7.0,3.0,1.0,128.0,15.0,23.0,18.0,33.0,76.0,53.0,7.0,92.0,51.0,6.0,1.0,47.0,70.0,32.0,233.0,154.0,3.0,8.0,19.0,0.0,25.0,29.0,37.0,1.0,125.0,52.0,86.0,21.0,17.0,5.0,10.0,15.0,3.0,130.0,0.0,115.0,33.0,2.0,4.0,0.0,34.0,136.0
