,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Viet Nam,1.0,1.0,4.0,60.0,0.0,15.0,0.0,0.0,2.0,0.0,7.0,14.0,2.0,0.0,0.0,54.0,0.0,1467.0,0.0,0.0,30.0,2.0,19.0,2.0,1.0,33.0,0.0,20.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,11.0,7.0,0.0,2.0,6.0,2.0,0.0,2.0,32.0,97.0,1.0,8.0,4.0,0.0,0.0,56.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,35.0,16.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,8.0,626.0,2.0,0.0,1.0,1.0,3.0,0.0,14.0,1.0,45.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,3.0,0.0,0.0,1.0,1.0,25.0
Spain,36.0,34.0,2.0,35.0,18.0,58.0,99.0,0.0,9.0,22.0,34.0,19.0,12.0,73.0,1.0,113.0,5.0,10715.0,6.0,4.0,62.0,44.0,46.0,112.0,2.0,436.0,3.0,45.0,7.0,0.0,16.0,12.0,116.0,2.0,0.0,9.0,3.0,95.0,22.0,12.0,15.0,31.0,7.0,0.0,68.0,113.0,258.0,8.0,176.0,21.0,1.0,0.0,196.0,0.0,0.0,2.0,18.0,15.0,73.0,7.0,15.0,11.0,29.0,2.0,138.0,60.0,4.0,278.0,93.0,1.0,0.0,0.0,3.0,18.0,14.0,1.0,11.0,66.0,57.0,9.0,43.0,22.0,20.0,0.0,23.0,20.0,58.0,168.0,72.0,0.0,36.0,4.0,0.0,4.0,1.0,103.0,8.0,87.0,45.0,42.0,16.0,29.0,0.0,12.0,5.0,1.0,156.0,4.0,23.0,24.0,4.0,173.0,0.0,21.0,116.0
Germany,3.0,4.0,5.0,547.0,49.0,27.0,6.0,0.0,16.0,1.0,42.0,28.0,19.0,35.0,3.0,267.0,4.0,7574.0,1.0,34.0,119.0,50.0,52.0,51.0,2.0,328.0,30.0,174.0,46.0,0.0,51.0,2.0,199.0,3.0,0.0,2.0,11.0,99.0,26.0,1.0,33.0,13.0,97.0,1.0,74.0,168.0,104.0,19.0,173.0,53.0,2.0,0.0,894.0,1.0,0.0,2.0,39.0,8.0,31.0,24.0,2.0,1.0,89.0,0.0,101.0,149.0,77.0,758.0,22.0,8.0,1.0,0.0,6.0,39.0,8.0,23.0,30.0,53.0,66.0,6.0,71.0,142.0,8.0,2.0,45.0,45.0,159.0,85.0,223.0,0.0,14.0,10.0,2.0,5.0,27.0,74.0,0.0,127.0,15.0,15.0,95.0,29.0,6.0,14.0,4.0,1.0,179.0,38.0,79.0,40.0,7.0,104.0,0.0,21.0,158.0
Romania,1.0,1.0,0.0,173.0,6.0,39.0,14.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,0.0,20.0,0.0,1929.0,0.0,9.0,25.0,10.0,0.0,2.0,0.0,44.0,1.0,11.0,2.0,0.0,1.0,1.0,42.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,20.0,0.0,2.0,18.0,21.0,0.0,16.0,3.0,0.0,0.0,163.0,0.0,0.0,0.0,1.0,0.0,18.0,13.0,1.0,0.0,30.0,0.0,11.0,10.0,0.0,32.0,4.0,5.0,0.0,0.0,18.0,48.0,2.0,1.0,0.0,15.0,31.0,0.0,5.0,1.0,3.0,0.0,15.0,7.0,2541.0,22.0,30.0,0.0,3.0,0.0,0.0,3.0,0.0,11.0,1.0,10.0,10.0,0.0,3.0,3.0,0.0,15.0,1.0,0.0,51.0,0.0,10.0,26.0,4.0,23.0,0.0,1.0,17.0
Italy,16.0,0.0,2.0,88.0,18.0,67.0,121.0,0.0,16.0,16.0,6.0,46.0,2.0,31.0,2.0,180.0,0.0,23983.0,1.0,2.0,97.0,43.0,65.0,79.0,2.0,324.0,5.0,93.0,16.0,0.0,16.0,3.0,604.0,3.0,0.0,14.0,0.0,89.0,50.0,8.0,7.0,26.0,5.0,0.0,25.0,182.0,351.0,3.0,452.0,384.0,0.0,1.0,315.0,2.0,1.0,0.0,83.0,23.0,60.0,6.0,5.0,2.0,31.0,0.0,90.0,277.0,4.0,515.0,68.0,9.0,0.0,0.0,8.0,77.0,6.0,27.0,78.0,86.0,110.0,3.0,39.0,38.0,39.0,0.0,76.0,137.0,992.0,90.0,54.0,4.0,29.0,3.0,0.0,10.0,4.0,184.0,2.0,157.0,35.0,11.0,45.0,17.0,0.0,31.0,0.0,2.0,81.0,6.0,79.0,57.0,0.0,65.0,0.0,12.0,133.0
India,5.0,21.0,2.0,279.0,2.0,10.0,15.0,0.0,39.0,1.0,16.0,154.0,3.0,103.0,25.0,601.0,3.0,12535.0,0.0,2.0,267.0,114.0,553.0,39.0,4.0,641.0,4.0,439.0,12.0,0.0,6.0,8.0,110.0,3.0,0.0,43.0,8.0,162.0,54.0,2.0,12.0,28.0,6.0,15.0,71.0,312.0,181.0,3.0,112.0,30.0,7.0,0.0,1171.0,45.0,0.0,3.0,6.0,50.0,178.0,82.0,0.0,3.0,21.0,0.0,262.0,428.0,11.0,1290.0,13.0,2.0,9.0,316.0,5.0,144.0,37.0,23.0,77.0,341.0,332.0,1.0,87.0,72.0,14.0,0.0,216.0,20.0,255.0,65.0,91.0,0.0,8.0,8.0,2.0,22.0,9.0,126.0,15.0,443.0,23.0,19.0,26.0,21.0,1.0,3.0,13.0,1.0,327.0,0.0,265.0,80.0,53.0,16.0,0.0,115.0,632.0
Japan,6.0,15.0,2.0,47.0,6.0,8.0,1.0,2.0,15.0,2.0,2.0,1.0,8.0,6.0,3.0,125.0,0.0,3948.0,0.0,0.0,79.0,35.0,46.0,9.0,0.0,93.0,0.0,67.0,75.0,0.0,15.0,0.0,92.0,2.0,0.0,10.0,0.0,106.0,15.0,4.0,5.0,6.0,1.0,0.0,7.0,38.0,161.0,18.0,61.0,18.0,2.0,0.0,290.0,7.0,3.0,11.0,4.0,1.0,22.0,3.0,0.0,0.0,12.0,0.0,41.0,44.0,0.0,113.0,9.0,0.0,2.0,0.0,17.0,46.0,14.0,3.0,17.0,231.0,25.0,0.0,4.0,25.0,6.0,2.0,17.0,23.0,80.0,28.0,10.0,0.0,2.0,7.0,0.0,6.0,2.0,11.0,7.0,123.0,12.0,4.0,16.0,19.0,0.0,1.0,1.0,0.0,36.0,0.0,18.0,18.0,1.0,4.0,0.0,14.0,217.0
Slovakia,1.0,0.0,1.0,17.0,2.0,7.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,27.0,0.0,909.0,0.0,2.0,12.0,9.0,5.0,0.0,1.0,42.0,3.0,2.0,2.0,0.0,6.0,0.0,23.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,7.0,0.0,1.0,17.0,32.0,0.0,23.0,8.0,0.0,0.0,67.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,24.0,0.0,15.0,20.0,5.0,79.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,8.0,10.0,2.0,0.0,5.0,1.0,2.0,5.0,3.0,20.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,0.0,11.0,8.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,17.0,1.0,4.0,3.0,1.0,6.0,0.0,2.0,37.0
Norway,2.0,1.0,0.0,25.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,12.0,4.0,5.0,19.0,0.0,639.0,0.0,0.0,25.0,2.0,2.0,10.0,0.0,21.0,0.0,19.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,4.0,6.0,0.0,2.0,16.0,16.0,25.0,0.0,4.0,1.0,0.0,0.0,61.0,0.0,0.0,3.0,8.0,0.0,1.0,5.0,0.0,1.0,10.0,0.0,8.0,13.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,9.0,4.0,5.0,0.0,3.0,16.0,8.0,0.0,3.0,6.0,9.0,11.0,38.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,9.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0
United States,9.0,201.0,26.0,412.0,105.0,155.0,80.0,7.0,161.0,104.0,172.0,182.0,216.0,145.0,64.0,2825.0,1.0,35681.0,28.0,24.0,2371.0,421.0,329.0,126.0,11.0,3245.0,54.0,834.0,95.0,0.0,117.0,196.0,726.0,1.0,0.0,74.0,49.0,631.0,264.0,52.0,113.0,111.0,107.0,9.0,343.0,1040.0,1185.0,21.0,1269.0,452.0,55.0,2.0,5195.0,10.0,9.0,15.0,131.0,20.0,153.0,90.0,24.0,11.0,460.0,3.0,1370.0,628.0,121.0,2324.0,152.0,31.0,2.0,13.0,162.0,164.0,245.0,121.0,252.0,1284.0,793.0,6.0,365.0,984.0,60.0,17.0,222.0,147.0,797.0,1178.0,899.0,27.0,60.0,55.0,3.0,69.0,42.0,962.0,88.0,1209.0,322.0,109.0,190.0,130.0,11.0,17.0,31.0,17.0,464.0,20.0,412.0,295.0,5.0,611.0,2.0,421.0,1369.0
