,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United States,11.0,247.0,30.0,1751.0,63.0,214.0,122.0,7.0,127.0,81.0,134.0,135.0,139.0,89.0,194.0,1233.0,17.0,32416.0,17.0,26.0,1667.0,546.0,240.0,90.0,41.0,1766.0,8.0,874.0,46.0,3.0,568.0,63.0,675.0,6.0,0.0,55.0,36.0,802.0,264.0,34.0,121.0,78.0,111.0,8.0,347.0,1122.0,1117.0,24.0,1044.0,502.0,82.0,4.0,3679.0,22.0,13.0,5.0,101.0,45.0,168.0,104.0,20.0,3.0,365.0,1.0,709.0,567.0,180.0,1947.0,143.0,53.0,1.0,11.0,102.0,168.0,76.0,62.0,253.0,817.0,474.0,13.0,314.0,779.0,61.0,33.0,300.0,132.0,499.0,728.0,689.0,16.0,41.0,85.0,3.0,109.0,67.0,637.0,48.0,959.0,253.0,140.0,119.0,202.0,14.0,10.0,58.0,15.0,388.0,21.0,383.0,374.0,3.0,110.0,1.0,270.0,906.0
Italy,17.0,11.0,2.0,1005.0,6.0,54.0,129.0,2.0,32.0,12.0,13.0,23.0,16.0,12.0,4.0,209.0,0.0,22201.0,0.0,0.0,55.0,83.0,17.0,94.0,1.0,309.0,19.0,45.0,6.0,0.0,60.0,9.0,205.0,2.0,0.0,10.0,3.0,67.0,37.0,5.0,30.0,63.0,2.0,0.0,21.0,341.0,635.0,8.0,377.0,324.0,3.0,0.0,418.0,4.0,0.0,1.0,159.0,23.0,93.0,10.0,2.0,1.0,15.0,0.0,70.0,147.0,15.0,829.0,201.0,12.0,1.0,0.0,19.0,53.0,22.0,58.0,145.0,125.0,139.0,2.0,33.0,337.0,7.0,3.0,44.0,250.0,909.0,304.0,121.0,1.0,75.0,17.0,0.0,10.0,11.0,119.0,10.0,203.0,78.0,22.0,92.0,19.0,0.0,92.0,0.0,7.0,77.0,1.0,45.0,60.0,1.0,18.0,0.0,21.0,79.0
Spain,66.0,2.0,4.0,879.0,15.0,92.0,71.0,0.0,28.0,55.0,42.0,4.0,70.0,43.0,4.0,131.0,3.0,8361.0,0.0,4.0,58.0,59.0,122.0,117.0,5.0,358.0,24.0,54.0,28.0,0.0,61.0,6.0,81.0,1.0,0.0,2.0,2.0,76.0,34.0,4.0,51.0,69.0,39.0,0.0,62.0,172.0,314.0,44.0,393.0,95.0,2.0,0.0,571.0,0.0,7.0,1.0,24.0,25.0,53.0,31.0,11.0,9.0,13.0,1.0,110.0,138.0,2.0,412.0,71.0,5.0,1.0,0.0,5.0,32.0,4.0,1.0,46.0,77.0,89.0,3.0,140.0,15.0,7.0,0.0,84.0,7.0,25.0,243.0,118.0,2.0,123.0,8.0,0.0,56.0,6.0,156.0,9.0,219.0,51.0,39.0,11.0,48.0,1.0,40.0,5.0,1.0,130.0,5.0,38.0,73.0,0.0,18.0,0.0,28.0,86.0
Japan,7.0,39.0,1.0,340.0,1.0,4.0,3.0,1.0,8.0,1.0,54.0,11.0,4.0,9.0,1.0,38.0,8.0,1564.0,0.0,2.0,47.0,46.0,30.0,12.0,0.0,92.0,3.0,37.0,93.0,0.0,3.0,1.0,62.0,1.0,0.0,9.0,6.0,79.0,8.0,1.0,5.0,5.0,2.0,0.0,3.0,59.0,54.0,16.0,48.0,23.0,1.0,0.0,178.0,34.0,0.0,58.0,2.0,0.0,14.0,2.0,0.0,1.0,4.0,0.0,54.0,23.0,13.0,121.0,4.0,1.0,0.0,0.0,7.0,22.0,8.0,1.0,11.0,118.0,15.0,2.0,1.0,17.0,0.0,0.0,11.0,26.0,39.0,17.0,11.0,7.0,2.0,6.0,0.0,5.0,0.0,32.0,9.0,65.0,44.0,1.0,15.0,25.0,0.0,0.0,1.0,0.0,25.0,0.0,4.0,12.0,0.0,3.0,0.0,17.0,41.0
"Congo, The Democratic Republic of the",1.0,0.0,0.0,35.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,27.0,2.0,4.0,26.0,300.0,2.0,0.0,5.0,4.0,4.0,1.0,0.0,394.0,1.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0,9.0,2.0,0.0,6.0,1.0,2.0,0.0,6.0,11.0,7.0,2.0,23.0,5.0,0.0,1.0,33.0,0.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,18.0,18.0,2.0,87.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,10.0,17.0,8.0,3.0,9.0,0.0,0.0,3.0,3.0,11.0,10.0,9.0,0.0,1.0,0.0,0.0,5.0,9.0,22.0,0.0,25.0,0.0,1.0,7.0,5.0,0.0,4.0,5.0,0.0,30.0,0.0,14.0,3.0,0.0,0.0,4.0,16.0,12.0
Costa Rica,3.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,6.0,0.0,10.0,0.0,635.0,0.0,0.0,0.0,2.0,16.0,6.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,18.0,18.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,1.0,0.0,6.0,2.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,15.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0
Portugal,5.0,1.0,0.0,289.0,1.0,10.0,6.0,0.0,2.0,1.0,3.0,9.0,2.0,1.0,1.0,118.0,0.0,3076.0,0.0,0.0,16.0,5.0,38.0,3.0,0.0,31.0,0.0,3.0,1.0,0.0,11.0,2.0,52.0,1.0,0.0,1.0,0.0,12.0,3.0,1.0,1.0,14.0,0.0,0.0,5.0,40.0,51.0,2.0,13.0,1.0,1.0,0.0,119.0,0.0,0.0,1.0,66.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,15.0,27.0,0.0,129.0,12.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,13.0,24.0,1.0,20.0,0.0,6.0,0.0,8.0,1.0,21.0,14.0,8.0,0.0,2.0,2.0,0.0,0.0,4.0,6.0,0.0,146.0,10.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,45.0,0.0,11.0,11.0,0.0,7.0,0.0,17.0,37.0
Mexico,2.0,2.0,3.0,68.0,6.0,10.0,13.0,0.0,49.0,22.0,20.0,13.0,5.0,20.0,3.0,54.0,0.0,2583.0,0.0,0.0,22.0,14.0,123.0,20.0,1.0,56.0,0.0,19.0,8.0,0.0,5.0,4.0,30.0,0.0,0.0,2.0,0.0,38.0,5.0,1.0,5.0,18.0,2.0,0.0,7.0,97.0,103.0,1.0,66.0,5.0,3.0,0.0,111.0,0.0,0.0,0.0,0.0,2.0,34.0,4.0,0.0,3.0,2.0,1.0,15.0,38.0,0.0,143.0,3.0,2.0,0.0,0.0,3.0,2.0,13.0,3.0,4.0,38.0,8.0,0.0,36.0,11.0,25.0,0.0,50.0,15.0,10.0,105.0,63.0,2.0,5.0,2.0,0.0,13.0,3.0,25.0,7.0,112.0,25.0,3.0,3.0,7.0,2.0,4.0,6.0,2.0,29.0,1.0,26.0,10.0,0.0,1.0,0.0,4.0,107.0
Cabo Verde,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
Belgium,3.0,1.0,0.0,179.0,0.0,4.0,11.0,0.0,3.0,0.0,7.0,0.0,1.0,1.0,1.0,40.0,0.0,1829.0,0.0,0.0,10.0,7.0,8.0,8.0,0.0,59.0,0.0,17.0,6.0,0.0,17.0,0.0,35.0,0.0,0.0,0.0,2.0,14.0,4.0,2.0,3.0,1.0,1.0,1.0,6.0,31.0,8.0,0.0,14.0,5.0,0.0,0.0,158.0,0.0,0.0,0.0,32.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,2.0,21.0,2.0,46.0,1.0,0.0,0.0,0.0,8.0,9.0,1.0,2.0,1.0,4.0,13.0,3.0,13.0,21.0,0.0,1.0,9.0,8.0,6.0,14.0,36.0,0.0,3.0,0.0,1.0,4.0,3.0,10.0,0.0,25.0,1.0,4.0,0.0,5.0,0.0,2.0,7.0,1.0,25.0,0.0,1.0,3.0,4.0,0.0,0.0,4.0,11.0
