,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,14.0,10.0,1.0,449.0,5.0,50.0,104.0,1.0,15.0,8.0,13.0,57.0,7.0,11.0,2.0,123.0,0.0,16396.0,0.0,0.0,60.0,75.0,41.0,44.0,0.0,205.0,8.0,66.0,10.0,0.0,42.0,9.0,457.0,3.0,0.0,8.0,1.0,83.0,25.0,3.0,25.0,23.0,6.0,0.0,20.0,203.0,551.0,7.0,344.0,299.0,2.0,0.0,315.0,11.0,0.0,0.0,40.0,13.0,35.0,8.0,0.0,0.0,22.0,0.0,66.0,184.0,6.0,433.0,45.0,12.0,1.0,0.0,14.0,57.0,19.0,40.0,72.0,68.0,109.0,2.0,11.0,302.0,31.0,1.0,40.0,136.0,625.0,227.0,94.0,4.0,70.0,7.0,0.0,5.0,4.0,104.0,10.0,142.0,56.0,17.0,87.0,16.0,0.0,71.0,0.0,0.0,54.0,4.0,35.0,41.0,1.0,47.0,0.0,25.0,69.0
Germany,2.0,12.0,0.0,784.0,12.0,33.0,9.0,0.0,20.0,2.0,42.0,4.0,19.0,20.0,9.0,170.0,6.0,7902.0,0.0,20.0,71.0,44.0,20.0,68.0,2.0,388.0,17.0,123.0,40.0,0.0,65.0,4.0,156.0,2.0,0.0,2.0,14.0,86.0,23.0,0.0,20.0,16.0,34.0,1.0,170.0,192.0,129.0,28.0,112.0,57.0,0.0,0.0,838.0,1.0,4.0,7.0,38.0,4.0,56.0,19.0,3.0,0.0,55.0,0.0,67.0,144.0,42.0,1207.0,20.0,6.0,1.0,0.0,15.0,59.0,7.0,23.0,22.0,48.0,59.0,22.0,52.0,254.0,6.0,2.0,29.0,29.0,62.0,73.0,204.0,0.0,2.0,13.0,2.0,12.0,44.0,120.0,0.0,148.0,23.0,2.0,104.0,21.0,4.0,12.0,0.0,0.0,114.0,1.0,62.0,26.0,1.0,48.0,0.0,12.0,116.0
Estonia,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,0.0,483.0,1.0,0.0,28.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,8.0,0.0,10.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,2.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,8.0
India,3.0,17.0,1.0,305.0,3.0,11.0,19.0,1.0,8.0,5.0,11.0,262.0,4.0,60.0,5.0,335.0,3.0,6662.0,0.0,2.0,268.0,84.0,992.0,29.0,5.0,399.0,2.0,266.0,11.0,0.0,3.0,3.0,57.0,0.0,0.0,30.0,0.0,202.0,34.0,2.0,11.0,23.0,5.0,15.0,54.0,169.0,103.0,6.0,77.0,22.0,10.0,0.0,602.0,44.0,0.0,4.0,10.0,27.0,145.0,78.0,0.0,1.0,24.0,1.0,134.0,402.0,10.0,896.0,8.0,1.0,5.0,310.0,74.0,36.0,13.0,18.0,77.0,104.0,224.0,1.0,63.0,55.0,14.0,0.0,136.0,9.0,117.0,60.0,68.0,0.0,3.0,10.0,0.0,19.0,12.0,68.0,6.0,302.0,27.0,36.0,17.0,19.0,3.0,3.0,14.0,0.0,140.0,0.0,239.0,39.0,39.0,15.0,0.0,93.0,916.0
Turkmenistan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,55.0,39.0,2.0,37.0,16.0,39.0,39.0,0.0,6.0,33.0,13.0,4.0,17.0,33.0,1.0,44.0,4.0,6475.0,0.0,1.0,38.0,53.0,60.0,27.0,3.0,210.0,14.0,29.0,25.0,0.0,28.0,8.0,60.0,1.0,0.0,5.0,1.0,43.0,27.0,5.0,27.0,35.0,32.0,0.0,32.0,86.0,167.0,14.0,215.0,67.0,1.0,0.0,139.0,0.0,7.0,2.0,21.0,23.0,20.0,23.0,12.0,4.0,28.0,3.0,70.0,41.0,2.0,196.0,57.0,5.0,0.0,0.0,9.0,25.0,3.0,1.0,52.0,74.0,76.0,2.0,67.0,7.0,10.0,0.0,29.0,7.0,13.0,133.0,44.0,1.0,55.0,6.0,0.0,21.0,2.0,120.0,7.0,128.0,25.0,30.0,11.0,47.0,2.0,32.0,9.0,1.0,82.0,6.0,17.0,21.0,2.0,88.0,0.0,14.0,79.0
Lithuania,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,263.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Japan,6.0,16.0,1.0,216.0,4.0,7.0,2.0,2.0,6.0,2.0,3.0,1.0,3.0,4.0,2.0,90.0,8.0,2959.0,0.0,1.0,64.0,33.0,48.0,5.0,0.0,78.0,2.0,42.0,59.0,0.0,6.0,1.0,97.0,0.0,0.0,8.0,0.0,74.0,12.0,4.0,0.0,2.0,1.0,0.0,7.0,60.0,178.0,9.0,63.0,21.0,3.0,0.0,197.0,16.0,0.0,20.0,3.0,1.0,13.0,3.0,0.0,0.0,13.0,0.0,40.0,41.0,6.0,111.0,9.0,1.0,1.0,0.0,18.0,36.0,14.0,0.0,12.0,158.0,21.0,0.0,6.0,17.0,5.0,1.0,6.0,32.0,48.0,37.0,13.0,6.0,3.0,3.0,0.0,4.0,1.0,12.0,12.0,94.0,33.0,2.0,15.0,20.0,0.0,1.0,0.0,0.0,27.0,0.0,18.0,18.0,0.0,3.0,0.0,12.0,109.0
Cabo Verde,6.0,0.0,0.0,1.0,0.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,399.0,0.0,0.0,7.0,2.0,5.0,0.0,1.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,21.0,16.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,6.0,52.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,8.0
United States,15.0,223.0,22.0,509.0,79.0,158.0,81.0,4.0,106.0,58.0,240.0,125.0,137.0,106.0,86.0,1882.0,9.0,30350.0,16.0,27.0,1701.0,384.0,166.0,79.0,8.0,2216.0,34.0,700.0,59.0,2.0,128.0,170.0,563.0,2.0,0.0,59.0,57.0,656.0,258.0,37.0,102.0,88.0,77.0,8.0,379.0,930.0,990.0,18.0,1124.0,422.0,81.0,4.0,3772.0,10.0,6.0,7.0,122.0,28.0,133.0,103.0,25.0,8.0,361.0,2.0,837.0,478.0,165.0,2105.0,121.0,37.0,1.0,16.0,127.0,154.0,251.0,101.0,192.0,1209.0,671.0,7.0,329.0,917.0,62.0,18.0,217.0,171.0,514.0,951.0,756.0,31.0,55.0,44.0,1.0,82.0,54.0,986.0,111.0,1108.0,231.0,138.0,162.0,169.0,6.0,16.0,38.0,8.0,286.0,9.0,451.0,318.0,4.0,680.0,0.0,280.0,740.0
