,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Germany,2.0,13.0,0.0,787.0,12.0,38.0,8.0,0.0,21.0,2.0,42.0,4.0,19.0,21.0,10.0,173.0,6.0,8021.0,0.0,20.0,68.0,44.0,20.0,68.0,2.0,405.0,17.0,125.0,56.0,0.0,66.0,4.0,147.0,2.0,0.0,2.0,14.0,76.0,23.0,0.0,20.0,17.0,33.0,1.0,231.0,191.0,129.0,27.0,122.0,55.0,0.0,0.0,853.0,1.0,4.0,7.0,38.0,4.0,56.0,19.0,3.0,0.0,55.0,0.0,67.0,142.0,43.0,1225.0,20.0,6.0,1.0,0.0,18.0,58.0,7.0,23.0,23.0,48.0,59.0,22.0,52.0,255.0,10.0,2.0,29.0,28.0,63.0,73.0,207.0,0.0,2.0,13.0,2.0,13.0,44.0,120.0,0.0,148.0,23.0,2.0,104.0,23.0,4.0,12.0,0.0,0.0,114.0,1.0,61.0,26.0,1.0,48.0,0.0,12.0,112.0
Estonia,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,10.0,0.0,462.0,1.0,0.0,26.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,6.0,0.0,8.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,9.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,8.0
India,3.0,17.0,1.0,307.0,3.0,11.0,18.0,1.0,9.0,5.0,11.0,261.0,4.0,61.0,4.0,315.0,3.0,6482.0,0.0,2.0,270.0,83.0,993.0,29.0,5.0,384.0,2.0,257.0,11.0,0.0,3.0,3.0,57.0,0.0,0.0,30.0,0.0,256.0,33.0,2.0,12.0,23.0,5.0,15.0,54.0,164.0,99.0,6.0,70.0,18.0,10.0,0.0,582.0,44.0,0.0,4.0,8.0,24.0,144.0,78.0,0.0,1.0,8.0,1.0,131.0,392.0,10.0,873.0,6.0,1.0,5.0,301.0,74.0,35.0,13.0,19.0,75.0,102.0,217.0,1.0,61.0,55.0,14.0,0.0,129.0,8.0,114.0,60.0,68.0,0.0,3.0,10.0,0.0,18.0,12.0,67.0,4.0,298.0,27.0,30.0,17.0,15.0,3.0,1.0,14.0,0.0,138.0,0.0,241.0,36.0,38.0,13.0,0.0,80.0,912.0
Turkmenistan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,7.0,16.0,1.0,217.0,4.0,7.0,2.0,2.0,6.0,2.0,3.0,1.0,3.0,4.0,2.0,89.0,8.0,2972.0,0.0,1.0,66.0,34.0,49.0,5.0,0.0,78.0,2.0,42.0,63.0,0.0,6.0,1.0,96.0,0.0,0.0,9.0,0.0,77.0,12.0,4.0,0.0,2.0,1.0,0.0,7.0,60.0,178.0,9.0,63.0,21.0,3.0,0.0,197.0,16.0,0.0,21.0,3.0,1.0,13.0,3.0,0.0,0.0,13.0,0.0,40.0,42.0,6.0,112.0,9.0,1.0,1.0,0.0,18.0,36.0,14.0,0.0,13.0,163.0,21.0,0.0,6.0,17.0,5.0,1.0,6.0,32.0,48.0,37.0,13.0,6.0,3.0,4.0,0.0,4.0,1.0,12.0,12.0,95.0,33.0,2.0,15.0,20.0,0.0,1.0,0.0,0.0,27.0,0.0,18.0,19.0,0.0,3.0,0.0,12.0,109.0
Spain,55.0,39.0,2.0,38.0,17.0,40.0,39.0,0.0,6.0,33.0,14.0,4.0,17.0,33.0,1.0,45.0,4.0,6607.0,0.0,1.0,39.0,54.0,62.0,38.0,3.0,207.0,14.0,29.0,25.0,0.0,29.0,8.0,59.0,1.0,0.0,5.0,1.0,43.0,27.0,6.0,27.0,37.0,32.0,0.0,33.0,87.0,170.0,14.0,216.0,67.0,1.0,0.0,140.0,0.0,7.0,2.0,21.0,23.0,20.0,23.0,12.0,4.0,28.0,3.0,70.0,41.0,2.0,200.0,58.0,5.0,0.0,0.0,9.0,25.0,3.0,1.0,52.0,75.0,76.0,2.0,69.0,8.0,10.0,0.0,31.0,8.0,13.0,135.0,46.0,1.0,55.0,6.0,0.0,21.0,2.0,121.0,7.0,130.0,25.0,32.0,11.0,48.0,2.0,33.0,9.0,1.0,83.0,6.0,18.0,21.0,2.0,88.0,0.0,14.0,79.0
Lithuania,1.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,266.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Cabo Verde,6.0,0.0,0.0,1.0,0.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,358.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,20.0,16.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,6.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,8.0
United States,16.0,235.0,22.0,515.0,79.0,166.0,81.0,4.0,106.0,54.0,240.0,126.0,143.0,106.0,89.0,1894.0,9.0,30856.0,16.0,27.0,1722.0,388.0,169.0,79.0,8.0,2234.0,28.0,714.0,60.0,2.0,128.0,172.0,570.0,2.0,0.0,59.0,58.0,671.0,260.0,37.0,108.0,90.0,80.0,8.0,387.0,948.0,1003.0,18.0,1141.0,430.0,82.0,4.0,3809.0,10.0,6.0,7.0,126.0,26.0,136.0,104.0,26.0,8.0,363.0,2.0,839.0,481.0,170.0,2144.0,123.0,38.0,1.0,16.0,127.0,158.0,252.0,101.0,194.0,1227.0,677.0,7.0,330.0,924.0,65.0,18.0,220.0,171.0,521.0,958.0,768.0,31.0,55.0,45.0,1.0,91.0,54.0,988.0,112.0,1120.0,231.0,140.0,167.0,171.0,6.0,16.0,38.0,8.0,291.0,9.0,457.0,322.0,4.0,680.0,0.0,283.0,753.0
South Africa,1.0,3.0,0.0,69.0,0.0,3.0,4.0,0.0,5.0,2.0,2.0,2.0,0.0,9.0,2.0,124.0,0.0,2567.0,0.0,0.0,36.0,10.0,4.0,5.0,1.0,276.0,0.0,110.0,3.0,0.0,2.0,0.0,25.0,0.0,0.0,2.0,0.0,43.0,3.0,0.0,2.0,2.0,1.0,1.0,9.0,20.0,13.0,0.0,18.0,0.0,0.0,0.0,268.0,1.0,1.0,1.0,5.0,3.0,7.0,10.0,1.0,1.0,2.0,0.0,58.0,55.0,25.0,111.0,10.0,0.0,1.0,1.0,8.0,13.0,5.0,1.0,2.0,52.0,23.0,0.0,51.0,27.0,1.0,0.0,4.0,2.0,103.0,37.0,11.0,0.0,1.0,5.0,0.0,0.0,5.0,19.0,0.0,59.0,3.0,0.0,7.0,3.0,1.0,0.0,1.0,2.0,55.0,0.0,13.0,7.0,1.0,8.0,0.0,16.0,27.0
