,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,36.0,41.0,2.0,34.0,13.0,56.0,93.0,0.0,8.0,24.0,36.0,19.0,17.0,62.0,1.0,84.0,6.0,10676.0,6.0,3.0,54.0,59.0,50.0,103.0,2.0,440.0,4.0,43.0,8.0,0.0,16.0,10.0,115.0,2.0,0.0,9.0,3.0,96.0,20.0,12.0,16.0,31.0,7.0,0.0,69.0,115.0,252.0,8.0,190.0,24.0,1.0,0.0,192.0,0.0,0.0,2.0,18.0,16.0,61.0,7.0,16.0,10.0,29.0,3.0,127.0,59.0,5.0,304.0,97.0,1.0,0.0,0.0,6.0,16.0,11.0,1.0,19.0,68.0,60.0,6.0,55.0,15.0,21.0,0.0,23.0,20.0,55.0,178.0,68.0,0.0,37.0,4.0,0.0,3.0,1.0,116.0,4.0,89.0,50.0,40.0,16.0,29.0,1.0,13.0,11.0,1.0,151.0,5.0,21.0,24.0,4.0,178.0,0.0,21.0,122.0
Italy,16.0,0.0,1.0,84.0,17.0,68.0,119.0,0.0,17.0,16.0,6.0,75.0,2.0,33.0,2.0,172.0,0.0,23876.0,1.0,2.0,95.0,42.0,75.0,65.0,2.0,294.0,4.0,89.0,15.0,0.0,16.0,3.0,612.0,3.0,0.0,11.0,0.0,90.0,43.0,6.0,7.0,26.0,6.0,0.0,24.0,190.0,360.0,4.0,471.0,408.0,0.0,1.0,308.0,8.0,1.0,0.0,43.0,20.0,57.0,6.0,5.0,2.0,30.0,0.0,88.0,268.0,3.0,493.0,53.0,11.0,0.0,0.0,4.0,77.0,4.0,28.0,79.0,91.0,115.0,3.0,38.0,59.0,39.0,0.0,70.0,157.0,960.0,106.0,53.0,4.0,32.0,3.0,0.0,11.0,4.0,188.0,2.0,127.0,38.0,11.0,39.0,16.0,0.0,31.0,0.0,2.0,83.0,6.0,66.0,59.0,0.0,64.0,0.0,22.0,107.0
India,5.0,21.0,2.0,286.0,2.0,10.0,14.0,0.0,42.0,4.0,17.0,165.0,3.0,105.0,25.0,612.0,3.0,12677.0,0.0,2.0,257.0,116.0,662.0,39.0,4.0,645.0,4.0,442.0,12.0,0.0,6.0,8.0,97.0,3.0,0.0,43.0,8.0,162.0,53.0,2.0,14.0,28.0,6.0,15.0,72.0,317.0,185.0,4.0,114.0,31.0,7.0,0.0,1184.0,48.0,0.0,3.0,6.0,51.0,178.0,83.0,0.0,3.0,21.0,0.0,263.0,452.0,10.0,1275.0,13.0,1.0,9.0,321.0,5.0,139.0,38.0,24.0,78.0,340.0,332.0,1.0,90.0,81.0,16.0,0.0,190.0,22.0,246.0,70.0,93.0,0.0,8.0,10.0,2.0,22.0,12.0,120.0,15.0,443.0,23.0,20.0,26.0,21.0,1.0,3.0,13.0,1.0,303.0,0.0,280.0,73.0,54.0,15.0,0.0,117.0,647.0
Japan,6.0,16.0,2.0,48.0,5.0,8.0,2.0,2.0,17.0,3.0,3.0,0.0,9.0,7.0,2.0,128.0,0.0,3951.0,0.0,0.0,76.0,35.0,48.0,9.0,0.0,92.0,0.0,70.0,68.0,0.0,14.0,0.0,86.0,2.0,0.0,8.0,0.0,100.0,15.0,4.0,4.0,6.0,1.0,0.0,8.0,38.0,168.0,18.0,65.0,21.0,2.0,0.0,295.0,7.0,3.0,8.0,4.0,1.0,21.0,3.0,0.0,0.0,13.0,0.0,39.0,49.0,5.0,112.0,12.0,0.0,2.0,0.0,16.0,49.0,12.0,3.0,18.0,223.0,24.0,0.0,6.0,27.0,9.0,2.0,16.0,21.0,79.0,34.0,10.0,0.0,2.0,7.0,0.0,6.0,3.0,11.0,6.0,124.0,12.0,4.0,16.0,19.0,0.0,1.0,1.0,0.0,36.0,0.0,19.0,21.0,1.0,4.0,0.0,16.0,213.0
Slovakia,1.0,0.0,1.0,18.0,2.0,7.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,27.0,0.0,882.0,0.0,2.0,10.0,9.0,5.0,0.0,1.0,41.0,4.0,2.0,2.0,0.0,6.0,0.0,22.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,7.0,0.0,1.0,17.0,32.0,0.0,23.0,8.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,24.0,0.0,15.0,20.0,5.0,82.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,8.0,8.0,3.0,0.0,5.0,1.0,2.0,5.0,3.0,21.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,0.0,11.0,8.0,6.0,2.0,3.0,0.0,2.0,0.0,0.0,18.0,1.0,4.0,3.0,1.0,6.0,0.0,2.0,37.0
Norway,2.0,1.0,0.0,21.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,3.0,13.0,2.0,5.0,21.0,0.0,661.0,0.0,0.0,22.0,3.0,2.0,4.0,0.0,23.0,0.0,19.0,0.0,0.0,1.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,5.0,6.0,0.0,2.0,16.0,16.0,33.0,0.0,4.0,2.0,0.0,0.0,70.0,0.0,0.0,3.0,8.0,0.0,1.0,5.0,0.0,1.0,9.0,0.0,8.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,9.0,5.0,5.0,0.0,3.0,36.0,8.0,0.0,3.0,6.0,9.0,12.0,33.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0
United States,16.0,204.0,24.0,450.0,103.0,167.0,75.0,6.0,155.0,101.0,175.0,180.0,201.0,134.0,76.0,2765.0,1.0,36748.0,28.0,24.0,2273.0,423.0,322.0,124.0,12.0,2869.0,55.0,843.0,92.0,0.0,118.0,205.0,730.0,1.0,0.0,74.0,53.0,641.0,274.0,50.0,104.0,113.0,111.0,10.0,347.0,1043.0,1138.0,22.0,1370.0,461.0,59.0,2.0,5211.0,10.0,9.0,10.0,136.0,19.0,151.0,103.0,25.0,10.0,470.0,3.0,1374.0,615.0,138.0,2342.0,145.0,27.0,2.0,14.0,167.0,169.0,248.0,124.0,257.0,1284.0,796.0,6.0,374.0,993.0,57.0,15.0,223.0,149.0,777.0,1208.0,922.0,26.0,59.0,55.0,3.0,76.0,42.0,985.0,88.0,1291.0,299.0,137.0,190.0,124.0,11.0,16.0,30.0,15.0,466.0,20.0,407.0,318.0,5.0,673.0,2.0,414.0,1337.0
Portugal,3.0,0.0,1.0,4.0,0.0,5.0,9.0,0.0,2.0,0.0,2.0,2.0,12.0,16.0,0.0,19.0,0.0,3992.0,0.0,0.0,8.0,4.0,13.0,1.0,0.0,49.0,2.0,6.0,0.0,0.0,2.0,0.0,97.0,1.0,0.0,1.0,0.0,130.0,2.0,0.0,1.0,8.0,0.0,0.0,2.0,33.0,38.0,1.0,7.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,59.0,4.0,8.0,1.0,0.0,0.0,2.0,0.0,21.0,32.0,1.0,63.0,8.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,22.0,11.0,11.0,0.0,22.0,1.0,1.0,0.0,10.0,10.0,23.0,35.0,21.0,2.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,34.0,23.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,56.0,0.0,11.0,15.0,0.0,3.0,0.0,8.0,22.0
Canada,2.0,7.0,0.0,19.0,10.0,9.0,3.0,1.0,5.0,5.0,15.0,5.0,23.0,10.0,6.0,249.0,0.0,4824.0,0.0,101.0,142.0,36.0,21.0,11.0,0.0,290.0,5.0,60.0,9.0,0.0,19.0,3.0,57.0,0.0,0.0,6.0,2.0,46.0,15.0,2.0,14.0,7.0,7.0,1.0,115.0,75.0,101.0,0.0,43.0,59.0,2.0,0.0,437.0,1.0,0.0,0.0,29.0,1.0,10.0,20.0,2.0,2.0,55.0,0.0,56.0,40.0,1.0,224.0,10.0,1.0,0.0,1.0,4.0,18.0,12.0,8.0,13.0,33.0,39.0,0.0,42.0,64.0,4.0,0.0,13.0,8.0,55.0,55.0,99.0,2.0,3.0,4.0,0.0,3.0,2.0,75.0,2.0,100.0,34.0,159.0,16.0,3.0,0.0,2.0,2.0,0.0,48.0,0.0,56.0,34.0,0.0,47.0,0.0,38.0,78.0
Brazil,1.0,5.0,5.0,47.0,2.0,36.0,38.0,1.0,5.0,45.0,13.0,198.0,4.0,30.0,7.0,112.0,0.0,7572.0,1.0,3.0,27.0,47.0,403.0,10.0,0.0,157.0,3.0,72.0,5.0,0.0,4.0,10.0,78.0,3.0,0.0,26.0,2.0,40.0,4.0,7.0,2.0,29.0,15.0,0.0,10.0,211.0,178.0,6.0,119.0,56.0,3.0,0.0,844.0,3.0,1.0,3.0,6.0,68.0,190.0,12.0,1.0,0.0,5.0,0.0,81.0,271.0,0.0,274.0,37.0,1.0,0.0,0.0,9.0,27.0,14.0,1.0,2.0,89.0,51.0,0.0,130.0,29.0,20.0,0.0,71.0,31.0,100.0,108.0,44.0,1.0,3.0,45.0,0.0,2.0,4.0,35.0,3.0,489.0,43.0,114.0,15.0,75.0,2.0,1.0,1.0,0.0,131.0,0.0,29.0,32.0,4.0,17.0,0.0,203.0,773.0
