,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Mexico,1.0,7.0,1.0,13.0,2.0,9.0,23.0,0.0,10.0,23.0,29.0,24.0,0.0,46.0,9.0,28.0,0.0,3208.0,0.0,2.0,27.0,7.0,132.0,12.0,0.0,91.0,0.0,38.0,7.0,0.0,2.0,5.0,26.0,1.0,0.0,2.0,0.0,22.0,5.0,0.0,4.0,22.0,6.0,1.0,17.0,75.0,67.0,1.0,30.0,4.0,0.0,0.0,135.0,0.0,0.0,0.0,1.0,2.0,21.0,4.0,0.0,0.0,6.0,0.0,27.0,36.0,1.0,124.0,7.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,3.0,25.0,38.0,0.0,26.0,8.0,19.0,0.0,42.0,43.0,42.0,70.0,30.0,8.0,3.0,2.0,0.0,4.0,1.0,73.0,3.0,53.0,21.0,0.0,8.0,4.0,0.0,2.0,2.0,0.0,40.0,0.0,25.0,13.0,0.0,39.0,0.0,15.0,126.0
United States,9.0,175.0,29.0,340.0,105.0,156.0,84.0,8.0,190.0,100.0,163.0,175.0,212.0,148.0,60.0,2918.0,1.0,35000.0,27.0,25.0,2429.0,419.0,325.0,122.0,11.0,3272.0,55.0,839.0,85.0,0.0,117.0,187.0,714.0,1.0,0.0,71.0,41.0,608.0,256.0,52.0,118.0,111.0,106.0,4.0,364.0,1026.0,1202.0,24.0,1226.0,428.0,60.0,2.0,5377.0,10.0,11.0,13.0,128.0,20.0,201.0,87.0,22.0,12.0,459.0,3.0,1429.0,669.0,104.0,2255.0,145.0,31.0,2.0,2.0,159.0,154.0,204.0,89.0,244.0,1216.0,764.0,5.0,380.0,935.0,58.0,19.0,227.0,124.0,785.0,1157.0,908.0,18.0,59.0,56.0,3.0,69.0,50.0,914.0,85.0,1244.0,345.0,115.0,192.0,130.0,10.0,19.0,31.0,19.0,473.0,19.0,382.0,307.0,6.0,488.0,2.0,440.0,1404.0
Norway,3.0,1.0,0.0,25.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,4.0,12.0,4.0,7.0,33.0,0.0,762.0,0.0,0.0,26.0,1.0,4.0,10.0,0.0,27.0,0.0,17.0,0.0,0.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0,5.0,0.0,2.0,17.0,17.0,26.0,0.0,5.0,0.0,0.0,0.0,65.0,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,8.0,14.0,1.0,21.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,1.0,8.0,4.0,5.0,0.0,3.0,14.0,8.0,0.0,3.0,6.0,9.0,11.0,62.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,13.0,28.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0
Chile,1.0,0.0,0.0,12.0,2.0,1.0,10.0,0.0,0.0,6.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,1360.0,0.0,0.0,9.0,4.0,13.0,1.0,0.0,59.0,1.0,7.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,29.0,0.0,17.0,54.0,6.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,10.0,11.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,12.0,11.0,2.0,0.0,5.0,1.0,11.0,8.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,16.0
Spain,35.0,3.0,2.0,34.0,18.0,62.0,129.0,1.0,10.0,24.0,33.0,20.0,11.0,81.0,2.0,120.0,5.0,10972.0,6.0,4.0,78.0,43.0,50.0,154.0,2.0,497.0,5.0,48.0,8.0,0.0,15.0,14.0,119.0,2.0,0.0,9.0,3.0,97.0,15.0,14.0,14.0,33.0,7.0,0.0,70.0,112.0,279.0,8.0,243.0,21.0,1.0,0.0,205.0,0.0,0.0,2.0,21.0,14.0,130.0,5.0,7.0,11.0,30.0,1.0,145.0,84.0,5.0,291.0,89.0,2.0,0.0,0.0,4.0,16.0,14.0,1.0,12.0,65.0,69.0,9.0,48.0,21.0,21.0,0.0,26.0,18.0,72.0,193.0,74.0,1.0,37.0,4.0,0.0,5.0,1.0,102.0,8.0,103.0,47.0,32.0,17.0,19.0,1.0,19.0,5.0,1.0,168.0,4.0,22.0,24.0,3.0,168.0,0.0,23.0,130.0
Italy,17.0,1.0,2.0,94.0,17.0,63.0,133.0,0.0,14.0,16.0,6.0,48.0,2.0,32.0,2.0,190.0,0.0,24919.0,1.0,2.0,94.0,47.0,72.0,88.0,2.0,411.0,5.0,100.0,17.0,0.0,16.0,3.0,611.0,1.0,0.0,14.0,0.0,87.0,49.0,7.0,7.0,24.0,5.0,1.0,22.0,163.0,337.0,2.0,444.0,345.0,0.0,1.0,350.0,2.0,1.0,0.0,91.0,23.0,68.0,6.0,5.0,2.0,31.0,0.0,121.0,290.0,5.0,558.0,68.0,7.0,0.0,0.0,8.0,75.0,4.0,14.0,75.0,90.0,112.0,3.0,49.0,40.0,38.0,0.0,74.0,138.0,1118.0,92.0,62.0,2.0,36.0,4.0,1.0,10.0,7.0,181.0,1.0,180.0,35.0,11.0,42.0,17.0,0.0,13.0,0.0,2.0,87.0,6.0,82.0,54.0,0.0,72.0,0.0,15.0,158.0
Viet Nam,1.0,1.0,3.0,59.0,0.0,18.0,0.0,0.0,2.0,0.0,6.0,14.0,3.0,0.0,0.0,51.0,0.0,1292.0,0.0,0.0,29.0,2.0,19.0,2.0,2.0,36.0,0.0,22.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,12.0,7.0,0.0,1.0,4.0,2.0,0.0,2.0,32.0,103.0,1.0,8.0,3.0,0.0,0.0,58.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,28.0,32.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,7.0,592.0,1.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,47.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,3.0,0.0,0.0,1.0,4.0,25.0
Germany,3.0,3.0,5.0,659.0,51.0,25.0,7.0,0.0,17.0,1.0,39.0,28.0,18.0,37.0,2.0,318.0,5.0,8000.0,1.0,34.0,124.0,46.0,68.0,56.0,3.0,346.0,32.0,200.0,47.0,0.0,50.0,2.0,207.0,2.0,0.0,2.0,11.0,98.0,26.0,1.0,34.0,16.0,99.0,2.0,89.0,150.0,128.0,19.0,202.0,46.0,2.0,0.0,932.0,1.0,0.0,2.0,38.0,7.0,33.0,23.0,3.0,1.0,94.0,0.0,103.0,144.0,80.0,704.0,22.0,7.0,1.0,0.0,6.0,30.0,9.0,21.0,31.0,54.0,69.0,6.0,59.0,141.0,13.0,5.0,44.0,39.0,177.0,82.0,247.0,0.0,13.0,24.0,2.0,8.0,18.0,82.0,0.0,117.0,17.0,16.0,103.0,29.0,21.0,15.0,4.0,1.0,186.0,39.0,69.0,40.0,7.0,117.0,0.0,24.0,158.0
Romania,1.0,1.0,0.0,201.0,6.0,39.0,14.0,0.0,2.0,0.0,1.0,3.0,0.0,7.0,0.0,21.0,0.0,1944.0,0.0,13.0,30.0,10.0,0.0,2.0,0.0,57.0,1.0,13.0,2.0,0.0,1.0,1.0,37.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,20.0,0.0,2.0,18.0,19.0,0.0,15.0,2.0,0.0,0.0,189.0,0.0,0.0,0.0,1.0,0.0,18.0,13.0,1.0,0.0,30.0,0.0,13.0,9.0,1.0,33.0,3.0,5.0,0.0,0.0,18.0,52.0,2.0,1.0,0.0,14.0,32.0,0.0,4.0,2.0,3.0,0.0,15.0,8.0,2470.0,25.0,30.0,0.0,4.0,0.0,0.0,3.0,0.0,10.0,1.0,18.0,11.0,0.0,3.0,3.0,0.0,15.0,1.0,0.0,62.0,0.0,7.0,26.0,4.0,18.0,0.0,1.0,17.0
India,5.0,20.0,6.0,277.0,2.0,10.0,15.0,0.0,40.0,0.0,18.0,145.0,2.0,105.0,25.0,593.0,3.0,12302.0,0.0,2.0,276.0,109.0,336.0,55.0,4.0,614.0,4.0,419.0,12.0,0.0,8.0,8.0,113.0,3.0,0.0,41.0,8.0,166.0,50.0,5.0,13.0,30.0,6.0,3.0,70.0,319.0,185.0,3.0,112.0,30.0,6.0,0.0,1162.0,39.0,0.0,3.0,6.0,49.0,186.0,38.0,0.0,3.0,21.0,0.0,258.0,365.0,11.0,1287.0,13.0,2.0,11.0,50.0,4.0,142.0,35.0,23.0,80.0,343.0,343.0,2.0,89.0,61.0,13.0,0.0,219.0,21.0,252.0,69.0,96.0,0.0,7.0,10.0,2.0,21.0,12.0,118.0,15.0,419.0,24.0,19.0,26.0,19.0,1.0,3.0,14.0,1.0,329.0,0.0,255.0,80.0,53.0,16.0,0.0,113.0,591.0
