,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,82.0,0.0,0.0,14.0,5.0,50.0,103.0,0.0,2.0,36.0,14.0,20.0,24.0,36.0,5.0,60.0,1.0,9.0,1.0,0.0,22.0,24.0,81.0,69.0,0.0,153.0,5.0,30.0,3.0,0.0,1.0,1.0,132.0,2.0,0.0,2.0,2.0,376.0,11.0,1.0,38.0,32.0,6.0,0.0,51.0,122.0,418.0,1.0,84.0,10.0,1.0,0.0,196.0,0.0,0.0,3.0,60.0,4.0,48.0,3.0,1.0,2.0,6.0,0.0,8.0,83.0,2.0,554.0,161.0,45.0,0.0,0.0,6.0,18.0,0.0,5.0,8.0,36.0,37.0,4.0,52.0,1.0,3.0,0.0,46.0,14.0,6.0,213.0,150.0,1.0,41.0,4.0,0.0,5.0,3.0,33.0,1.0,191.0,40.0,31.0,12.0,40.0,0.0,49.0,15.0,0.0,194.0,0.0,25.0,22.0,1.0,2.0,0.0,13.0,102.0
Bulgaria,2.0,7.0,1.0,103.0,5.0,4.0,44.0,0.0,7.0,0.0,51.0,2.0,5.0,2.0,0.0,35.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,0.0,36.0,7.0,7.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,28.0,48.0,12.0,1.0,14.0,1.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,2.0,18.0,0.0,681.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,71.0,14.0,15.0,63.0,7.0,0.0,0.0,69.0,171.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,74.0,44.0,0.0,4.0,2.0,0.0,141.0,2.0,0.0,70.0,1.0,7.0,6.0,0.0,8.0,0.0,2.0,14.0
"Bolivia, Plurinational State of",3.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,15.0,3.0,14.0,1.0,5.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,136.0,3.0,0.0,16.0,4.0,16.0,1.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,133.0,0.0,4.0,9.0,6.0,0.0,4.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,2.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,42.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,0.0,3.0,0.0,4.0,2.0,0.0,21.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,6.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,29.0,0.0,6.0,2.0,0.0,0.0,0.0,31.0,74.0
Norway,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,6.0,2.0,20.0,0.0,3.0,0.0,0.0,24.0,4.0,2.0,8.0,0.0,37.0,3.0,12.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,59.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,12.0,0.0,4.0,0.0,5.0,4.0,0.0,102.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,21.0,1.0,6.0,3.0,96.0,0.0,3.0,0.0,5.0,2.0,1.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,13.0,2.0,0.0,6.0,0.0,6.0,0.0,0.0,29.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,7.0
Italy,42.0,15.0,1.0,61.0,10.0,42.0,27.0,1.0,9.0,14.0,91.0,80.0,3.0,10.0,1.0,80.0,1.0,21.0,0.0,4.0,25.0,34.0,56.0,60.0,0.0,192.0,9.0,37.0,38.0,0.0,10.0,0.0,331.0,5.0,0.0,8.0,0.0,105.0,59.0,5.0,7.0,112.0,6.0,0.0,82.0,304.0,432.0,3.0,198.0,90.0,0.0,0.0,385.0,1.0,1.0,1.0,272.0,17.0,269.0,28.0,3.0,0.0,16.0,1.0,8.0,113.0,0.0,1012.0,949.0,18.0,1.0,0.0,34.0,171.0,1.0,93.0,119.0,22.0,158.0,7.0,27.0,30.0,23.0,0.0,56.0,411.0,3.0,328.0,98.0,5.0,148.0,14.0,3.0,1.0,11.0,51.0,0.0,181.0,39.0,50.0,40.0,47.0,0.0,28.0,2.0,2.0,170.0,0.0,34.0,63.0,1.0,88.0,0.0,28.0,141.0
Indonesia,2.0,4.0,0.0,6.0,5.0,12.0,8.0,0.0,2.0,5.0,2.0,16.0,6.0,6.0,0.0,51.0,0.0,1.0,0.0,1.0,11.0,3.0,178.0,15.0,0.0,49.0,0.0,7.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,6.0,0.0,21.0,2.0,1.0,7.0,2.0,0.0,1.0,7.0,39.0,43.0,0.0,25.0,3.0,1.0,0.0,60.0,9.0,0.0,0.0,6.0,12.0,23.0,19.0,0.0,0.0,0.0,0.0,4.0,88.0,0.0,94.0,22.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,14.0,26.0,0.0,49.0,1.0,2.0,0.0,18.0,18.0,0.0,42.0,5.0,1.0,2.0,11.0,0.0,4.0,2.0,8.0,0.0,27.0,11.0,0.0,5.0,5.0,0.0,4.0,3.0,0.0,45.0,0.0,9.0,3.0,0.0,1.0,1.0,39.0,70.0
Japan,5.0,4.0,1.0,23.0,0.0,20.0,1.0,4.0,8.0,4.0,2.0,2.0,2.0,32.0,3.0,112.0,0.0,9.0,0.0,1.0,104.0,20.0,13.0,5.0,0.0,53.0,1.0,35.0,49.0,0.0,2.0,0.0,35.0,0.0,0.0,2.0,56.0,119.0,4.0,0.0,7.0,15.0,2.0,0.0,9.0,33.0,27.0,3.0,34.0,12.0,0.0,0.0,187.0,5.0,3.0,83.0,2.0,1.0,61.0,2.0,0.0,0.0,5.0,0.0,16.0,37.0,4.0,319.0,14.0,1.0,0.0,0.0,3.0,21.0,0.0,6.0,22.0,18.0,5.0,0.0,11.0,6.0,1.0,2.0,6.0,151.0,19.0,65.0,11.0,1.0,0.0,5.0,1.0,2.0,11.0,5.0,0.0,107.0,28.0,46.0,0.0,3.0,0.0,0.0,2.0,0.0,24.0,0.0,12.0,10.0,1.0,0.0,0.0,19.0,47.0
Denmark,1.0,0.0,0.0,66.0,8.0,15.0,1.0,0.0,2.0,0.0,1.0,0.0,15.0,7.0,0.0,74.0,0.0,5.0,0.0,0.0,8.0,21.0,1.0,2.0,0.0,51.0,5.0,16.0,0.0,0.0,5.0,4.0,17.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,2.0,5.0,1.0,0.0,3.0,10.0,17.0,1.0,13.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,30.0,0.0,3.0,2.0,0.0,0.0,10.0,0.0,4.0,21.0,0.0,371.0,7.0,1.0,0.0,0.0,21.0,1.0,1.0,5.0,6.0,3.0,23.0,1.0,5.0,7.0,0.0,0.0,3.0,66.0,0.0,6.0,51.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,20.0,4.0,4.0,0.0,36.0,0.0,1.0,0.0,0.0,113.0,0.0,6.0,4.0,0.0,4.0,0.0,1.0,4.0
Germany,1.0,15.0,3.0,77.0,16.0,24.0,5.0,2.0,20.0,1.0,92.0,6.0,32.0,36.0,2.0,209.0,13.0,12.0,2.0,32.0,67.0,74.0,26.0,49.0,1.0,267.0,29.0,70.0,10.0,0.0,36.0,0.0,190.0,6.0,0.0,1.0,13.0,76.0,18.0,1.0,26.0,52.0,19.0,0.0,56.0,144.0,255.0,10.0,123.0,48.0,1.0,0.0,495.0,9.0,1.0,14.0,9.0,14.0,32.0,2.0,1.0,0.0,67.0,1.0,14.0,83.0,32.0,1575.0,32.0,2.0,0.0,0.0,71.0,33.0,3.0,18.0,18.0,23.0,112.0,4.0,40.0,13.0,10.0,1.0,28.0,95.0,4.0,82.0,320.0,0.0,11.0,17.0,5.0,8.0,18.0,36.0,0.0,61.0,35.0,6.0,14.0,21.0,2.0,11.0,4.0,0.0,154.0,8.0,31.0,26.0,0.0,26.0,0.0,25.0,55.0
Romania,3.0,0.0,0.0,38.0,2.0,5.0,12.0,0.0,1.0,0.0,17.0,0.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,17.0,4.0,4.0,17.0,0.0,10.0,0.0,37.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,2.0,27.0,56.0,14.0,9.0,3.0,0.0,0.0,903.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,0.0,17.0,0.0,3.0,2.0,0.0,72.0,161.0,4.0,0.0,0.0,0.0,126.0,0.0,1.0,5.0,11.0,5.0,0.0,5.0,5.0,1.0,0.0,11.0,8.0,0.0,10.0,26.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,36.0,5.0,1.0,1.0,0.0,0.0,72.0,0.0,0.0,91.0,0.0,15.0,61.0,0.0,1.0,0.0,2.0,15.0
