,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,16.0,2.0,2.0,108.0,18.0,75.0,99.0,3.0,8.0,18.0,21.0,49.0,4.0,48.0,2.0,266.0,0.0,25927.0,1.0,2.0,68.0,107.0,68.0,144.0,4.0,641.0,7.0,113.0,16.0,0.0,17.0,1.0,405.0,2.0,0.0,21.0,0.0,68.0,55.0,5.0,6.0,54.0,2.0,1.0,25.0,213.0,361.0,3.0,542.0,415.0,0.0,1.0,525.0,1.0,1.0,1.0,130.0,23.0,97.0,22.0,6.0,3.0,11.0,0.0,169.0,258.0,4.0,806.0,86.0,6.0,0.0,1.0,15.0,70.0,17.0,16.0,84.0,166.0,207.0,2.0,70.0,90.0,13.0,0.0,90.0,195.0,1478.0,116.0,84.0,0.0,38.0,5.0,1.0,10.0,13.0,179.0,2.0,252.0,33.0,74.0,55.0,19.0,0.0,21.0,2.0,2.0,96.0,3.0,88.0,57.0,1.0,37.0,0.0,32.0,177.0
Spain,29.0,4.0,2.0,66.0,10.0,79.0,147.0,1.0,15.0,26.0,35.0,19.0,8.0,101.0,2.0,153.0,3.0,12850.0,6.0,3.0,76.0,49.0,46.0,237.0,2.0,625.0,6.0,70.0,10.0,0.0,12.0,12.0,127.0,1.0,0.0,6.0,2.0,92.0,17.0,11.0,14.0,32.0,16.0,1.0,80.0,137.0,356.0,11.0,340.0,18.0,2.0,0.0,274.0,0.0,0.0,1.0,23.0,15.0,147.0,19.0,11.0,16.0,10.0,1.0,190.0,99.0,5.0,386.0,87.0,4.0,0.0,0.0,1.0,29.0,12.0,2.0,17.0,93.0,59.0,10.0,57.0,25.0,24.0,0.0,47.0,20.0,99.0,205.0,69.0,2.0,24.0,3.0,0.0,8.0,1.0,119.0,7.0,147.0,42.0,36.0,17.0,22.0,1.0,22.0,6.0,1.0,208.0,0.0,31.0,23.0,4.0,136.0,0.0,52.0,211.0
United States,6.0,149.0,25.0,228.0,72.0,158.0,89.0,6.0,171.0,91.0,49.0,119.0,158.0,106.0,63.0,2826.0,1.0,35187.0,20.0,21.0,2302.0,361.0,366.0,97.0,18.0,3682.0,44.0,760.0,87.0,0.0,116.0,108.0,727.0,4.0,1.0,53.0,44.0,541.0,201.0,36.0,91.0,109.0,135.0,13.0,367.0,949.0,1203.0,25.0,850.0,312.0,65.0,1.0,5222.0,8.0,10.0,11.0,192.0,18.0,238.0,46.0,8.0,11.0,367.0,1.0,1388.0,711.0,110.0,2069.0,114.0,45.0,1.0,16.0,123.0,130.0,107.0,89.0,239.0,807.0,684.0,3.0,281.0,573.0,39.0,18.0,255.0,120.0,877.0,859.0,641.0,13.0,49.0,53.0,3.0,64.0,56.0,624.0,34.0,1223.0,406.0,108.0,161.0,132.0,7.0,14.0,25.0,16.0,552.0,18.0,395.0,282.0,4.0,96.0,2.0,424.0,1580.0
"Venezuela, Bolivarian Republic of",1.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.0,1.0,17.0,1.0,20.0,0.0,1527.0,0.0,1.0,17.0,4.0,38.0,18.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,0.0,16.0,66.0,37.0,0.0,4.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,13.0,1.0,0.0,2.0,0.0,0.0,7.0,77.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,7.0,18.0,0.0,15.0,0.0,0.0,0.0,8.0,9.0,10.0,45.0,16.0,0.0,5.0,5.0,0.0,3.0,1.0,6.0,1.0,14.0,4.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,111.0,0.0,4.0,6.0,1.0,0.0,0.0,29.0,16.0
Cabo Verde,2.0,1.0,0.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,12.0,0.0,557.0,0.0,0.0,15.0,1.0,6.0,1.0,1.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0,2.0,0.0,5.0,0.0,2.0,17.0,23.0,0.0,10.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,5.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,12.0,9.0,109.0,1.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0
China,2.0,26.0,2.0,1016.0,1.0,35.0,29.0,0.0,48.0,8.0,10.0,16.0,9.0,52.0,8.0,816.0,0.0,6210.0,1.0,2.0,390.0,42.0,64.0,106.0,0.0,1812.0,106.0,414.0,36.0,0.0,16.0,13.0,124.0,1.0,0.0,4.0,3.0,143.0,52.0,5.0,15.0,17.0,42.0,34.0,93.0,350.0,166.0,22.0,230.0,25.0,3.0,0.0,1667.0,19.0,5.0,4.0,11.0,2.0,30.0,1.0,0.0,4.0,12.0,0.0,1117.0,214.0,95.0,920.0,31.0,17.0,1.0,25.0,11.0,1570.0,9.0,12.0,82.0,3918.0,107.0,0.0,59.0,105.0,12.0,5.0,39.0,40.0,1664.0,100.0,54.0,2.0,3.0,12.0,0.0,11.0,3.0,149.0,2.0,450.0,36.0,12.0,36.0,21.0,0.0,7.0,0.0,1.0,200.0,0.0,72.0,177.0,1.0,16.0,55.0,56.0,236.0
Viet Nam,2.0,1.0,4.0,72.0,0.0,18.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0,0.0,43.0,0.0,1029.0,0.0,1.0,19.0,7.0,13.0,2.0,3.0,43.0,0.0,28.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,20.0,39.0,1.0,6.0,3.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,18.0,28.0,0.0,20.0,2.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,3.0,539.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,48.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,11.0,1.0,0.0,1.0,0.0,4.0,4.0
United Kingdom,1.0,18.0,2.0,318.0,11.0,46.0,7.0,1.0,150.0,20.0,45.0,27.0,29.0,70.0,15.0,902.0,1.0,20171.0,0.0,37.0,503.0,71.0,99.0,135.0,4.0,1256.0,15.0,530.0,23.0,0.0,60.0,13.0,286.0,1.0,0.0,16.0,4.0,464.0,32.0,8.0,93.0,35.0,21.0,3.0,197.0,517.0,348.0,14.0,161.0,64.0,13.0,0.0,3252.0,9.0,1.0,2.0,29.0,20.0,111.0,27.0,10.0,6.0,57.0,0.0,487.0,419.0,19.0,978.0,83.0,57.0,1.0,4.0,29.0,115.0,29.0,17.0,73.0,185.0,282.0,3.0,99.0,213.0,3.0,2.0,119.0,53.0,420.0,182.0,455.0,3.0,31.0,24.0,0.0,31.0,24.0,325.0,5.0,566.0,52.0,116.0,29.0,32.0,6.0,19.0,4.0,2.0,277.0,4.0,373.0,49.0,6.0,18.0,0.0,129.0,347.0
Argentina,2.0,2.0,0.0,19.0,2.0,15.0,74.0,0.0,4.0,32.0,8.0,15.0,2.0,8.0,0.0,21.0,0.0,2747.0,1.0,3.0,47.0,10.0,238.0,26.0,0.0,96.0,9.0,20.0,3.0,0.0,1.0,5.0,20.0,0.0,0.0,1.0,0.0,12.0,8.0,1.0,0.0,10.0,51.0,0.0,56.0,82.0,32.0,6.0,26.0,3.0,2.0,0.0,57.0,0.0,0.0,0.0,1.0,3.0,397.0,3.0,0.0,1.0,1.0,0.0,25.0,17.0,0.0,96.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,6.0,132.0,26.0,0.0,60.0,11.0,3.0,0.0,18.0,22.0,33.0,55.0,35.0,0.0,5.0,10.0,0.0,1.0,0.0,17.0,1.0,59.0,9.0,3.0,6.0,10.0,0.0,29.0,4.0,0.0,30.0,0.0,18.0,7.0,0.0,5.0,0.0,31.0,118.0
Indonesia,1.0,7.0,3.0,32.0,1.0,31.0,8.0,1.0,3.0,1.0,5.0,44.0,2.0,9.0,2.0,71.0,0.0,2776.0,0.0,0.0,47.0,9.0,155.0,7.0,0.0,122.0,2.0,42.0,0.0,0.0,0.0,3.0,40.0,3.0,0.0,8.0,0.0,19.0,3.0,0.0,3.0,7.0,2.0,3.0,30.0,78.0,44.0,4.0,54.0,16.0,3.0,0.0,275.0,0.0,0.0,0.0,0.0,2.0,41.0,11.0,0.0,0.0,4.0,0.0,63.0,77.0,1.0,225.0,8.0,0.0,0.0,3.0,2.0,9.0,21.0,2.0,8.0,62.0,33.0,0.0,19.0,8.0,3.0,0.0,26.0,5.0,91.0,48.0,19.0,0.0,3.0,5.0,0.0,1.0,5.0,12.0,16.0,81.0,9.0,0.0,9.0,23.0,1.0,1.0,3.0,2.0,69.0,0.0,27.0,6.0,1.0,1.0,1.0,42.0,151.0
