,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cabo Verde,7.0,0.0,0.0,3.0,0.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,468.0,0.0,0.0,10.0,2.0,5.0,0.0,1.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,6.0,0.0,3.0,21.0,23.0,0.0,5.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,7.0,12.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,6.0,62.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,8.0
Italy,11.0,10.0,1.0,434.0,5.0,47.0,92.0,1.0,14.0,4.0,12.0,57.0,4.0,11.0,2.0,114.0,0.0,15952.0,0.0,0.0,61.0,70.0,41.0,44.0,0.0,198.0,7.0,64.0,9.0,0.0,42.0,9.0,445.0,2.0,0.0,8.0,1.0,78.0,22.0,3.0,25.0,23.0,6.0,0.0,20.0,195.0,532.0,7.0,331.0,287.0,2.0,0.0,311.0,11.0,0.0,0.0,39.0,10.0,35.0,7.0,0.0,0.0,22.0,0.0,66.0,183.0,6.0,405.0,43.0,12.0,1.0,0.0,14.0,55.0,8.0,36.0,58.0,69.0,105.0,2.0,11.0,283.0,31.0,1.0,39.0,123.0,609.0,221.0,88.0,4.0,67.0,3.0,0.0,4.0,2.0,102.0,10.0,139.0,51.0,17.0,60.0,15.0,0.0,63.0,0.0,0.0,50.0,3.0,33.0,41.0,0.0,46.0,0.0,25.0,70.0
Germany,2.0,10.0,0.0,756.0,12.0,32.0,9.0,0.0,16.0,2.0,41.0,4.0,19.0,20.0,9.0,172.0,6.0,7611.0,0.0,21.0,72.0,37.0,19.0,60.0,2.0,336.0,17.0,116.0,40.0,0.0,64.0,4.0,154.0,2.0,0.0,2.0,12.0,81.0,23.0,0.0,20.0,15.0,38.0,1.0,98.0,179.0,129.0,28.0,112.0,55.0,0.0,0.0,824.0,1.0,4.0,7.0,38.0,4.0,56.0,19.0,3.0,0.0,60.0,0.0,69.0,142.0,38.0,1101.0,16.0,5.0,1.0,0.0,15.0,60.0,7.0,23.0,21.0,48.0,55.0,21.0,53.0,251.0,5.0,2.0,30.0,28.0,63.0,71.0,198.0,0.0,2.0,11.0,2.0,12.0,45.0,115.0,0.0,147.0,22.0,2.0,102.0,20.0,4.0,11.0,0.0,0.0,111.0,1.0,61.0,25.0,1.0,48.0,0.0,12.0,118.0
Estonia,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,11.0,0.0,539.0,1.0,0.0,28.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,11.0,8.0,0.0,12.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,4.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,3.0,0.0,2.0,2.0,2.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,8.0,1.0,5.0,4.0,0.0,0.0,0.0,2.0,8.0
India,3.0,19.0,1.0,288.0,3.0,11.0,19.0,1.0,7.0,5.0,10.0,254.0,4.0,63.0,7.0,361.0,3.0,7104.0,0.0,2.0,267.0,86.0,995.0,28.0,5.0,415.0,2.0,272.0,10.0,0.0,3.0,4.0,61.0,0.0,0.0,31.0,4.0,165.0,34.0,2.0,10.0,24.0,6.0,15.0,53.0,180.0,110.0,6.0,74.0,22.0,10.0,0.0,709.0,43.0,0.0,4.0,9.0,34.0,139.0,78.0,0.0,1.0,24.0,1.0,156.0,397.0,10.0,890.0,8.0,1.0,2.0,318.0,74.0,40.0,14.0,20.0,77.0,103.0,231.0,1.0,57.0,57.0,14.0,0.0,139.0,9.0,132.0,59.0,69.0,0.0,5.0,10.0,0.0,24.0,12.0,71.0,6.0,313.0,27.0,37.0,16.0,19.0,3.0,2.0,14.0,0.0,143.0,0.0,233.0,38.0,39.0,15.0,0.0,92.0,928.0
Turkmenistan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,5.0,16.0,1.0,213.0,4.0,7.0,2.0,2.0,6.0,2.0,3.0,0.0,3.0,4.0,2.0,90.0,8.0,2950.0,0.0,1.0,61.0,31.0,47.0,4.0,0.0,78.0,2.0,41.0,52.0,0.0,6.0,1.0,96.0,0.0,0.0,8.0,0.0,69.0,12.0,4.0,0.0,2.0,1.0,0.0,6.0,58.0,176.0,8.0,62.0,21.0,3.0,0.0,195.0,16.0,0.0,12.0,3.0,1.0,13.0,2.0,0.0,0.0,12.0,0.0,40.0,40.0,6.0,110.0,9.0,1.0,1.0,0.0,18.0,36.0,14.0,0.0,12.0,157.0,20.0,0.0,6.0,16.0,5.0,1.0,6.0,31.0,47.0,37.0,12.0,6.0,3.0,3.0,0.0,4.0,1.0,11.0,12.0,90.0,14.0,2.0,15.0,20.0,0.0,1.0,0.0,0.0,26.0,0.0,18.0,18.0,0.0,3.0,0.0,12.0,109.0
Lithuania,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,261.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Spain,54.0,39.0,2.0,36.0,16.0,32.0,37.0,0.0,5.0,28.0,11.0,3.0,17.0,33.0,1.0,43.0,4.0,6196.0,0.0,1.0,37.0,52.0,49.0,23.0,3.0,269.0,14.0,29.0,25.0,0.0,13.0,8.0,58.0,1.0,0.0,5.0,1.0,42.0,25.0,5.0,27.0,35.0,32.0,0.0,30.0,81.0,160.0,12.0,196.0,67.0,1.0,0.0,130.0,0.0,7.0,2.0,21.0,23.0,19.0,22.0,11.0,4.0,28.0,3.0,69.0,39.0,2.0,195.0,56.0,1.0,0.0,0.0,7.0,24.0,3.0,1.0,52.0,73.0,76.0,2.0,57.0,6.0,10.0,0.0,27.0,7.0,12.0,125.0,38.0,1.0,56.0,6.0,0.0,21.0,2.0,116.0,7.0,117.0,24.0,30.0,9.0,47.0,2.0,31.0,9.0,1.0,81.0,6.0,16.0,18.0,2.0,92.0,0.0,13.0,74.0
United States,14.0,218.0,23.0,495.0,71.0,144.0,79.0,4.0,106.0,59.0,235.0,122.0,125.0,102.0,81.0,1855.0,9.0,29519.0,16.0,25.0,1658.0,365.0,159.0,78.0,6.0,2148.0,41.0,680.0,55.0,2.0,115.0,168.0,557.0,2.0,0.0,58.0,56.0,604.0,228.0,37.0,96.0,85.0,78.0,8.0,367.0,910.0,962.0,17.0,1103.0,387.0,79.0,4.0,3674.0,10.0,5.0,7.0,116.0,31.0,126.0,92.0,25.0,8.0,327.0,2.0,821.0,466.0,154.0,2075.0,116.0,34.0,1.0,15.0,123.0,150.0,244.0,94.0,183.0,1181.0,645.0,7.0,320.0,895.0,56.0,11.0,201.0,167.0,496.0,932.0,744.0,30.0,52.0,37.0,1.0,79.0,53.0,966.0,102.0,1079.0,228.0,134.0,156.0,153.0,6.0,16.0,34.0,8.0,279.0,9.0,432.0,302.0,4.0,678.0,0.0,268.0,709.0
