,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Cabo Verde,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,144.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Italy,17.0,11.0,1.0,781.0,5.0,53.0,90.0,2.0,7.0,10.0,9.0,61.0,11.0,14.0,2.0,165.0,0.0,19033.0,0.0,0.0,52.0,77.0,38.0,66.0,1.0,272.0,16.0,64.0,10.0,0.0,51.0,9.0,274.0,3.0,0.0,7.0,1.0,94.0,28.0,5.0,30.0,47.0,3.0,0.0,23.0,251.0,564.0,7.0,339.0,302.0,3.0,0.0,377.0,11.0,0.0,0.0,131.0,20.0,59.0,6.0,0.0,1.0,7.0,0.0,69.0,194.0,14.0,612.0,115.0,17.0,1.0,0.0,13.0,43.0,23.0,41.0,94.0,130.0,117.0,1.0,25.0,345.0,29.0,1.0,36.0,147.0,743.0,229.0,102.0,5.0,70.0,14.0,0.0,7.0,10.0,132.0,11.0,188.0,76.0,19.0,96.0,16.0,0.0,107.0,0.0,1.0,73.0,1.0,32.0,38.0,1.0,33.0,0.0,30.0,93.0
United States,15.0,262.0,24.0,587.0,58.0,215.0,81.0,5.0,129.0,70.0,147.0,90.0,144.0,89.0,181.0,1616.0,12.0,32418.0,15.0,26.0,1689.0,426.0,195.0,94.0,35.0,1895.0,11.0,792.0,55.0,3.0,483.0,156.0,678.0,2.0,0.0,71.0,51.0,756.0,254.0,29.0,120.0,85.0,89.0,9.0,412.0,1191.0,1115.0,21.0,1269.0,473.0,93.0,3.0,3777.0,10.0,9.0,6.0,97.0,33.0,158.0,113.0,24.0,6.0,322.0,3.0,853.0,527.0,195.0,2311.0,114.0,43.0,1.0,19.0,83.0,183.0,266.0,100.0,216.0,1169.0,630.0,5.0,332.0,893.0,57.0,16.0,262.0,169.0,522.0,964.0,729.0,27.0,43.0,70.0,2.0,105.0,50.0,800.0,110.0,1187.0,275.0,159.0,129.0,202.0,12.0,12.0,49.0,12.0,315.0,15.0,463.0,356.0,3.0,455.0,0.0,279.0,745.0
Puerto Rico,1.0,0.0,0.0,55.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,308.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,13.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,6.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,16.0
Spain,48.0,39.0,3.0,293.0,11.0,52.0,47.0,0.0,7.0,41.0,21.0,3.0,16.0,35.0,5.0,78.0,4.0,7381.0,0.0,1.0,38.0,73.0,84.0,70.0,5.0,295.0,18.0,34.0,26.0,0.0,50.0,7.0,66.0,0.0,0.0,4.0,1.0,43.0,32.0,4.0,29.0,51.0,34.0,0.0,34.0,118.0,223.0,23.0,314.0,85.0,2.0,0.0,321.0,0.0,7.0,0.0,20.0,23.0,33.0,24.0,12.0,7.0,28.0,3.0,92.0,101.0,4.0,350.0,63.0,5.0,0.0,0.0,9.0,30.0,5.0,1.0,52.0,83.0,115.0,2.0,109.0,10.0,9.0,0.0,64.0,8.0,16.0,151.0,57.0,1.0,52.0,6.0,0.0,23.0,3.0,180.0,7.0,183.0,23.0,46.0,9.0,52.0,2.0,33.0,10.0,1.0,88.0,4.0,26.0,62.0,2.0,77.0,0.0,16.0,78.0
Japan,7.0,50.0,1.0,304.0,2.0,7.0,1.0,2.0,7.0,2.0,3.0,1.0,3.0,4.0,2.0,46.0,8.0,1810.0,0.0,2.0,62.0,37.0,39.0,9.0,0.0,116.0,3.0,45.0,88.0,0.0,3.0,1.0,51.0,0.0,0.0,8.0,5.0,76.0,14.0,3.0,1.0,3.0,0.0,0.0,6.0,60.0,101.0,12.0,36.0,18.0,1.0,0.0,122.0,26.0,0.0,41.0,1.0,1.0,15.0,3.0,0.0,1.0,6.0,0.0,55.0,47.0,12.0,100.0,7.0,1.0,1.0,0.0,8.0,33.0,10.0,0.0,11.0,145.0,26.0,0.0,3.0,14.0,3.0,0.0,5.0,25.0,36.0,25.0,11.0,6.0,1.0,7.0,0.0,6.0,1.0,30.0,10.0,53.0,41.0,2.0,17.0,20.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,14.0,0.0,4.0,0.0,13.0,32.0
Russian Federation,39.0,52.0,0.0,187.0,1.0,23.0,19.0,0.0,4.0,3.0,34.0,7.0,3.0,21.0,2.0,109.0,2.0,3979.0,33.0,2.0,73.0,18.0,26.0,53.0,3.0,183.0,45.0,97.0,36.0,6.0,8.0,2.0,47.0,0.0,0.0,1.0,1.0,291.0,4.0,2.0,4.0,24.0,4.0,0.0,71.0,101.0,41.0,1.0,16.0,10.0,1.0,0.0,1406.0,0.0,0.0,0.0,1.0,1.0,32.0,10.0,2.0,0.0,45.0,0.0,59.0,34.0,2.0,395.0,67.0,4.0,0.0,0.0,126.0,7.0,1.0,61.0,9.0,118.0,57.0,2.0,135.0,21.0,6.0,0.0,130.0,81.0,475.0,45.0,23.0,0.0,11.0,2.0,0.0,2.0,2.0,49.0,1.0,65.0,144.0,16.0,30.0,13.0,0.0,50.0,3.0,0.0,150.0,7.0,46.0,28.0,1.0,65.0,0.0,124.0,38.0
Portugal,5.0,0.0,1.0,148.0,0.0,8.0,5.0,0.0,1.0,1.0,4.0,6.0,11.0,3.0,1.0,99.0,0.0,3309.0,0.0,0.0,10.0,4.0,17.0,2.0,0.0,43.0,1.0,3.0,1.0,0.0,10.0,2.0,78.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,15.0,0.0,0.0,1.0,31.0,44.0,2.0,11.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,40.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,14.0,26.0,1.0,116.0,13.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,19.0,11.0,17.0,0.0,23.0,0.0,5.0,0.0,9.0,5.0,15.0,39.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,25.0,1.0,70.0,20.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,46.0,0.0,7.0,9.0,0.0,9.0,0.0,15.0,30.0
China,2.0,151.0,1.0,643.0,5.0,19.0,32.0,0.0,16.0,6.0,8.0,3.0,13.0,28.0,8.0,231.0,0.0,5292.0,7.0,8.0,269.0,53.0,61.0,72.0,0.0,811.0,65.0,266.0,34.0,0.0,16.0,2.0,312.0,1.0,2.0,8.0,6.0,224.0,23.0,2.0,6.0,15.0,47.0,11.0,48.0,244.0,137.0,80.0,140.0,20.0,4.0,0.0,639.0,46.0,16.0,2.0,6.0,4.0,29.0,37.0,3.0,0.0,14.0,0.0,648.0,230.0,35.0,565.0,36.0,13.0,10.0,1.0,20.0,1378.0,6.0,11.0,66.0,4085.0,96.0,9.0,28.0,62.0,16.0,1.0,27.0,11.0,511.0,73.0,96.0,2.0,9.0,27.0,0.0,22.0,3.0,106.0,2.0,229.0,51.0,122.0,27.0,21.0,3.0,4.0,0.0,1.0,125.0,0.0,81.0,150.0,1.0,4.0,1.0,51.0,173.0
El Salvador,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,310.0,0.0,0.0,174.0,0.0,21.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,30.0
