,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
United States,18.0,234.0,30.0,990.0,57.0,214.0,89.0,6.0,134.0,69.0,147.0,104.0,140.0,83.0,199.0,1442.0,14.0,33963.0,14.0,21.0,1685.0,463.0,212.0,96.0,39.0,1848.0,9.0,806.0,48.0,3.0,527.0,120.0,684.0,4.0,0.0,63.0,48.0,830.0,272.0,27.0,119.0,87.0,82.0,10.0,401.0,1178.0,1166.0,20.0,1205.0,522.0,98.0,4.0,3827.0,9.0,12.0,4.0,97.0,35.0,160.0,105.0,25.0,4.0,314.0,3.0,793.0,522.0,189.0,2279.0,117.0,42.0,0.0,23.0,88.0,177.0,233.0,94.0,244.0,945.0,592.0,7.0,338.0,813.0,60.0,18.0,261.0,169.0,461.0,872.0,681.0,26.0,47.0,77.0,2.0,107.0,61.0,757.0,91.0,1140.0,260.0,156.0,122.0,200.0,15.0,11.0,59.0,16.0,332.0,15.0,437.0,388.0,2.0,382.0,1.0,272.0,825.0
Italy,17.0,11.0,1.0,880.0,5.0,52.0,105.0,2.0,8.0,10.0,11.0,54.0,14.0,13.0,4.0,182.0,0.0,21008.0,0.0,0.0,55.0,77.0,32.0,95.0,1.0,296.0,16.0,60.0,8.0,0.0,58.0,8.0,247.0,4.0,0.0,9.0,1.0,64.0,29.0,5.0,30.0,45.0,2.0,0.0,23.0,281.0,621.0,7.0,354.0,296.0,3.0,0.0,395.0,11.0,0.0,0.0,137.0,23.0,75.0,8.0,2.0,1.0,6.0,0.0,75.0,192.0,14.0,671.0,135.0,16.0,1.0,0.0,14.0,58.0,23.0,47.0,106.0,134.0,126.0,2.0,29.0,351.0,6.0,1.0,36.0,194.0,853.0,258.0,112.0,3.0,71.0,15.0,0.0,9.0,10.0,120.0,11.0,181.0,75.0,19.0,106.0,17.0,0.0,108.0,0.0,7.0,79.0,1.0,40.0,68.0,1.0,21.0,0.0,31.0,91.0
Portugal,5.0,0.0,0.0,189.0,1.0,9.0,6.0,0.0,1.0,1.0,4.0,6.0,12.0,2.0,1.0,100.0,0.0,3366.0,0.0,0.0,16.0,5.0,16.0,3.0,0.0,42.0,1.0,3.0,1.0,0.0,11.0,2.0,58.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,2.0,15.0,0.0,0.0,1.0,38.0,45.0,2.0,12.0,1.0,1.0,0.0,76.0,0.0,0.0,0.0,39.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,116.0,13.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,19.0,14.0,19.0,0.0,22.0,0.0,5.0,0.0,6.0,5.0,20.0,41.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,20.0,1.0,74.0,20.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,48.0,0.0,7.0,10.0,0.0,7.0,0.0,15.0,34.0
Spain,47.0,39.0,3.0,627.0,10.0,60.0,71.0,0.0,16.0,42.0,21.0,3.0,65.0,38.0,5.0,95.0,4.0,8061.0,0.0,2.0,44.0,72.0,98.0,91.0,5.0,306.0,18.0,35.0,25.0,0.0,57.0,5.0,77.0,1.0,0.0,3.0,1.0,64.0,35.0,4.0,41.0,52.0,34.0,0.0,51.0,130.0,254.0,26.0,349.0,83.0,2.0,0.0,449.0,0.0,7.0,0.0,21.0,25.0,44.0,25.0,11.0,8.0,27.0,3.0,100.0,119.0,4.0,379.0,65.0,5.0,1.0,0.0,8.0,33.0,5.0,0.0,55.0,80.0,89.0,3.0,112.0,13.0,8.0,0.0,77.0,10.0,19.0,187.0,100.0,1.0,60.0,7.0,0.0,23.0,3.0,188.0,8.0,201.0,39.0,52.0,10.0,54.0,2.0,27.0,10.0,1.0,115.0,2.0,31.0,66.0,2.0,63.0,0.0,18.0,81.0
Cabo Verde,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Russian Federation,38.0,39.0,0.0,207.0,1.0,20.0,20.0,0.0,4.0,3.0,41.0,5.0,3.0,20.0,0.0,114.0,3.0,4422.0,31.0,1.0,99.0,18.0,27.0,52.0,3.0,189.0,47.0,89.0,30.0,7.0,9.0,2.0,63.0,0.0,0.0,1.0,1.0,236.0,3.0,2.0,4.0,23.0,6.0,0.0,68.0,89.0,38.0,1.0,19.0,10.0,1.0,0.0,1499.0,0.0,0.0,1.0,8.0,1.0,31.0,10.0,2.0,1.0,37.0,0.0,52.0,39.0,2.0,415.0,45.0,4.0,0.0,0.0,37.0,7.0,1.0,59.0,10.0,150.0,66.0,2.0,167.0,19.0,6.0,0.0,109.0,79.0,473.0,49.0,24.0,0.0,13.0,5.0,0.0,2.0,1.0,46.0,1.0,69.0,163.0,16.0,24.0,14.0,0.0,52.0,3.0,0.0,155.0,3.0,47.0,27.0,1.0,63.0,0.0,113.0,39.0
China,2.0,91.0,2.0,608.0,5.0,16.0,19.0,0.0,16.0,6.0,8.0,5.0,14.0,28.0,7.0,200.0,0.0,6052.0,9.0,8.0,246.0,52.0,52.0,68.0,0.0,724.0,70.0,243.0,33.0,0.0,18.0,2.0,325.0,1.0,2.0,8.0,4.0,247.0,24.0,3.0,5.0,12.0,47.0,11.0,48.0,250.0,139.0,83.0,155.0,25.0,7.0,0.0,640.0,45.0,16.0,5.0,7.0,3.0,26.0,37.0,3.0,0.0,16.0,0.0,581.0,202.0,34.0,608.0,35.0,13.0,10.0,1.0,20.0,1366.0,5.0,11.0,64.0,4325.0,83.0,9.0,25.0,73.0,18.0,1.0,31.0,13.0,488.0,81.0,102.0,2.0,9.0,29.0,0.0,26.0,3.0,86.0,1.0,217.0,49.0,123.0,25.0,20.0,3.0,4.0,0.0,3.0,125.0,0.0,82.0,150.0,1.0,2.0,1.0,27.0,132.0
El Salvador,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,298.0,0.0,0.0,180.0,1.0,24.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0
Canada,1.0,6.0,0.0,109.0,1.0,11.0,2.0,0.0,30.0,2.0,7.0,2.0,12.0,11.0,6.0,230.0,0.0,4508.0,2.0,16.0,134.0,26.0,6.0,11.0,0.0,178.0,2.0,49.0,9.0,0.0,15.0,4.0,51.0,1.0,0.0,2.0,0.0,37.0,20.0,2.0,9.0,2.0,6.0,0.0,27.0,57.0,87.0,1.0,57.0,44.0,0.0,0.0,304.0,0.0,0.0,0.0,21.0,2.0,8.0,31.0,5.0,0.0,26.0,1.0,49.0,33.0,3.0,116.0,6.0,5.0,0.0,1.0,2.0,21.0,9.0,7.0,12.0,33.0,38.0,0.0,60.0,62.0,2.0,6.0,11.0,5.0,40.0,51.0,98.0,1.0,2.0,4.0,0.0,10.0,8.0,61.0,3.0,116.0,20.0,61.0,12.0,5.0,0.0,3.0,4.0,0.0,40.0,0.0,26.0,14.0,1.0,24.0,0.0,11.0,35.0
Japan,7.0,44.0,1.0,331.0,1.0,3.0,3.0,2.0,6.0,2.0,49.0,5.0,5.0,9.0,2.0,44.0,8.0,1710.0,0.0,2.0,41.0,42.0,34.0,9.0,0.0,113.0,3.0,48.0,99.0,0.0,3.0,1.0,44.0,1.0,0.0,10.0,6.0,84.0,14.0,2.0,4.0,3.0,0.0,0.0,4.0,59.0,76.0,15.0,47.0,21.0,1.0,0.0,147.0,27.0,0.0,46.0,2.0,0.0,11.0,2.0,0.0,1.0,5.0,0.0,56.0,37.0,14.0,128.0,6.0,1.0,1.0,0.0,8.0,27.0,13.0,0.0,9.0,143.0,26.0,2.0,3.0,15.0,2.0,0.0,7.0,28.0,37.0,27.0,11.0,7.0,2.0,7.0,0.0,6.0,1.0,28.0,11.0,60.0,42.0,2.0,14.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,15.0,0.0,4.0,0.0,20.0,34.0
