,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Indonesia,1.0,3.0,1.0,8.0,5.0,15.0,11.0,0.0,2.0,6.0,2.0,18.0,10.0,6.0,0.0,49.0,0.0,3.0,0.0,0.0,12.0,8.0,189.0,11.0,1.0,45.0,1.0,6.0,2.0,0.0,1.0,0.0,41.0,0.0,0.0,3.0,0.0,20.0,3.0,1.0,8.0,3.0,0.0,1.0,44.0,48.0,46.0,0.0,31.0,3.0,1.0,0.0,83.0,0.0,0.0,0.0,6.0,11.0,21.0,17.0,0.0,0.0,0.0,0.0,8.0,74.0,0.0,108.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,14.0,29.0,0.0,47.0,2.0,4.0,0.0,16.0,23.0,2.0,44.0,8.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,39.0,12.0,0.0,9.0,6.0,0.0,4.0,7.0,0.0,45.0,0.0,12.0,3.0,0.0,0.0,0.0,33.0,63.0
United States,12.0,79.0,12.0,164.0,57.0,173.0,108.0,6.0,71.0,101.0,393.0,141.0,173.0,131.0,73.0,2516.0,1.0,122.0,72.0,26.0,1151.0,556.0,382.0,126.0,46.0,1757.0,14.0,1067.0,136.0,0.0,281.0,48.0,1109.0,9.0,0.0,27.0,48.0,764.0,262.0,21.0,92.0,98.0,91.0,4.0,924.0,2148.0,2194.0,17.0,1247.0,425.0,73.0,1.0,2502.0,13.0,4.0,17.0,285.0,20.0,164.0,27.0,13.0,3.0,344.0,4.0,221.0,569.0,30.0,4953.0,223.0,224.0,2.0,8.0,167.0,97.0,21.0,221.0,163.0,222.0,397.0,14.0,423.0,853.0,41.0,12.0,164.0,573.0,112.0,1305.0,790.0,28.0,60.0,26.0,0.0,148.0,47.0,323.0,2.0,544.0,242.0,171.0,192.0,267.0,8.0,31.0,44.0,6.0,560.0,4.0,341.0,289.0,0.0,161.0,2.0,265.0,1326.0
Italy,47.0,13.0,1.0,48.0,11.0,35.0,30.0,1.0,11.0,21.0,91.0,114.0,21.0,10.0,2.0,80.0,1.0,19.0,0.0,4.0,31.0,30.0,114.0,58.0,0.0,178.0,12.0,44.0,33.0,0.0,11.0,1.0,488.0,5.0,0.0,7.0,0.0,120.0,63.0,6.0,8.0,117.0,6.0,0.0,86.0,286.0,444.0,2.0,205.0,94.0,0.0,0.0,310.0,2.0,1.0,1.0,287.0,21.0,248.0,26.0,5.0,0.0,26.0,2.0,11.0,113.0,6.0,1013.0,881.0,19.0,1.0,0.0,42.0,145.0,1.0,98.0,103.0,24.0,166.0,8.0,27.0,26.0,28.0,0.0,65.0,420.0,3.0,246.0,126.0,19.0,200.0,6.0,2.0,1.0,3.0,39.0,0.0,164.0,55.0,44.0,168.0,34.0,0.0,8.0,3.0,3.0,189.0,0.0,43.0,67.0,1.0,98.0,0.0,29.0,170.0
Spain,73.0,1.0,1.0,12.0,4.0,54.0,115.0,0.0,4.0,39.0,16.0,120.0,73.0,41.0,5.0,51.0,5.0,7.0,1.0,0.0,34.0,30.0,130.0,68.0,0.0,153.0,6.0,38.0,3.0,0.0,2.0,1.0,205.0,3.0,0.0,1.0,3.0,388.0,12.0,1.0,61.0,39.0,6.0,0.0,49.0,144.0,461.0,1.0,109.0,13.0,0.0,0.0,171.0,0.0,0.0,3.0,53.0,18.0,47.0,8.0,6.0,1.0,17.0,0.0,5.0,86.0,3.0,546.0,190.0,53.0,0.0,0.0,9.0,18.0,2.0,5.0,9.0,40.0,31.0,3.0,58.0,6.0,15.0,0.0,44.0,21.0,8.0,290.0,159.0,1.0,38.0,5.0,0.0,7.0,5.0,31.0,1.0,155.0,95.0,35.0,14.0,34.0,0.0,51.0,19.0,0.0,204.0,22.0,27.0,30.0,1.0,6.0,0.0,16.0,161.0
Turkey,2.0,18.0,0.0,9.0,1.0,3.0,6.0,0.0,0.0,0.0,23.0,1.0,2.0,19.0,0.0,108.0,12.0,2.0,3.0,1.0,14.0,5.0,7.0,110.0,0.0,29.0,6.0,9.0,3.0,0.0,6.0,0.0,26.0,2.0,0.0,0.0,0.0,160.0,32.0,0.0,1.0,1.0,1.0,0.0,23.0,112.0,60.0,0.0,39.0,2.0,2.0,0.0,150.0,0.0,0.0,0.0,1.0,4.0,27.0,3.0,0.0,0.0,14.0,0.0,7.0,38.0,0.0,217.0,28.0,33.0,0.0,0.0,10.0,1.0,0.0,13.0,3.0,22.0,58.0,8.0,292.0,76.0,0.0,0.0,33.0,13.0,29.0,73.0,87.0,0.0,45.0,6.0,0.0,5.0,9.0,7.0,0.0,87.0,16.0,1.0,14.0,30.0,0.0,1.0,0.0,11.0,147.0,0.0,16.0,25.0,4.0,9.0,1.0,5.0,25.0
Japan,7.0,5.0,1.0,30.0,2.0,24.0,1.0,5.0,14.0,5.0,1.0,4.0,3.0,29.0,2.0,115.0,0.0,7.0,0.0,0.0,119.0,7.0,24.0,12.0,0.0,70.0,1.0,36.0,53.0,0.0,6.0,0.0,38.0,0.0,0.0,3.0,65.0,165.0,6.0,2.0,7.0,13.0,2.0,0.0,13.0,31.0,30.0,4.0,36.0,12.0,0.0,0.0,186.0,7.0,3.0,83.0,2.0,0.0,129.0,1.0,1.0,0.0,4.0,0.0,12.0,53.0,7.0,274.0,15.0,0.0,0.0,0.0,3.0,21.0,0.0,6.0,26.0,20.0,9.0,0.0,24.0,4.0,1.0,2.0,5.0,98.0,21.0,64.0,19.0,1.0,0.0,4.0,1.0,1.0,14.0,6.0,0.0,102.0,17.0,33.0,2.0,2.0,1.0,0.0,2.0,0.0,42.0,0.0,14.0,12.0,0.0,1.0,0.0,13.0,50.0
France,4.0,12.0,2.0,55.0,4.0,8.0,17.0,0.0,0.0,1.0,90.0,149.0,10.0,25.0,5.0,376.0,0.0,8.0,2.0,20.0,83.0,18.0,184.0,87.0,0.0,227.0,6.0,58.0,6.0,0.0,9.0,0.0,288.0,0.0,0.0,5.0,2.0,375.0,36.0,3.0,29.0,38.0,0.0,0.0,15.0,92.0,68.0,1.0,29.0,5.0,6.0,0.0,657.0,4.0,1.0,0.0,12.0,3.0,188.0,9.0,115.0,0.0,170.0,0.0,12.0,172.0,1.0,637.0,86.0,4.0,0.0,0.0,14.0,34.0,4.0,8.0,24.0,7.0,42.0,6.0,23.0,47.0,7.0,0.0,14.0,31.0,8.0,45.0,152.0,7.0,6.0,9.0,2.0,7.0,13.0,18.0,0.0,201.0,31.0,42.0,65.0,22.0,0.0,3.0,2.0,0.0,160.0,3.0,68.0,21.0,2.0,36.0,0.0,98.0,264.0
Russian Federation,12.0,69.0,23.0,78.0,10.0,24.0,43.0,0.0,7.0,1.0,57.0,16.0,22.0,21.0,0.0,337.0,9.0,5.0,7.0,0.0,37.0,19.0,98.0,83.0,0.0,246.0,179.0,52.0,10.0,45.0,1.0,0.0,144.0,0.0,0.0,20.0,1.0,377.0,8.0,30.0,3.0,14.0,7.0,0.0,102.0,135.0,58.0,3.0,23.0,5.0,0.0,0.0,1049.0,2.0,0.0,0.0,0.0,2.0,15.0,9.0,5.0,0.0,253.0,0.0,14.0,56.0,2.0,891.0,44.0,8.0,0.0,0.0,31.0,1.0,0.0,35.0,6.0,35.0,100.0,0.0,186.0,12.0,4.0,0.0,149.0,114.0,5.0,56.0,28.0,0.0,5.0,4.0,0.0,10.0,31.0,11.0,20.0,125.0,47.0,7.0,21.0,16.0,4.0,41.0,21.0,0.0,444.0,18.0,140.0,47.0,0.0,10.0,0.0,52.0,89.0
United Kingdom,1.0,25.0,5.0,18.0,6.0,37.0,6.0,2.0,29.0,7.0,41.0,34.0,83.0,44.0,3.0,386.0,0.0,11.0,40.0,11.0,363.0,48.0,33.0,39.0,2.0,283.0,8.0,341.0,13.0,0.0,56.0,3.0,206.0,5.0,0.0,19.0,6.0,389.0,59.0,8.0,210.0,29.0,27.0,1.0,61.0,167.0,484.0,4.0,186.0,60.0,9.0,0.0,667.0,5.0,1.0,2.0,34.0,17.0,71.0,12.0,32.0,0.0,101.0,1.0,11.0,152.0,3.0,406.0,166.0,13.0,3.0,0.0,63.0,21.0,21.0,22.0,29.0,77.0,69.0,5.0,70.0,52.0,5.0,2.0,47.0,87.0,32.0,274.0,165.0,7.0,10.0,13.0,0.0,26.0,18.0,50.0,1.0,123.0,87.0,80.0,12.0,29.0,4.0,13.0,33.0,4.0,142.0,0.0,123.0,39.0,2.0,17.0,0.0,37.0,154.0
"Venezuela, Bolivarian Republic of",3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,42.0,7.0,34.0,1.0,26.0,0.0,67.0,0.0,0.0,0.0,0.0,33.0,0.0,63.0,377.0,0.0,64.0,1.0,43.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,10.0,4.0,1.0,0.0,2.0,3.0,0.0,62.0,69.0,14.0,0.0,4.0,3.0,1.0,0.0,19.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,504.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,32.0,0.0,3.0,0.0,0.0,0.0,28.0,10.0,0.0,36.0,4.0,0.0,6.0,3.0,0.0,13.0,1.0,2.0,0.0,8.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,64.0,0.0,23.0,6.0,0.0,0.0,0.0,20.0,94.0
