,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Peru,2.0,4.0,0.0,0.0,1.0,3.0,11.0,0.0,3.0,9.0,20.0,19.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,82.0,10.0,0.0,9.0,0.0,5.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,3.0,6.0,5.0,0.0,16.0,33.0,9.0,1.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,77.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,10.0,44.0,2.0,16.0,0.0,2.0,0.0,13.0,17.0,0.0,26.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,12.0,10.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,49.0,0.0,4.0,3.0,0.0,1.0,0.0,12.0,108.0
Japan,6.0,5.0,1.0,28.0,2.0,24.0,1.0,4.0,8.0,5.0,2.0,4.0,3.0,27.0,2.0,113.0,0.0,7.0,0.0,0.0,116.0,20.0,21.0,12.0,0.0,60.0,1.0,40.0,53.0,0.0,6.0,0.0,37.0,0.0,0.0,2.0,62.0,143.0,7.0,1.0,7.0,13.0,2.0,0.0,12.0,31.0,33.0,4.0,36.0,12.0,0.0,0.0,182.0,7.0,3.0,85.0,2.0,0.0,89.0,1.0,1.0,0.0,4.0,0.0,14.0,48.0,6.0,277.0,13.0,0.0,0.0,0.0,3.0,20.0,0.0,7.0,21.0,17.0,7.0,0.0,23.0,4.0,1.0,2.0,5.0,97.0,21.0,64.0,16.0,1.0,0.0,4.0,1.0,1.0,14.0,6.0,0.0,103.0,20.0,49.0,2.0,2.0,1.0,0.0,2.0,0.0,35.0,0.0,11.0,11.0,0.0,0.0,0.0,12.0,46.0
Spain,75.0,1.0,0.0,13.0,4.0,52.0,114.0,0.0,3.0,39.0,16.0,103.0,69.0,40.0,5.0,54.0,5.0,8.0,1.0,0.0,34.0,27.0,127.0,71.0,0.0,151.0,6.0,39.0,2.0,0.0,2.0,1.0,179.0,3.0,0.0,2.0,3.0,388.0,12.0,1.0,56.0,38.0,6.0,0.0,47.0,146.0,410.0,1.0,109.0,14.0,0.0,0.0,179.0,0.0,0.0,3.0,53.0,6.0,47.0,8.0,6.0,2.0,6.0,0.0,5.0,87.0,3.0,553.0,188.0,53.0,0.0,0.0,9.0,17.0,2.0,5.0,8.0,39.0,32.0,3.0,57.0,5.0,12.0,0.0,41.0,24.0,8.0,273.0,161.0,1.0,38.0,5.0,0.0,6.0,5.0,34.0,1.0,172.0,91.0,32.0,15.0,35.0,0.0,51.0,19.0,0.0,204.0,2.0,26.0,29.0,1.0,4.0,0.0,16.0,141.0
Australia,3.0,4.0,0.0,31.0,3.0,11.0,10.0,3.0,3.0,4.0,3.0,9.0,25.0,12.0,1.0,156.0,0.0,5.0,1.0,1.0,40.0,19.0,28.0,15.0,0.0,51.0,2.0,75.0,5.0,0.0,7.0,3.0,116.0,1.0,0.0,2.0,1.0,102.0,6.0,1.0,64.0,4.0,1.0,24.0,27.0,132.0,83.0,1.0,41.0,14.0,3.0,0.0,428.0,3.0,0.0,0.0,15.0,1.0,18.0,7.0,4.0,0.0,10.0,0.0,6.0,28.0,5.0,164.0,57.0,1.0,0.0,4.0,8.0,5.0,17.0,8.0,33.0,54.0,20.0,20.0,21.0,13.0,8.0,0.0,36.0,16.0,3.0,99.0,164.0,2.0,5.0,4.0,1.0,80.0,38.0,14.0,0.0,76.0,20.0,1.0,12.0,25.0,1.0,3.0,2.0,0.0,55.0,0.0,14.0,14.0,1.0,3.0,0.0,12.0,67.0
United States,12.0,79.0,13.0,165.0,55.0,172.0,107.0,5.0,71.0,102.0,359.0,150.0,175.0,129.0,75.0,2504.0,1.0,121.0,69.0,27.0,1141.0,534.0,366.0,119.0,46.0,1798.0,15.0,1065.0,131.0,1.0,276.0,46.0,1138.0,9.0,0.0,28.0,47.0,777.0,257.0,21.0,89.0,99.0,91.0,4.0,930.0,2096.0,2196.0,17.0,1243.0,418.0,69.0,1.0,2614.0,14.0,4.0,17.0,277.0,16.0,156.0,27.0,13.0,3.0,333.0,4.0,218.0,573.0,28.0,4883.0,233.0,213.0,2.0,8.0,172.0,95.0,24.0,221.0,160.0,219.0,388.0,14.0,418.0,827.0,39.0,9.0,163.0,573.0,109.0,1295.0,778.0,28.0,65.0,21.0,0.0,146.0,46.0,315.0,2.0,619.0,243.0,182.0,173.0,255.0,8.0,29.0,40.0,6.0,557.0,3.0,309.0,281.0,0.0,148.0,2.0,278.0,1320.0
"Macedonia, Republic of",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,1013.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,18.0,114.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,115.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,15.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,5.0
Indonesia,1.0,3.0,1.0,9.0,5.0,15.0,9.0,0.0,2.0,6.0,2.0,18.0,10.0,5.0,0.0,50.0,0.0,2.0,0.0,0.0,11.0,8.0,189.0,11.0,0.0,45.0,0.0,6.0,2.0,0.0,1.0,0.0,39.0,0.0,0.0,4.0,0.0,20.0,3.0,1.0,8.0,3.0,0.0,1.0,21.0,45.0,42.0,0.0,31.0,3.0,1.0,0.0,74.0,8.0,0.0,0.0,6.0,11.0,20.0,19.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,109.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,2.0,13.0,29.0,0.0,44.0,2.0,4.0,0.0,14.0,21.0,0.0,44.0,7.0,0.0,4.0,12.0,0.0,4.0,2.0,7.0,0.0,37.0,12.0,0.0,6.0,6.0,0.0,4.0,7.0,0.0,45.0,0.0,11.0,3.0,0.0,1.0,0.0,44.0,70.0
Italy,46.0,13.0,1.0,52.0,11.0,35.0,30.0,1.0,10.0,20.0,91.0,113.0,21.0,10.0,2.0,81.0,1.0,20.0,0.0,4.0,30.0,30.0,88.0,59.0,0.0,180.0,12.0,43.0,31.0,0.0,11.0,1.0,452.0,5.0,0.0,7.0,0.0,120.0,59.0,6.0,8.0,117.0,6.0,0.0,90.0,286.0,406.0,2.0,207.0,95.0,0.0,0.0,319.0,2.0,1.0,1.0,291.0,21.0,283.0,26.0,5.0,0.0,26.0,2.0,11.0,112.0,3.0,999.0,941.0,20.0,1.0,0.0,42.0,158.0,1.0,95.0,120.0,24.0,161.0,8.0,26.0,36.0,28.0,0.0,66.0,421.0,3.0,255.0,118.0,19.0,182.0,6.0,2.0,1.0,4.0,40.0,0.0,173.0,55.0,48.0,160.0,37.0,0.0,10.0,3.0,3.0,187.0,0.0,42.0,67.0,1.0,99.0,0.0,30.0,164.0
Turkey,2.0,17.0,0.0,10.0,1.0,3.0,6.0,0.0,0.0,0.0,23.0,1.0,2.0,17.0,0.0,110.0,12.0,2.0,3.0,1.0,14.0,4.0,8.0,103.0,0.0,26.0,8.0,10.0,3.0,0.0,4.0,0.0,24.0,2.0,0.0,0.0,0.0,153.0,31.0,0.0,1.0,1.0,1.0,0.0,21.0,121.0,63.0,0.0,46.0,2.0,0.0,0.0,164.0,0.0,0.0,0.0,1.0,5.0,27.0,3.0,0.0,0.0,13.0,0.0,6.0,37.0,0.0,226.0,28.0,33.0,0.0,0.0,10.0,1.0,0.0,13.0,3.0,22.0,59.0,8.0,295.0,78.0,0.0,0.0,32.0,14.0,29.0,65.0,86.0,0.0,47.0,6.0,0.0,4.0,9.0,9.0,0.0,90.0,16.0,1.0,14.0,34.0,0.0,3.0,0.0,11.0,175.0,0.0,15.0,23.0,3.0,9.0,1.0,5.0,24.0
France,4.0,13.0,2.0,54.0,4.0,14.0,17.0,0.0,0.0,1.0,89.0,129.0,8.0,26.0,4.0,374.0,0.0,10.0,2.0,19.0,86.0,17.0,163.0,86.0,0.0,250.0,6.0,56.0,6.0,0.0,9.0,0.0,280.0,0.0,0.0,5.0,2.0,371.0,35.0,3.0,30.0,39.0,2.0,0.0,14.0,91.0,65.0,1.0,29.0,5.0,6.0,0.0,715.0,4.0,1.0,0.0,13.0,3.0,224.0,9.0,115.0,0.0,129.0,0.0,13.0,172.0,1.0,618.0,83.0,4.0,0.0,0.0,14.0,36.0,4.0,11.0,24.0,7.0,43.0,6.0,22.0,46.0,7.0,0.0,16.0,29.0,8.0,43.0,150.0,7.0,4.0,8.0,3.0,7.0,11.0,19.0,0.0,209.0,29.0,30.0,65.0,23.0,0.0,3.0,2.0,0.0,161.0,3.0,67.0,20.0,2.0,36.0,0.0,97.0,241.0
