,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
China,3.0,39.0,3.0,998.0,3.0,18.0,27.0,0.0,41.0,8.0,28.0,13.0,8.0,46.0,10.0,754.0,0.0,5946.0,1.0,2.0,525.0,47.0,86.0,110.0,0.0,1618.0,104.0,400.0,39.0,0.0,20.0,14.0,151.0,0.0,0.0,5.0,0.0,155.0,40.0,4.0,12.0,15.0,31.0,55.0,83.0,343.0,207.0,44.0,374.0,26.0,3.0,0.0,1575.0,36.0,7.0,5.0,11.0,0.0,17.0,8.0,0.0,5.0,14.0,0.0,1087.0,206.0,108.0,844.0,24.0,11.0,2.0,5.0,14.0,1494.0,10.0,8.0,76.0,3182.0,82.0,2.0,47.0,87.0,15.0,4.0,30.0,38.0,1313.0,100.0,52.0,3.0,2.0,9.0,0.0,16.0,2.0,146.0,1.0,399.0,34.0,11.0,33.0,27.0,0.0,4.0,0.0,1.0,165.0,0.0,62.0,218.0,1.0,15.0,55.0,41.0,202.0
Viet Nam,2.0,1.0,3.0,46.0,0.0,18.0,0.0,0.0,2.0,0.0,6.0,14.0,3.0,1.0,0.0,51.0,0.0,1237.0,0.0,1.0,23.0,6.0,22.0,2.0,3.0,41.0,0.0,20.0,0.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,11.0,6.0,0.0,0.0,2.0,2.0,0.0,1.0,32.0,95.0,1.0,9.0,3.0,0.0,0.0,66.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,21.0,29.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,594.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,51.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,8.0,3.0,0.0,1.0,1.0,4.0,14.0
Italy,16.0,1.0,2.0,80.0,17.0,64.0,132.0,0.0,15.0,16.0,24.0,42.0,4.0,38.0,2.0,220.0,0.0,26011.0,1.0,2.0,97.0,111.0,71.0,115.0,2.0,546.0,4.0,102.0,15.0,0.0,20.0,1.0,566.0,1.0,0.0,17.0,0.0,53.0,53.0,5.0,8.0,26.0,4.0,1.0,26.0,209.0,391.0,2.0,554.0,436.0,0.0,1.0,403.0,1.0,1.0,0.0,125.0,23.0,82.0,10.0,6.0,2.0,30.0,0.0,152.0,270.0,3.0,661.0,77.0,8.0,0.0,0.0,8.0,77.0,4.0,17.0,80.0,117.0,119.0,3.0,52.0,72.0,16.0,0.0,96.0,189.0,1332.0,114.0,82.0,0.0,37.0,4.0,1.0,11.0,7.0,173.0,2.0,215.0,35.0,18.0,41.0,18.0,0.0,12.0,0.0,2.0,98.0,6.0,91.0,64.0,0.0,60.0,0.0,23.0,163.0
United Kingdom,1.0,15.0,2.0,283.0,10.0,48.0,8.0,1.0,152.0,15.0,32.0,33.0,36.0,61.0,15.0,802.0,1.0,18952.0,1.0,38.0,553.0,81.0,79.0,131.0,3.0,935.0,11.0,476.0,21.0,0.0,89.0,14.0,304.0,1.0,0.0,8.0,5.0,461.0,42.0,9.0,88.0,21.0,18.0,2.0,191.0,472.0,368.0,17.0,171.0,70.0,8.0,0.0,3117.0,9.0,1.0,2.0,31.0,16.0,99.0,29.0,7.0,7.0,59.0,1.0,452.0,409.0,17.0,798.0,72.0,45.0,0.0,2.0,106.0,115.0,21.0,17.0,54.0,157.0,239.0,4.0,68.0,258.0,4.0,4.0,90.0,44.0,418.0,179.0,427.0,1.0,27.0,29.0,0.0,25.0,19.0,322.0,2.0,482.0,43.0,141.0,30.0,31.0,4.0,19.0,2.0,2.0,292.0,4.0,366.0,58.0,8.0,17.0,0.0,114.0,313.0
Argentina,3.0,1.0,0.0,15.0,3.0,6.0,82.0,0.0,2.0,29.0,6.0,13.0,2.0,10.0,0.0,21.0,0.0,2960.0,0.0,4.0,40.0,20.0,180.0,19.0,0.0,97.0,11.0,26.0,6.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,0.0,17.0,5.0,0.0,1.0,4.0,48.0,0.0,71.0,80.0,36.0,7.0,18.0,2.0,2.0,0.0,57.0,0.0,0.0,0.0,2.0,2.0,386.0,4.0,0.0,1.0,0.0,0.0,26.0,14.0,0.0,99.0,2.0,0.0,0.0,0.0,6.0,1.0,6.0,17.0,7.0,175.0,15.0,0.0,65.0,11.0,1.0,0.0,15.0,21.0,28.0,75.0,5.0,0.0,7.0,10.0,0.0,1.0,1.0,14.0,1.0,65.0,15.0,24.0,5.0,10.0,0.0,38.0,4.0,0.0,37.0,0.0,12.0,14.0,0.0,2.0,0.0,38.0,86.0
Spain,37.0,4.0,2.0,45.0,18.0,71.0,145.0,1.0,10.0,24.0,33.0,20.0,12.0,83.0,2.0,146.0,5.0,12177.0,6.0,4.0,87.0,45.0,53.0,221.0,2.0,571.0,6.0,57.0,5.0,0.0,15.0,13.0,129.0,2.0,0.0,8.0,2.0,100.0,15.0,14.0,13.0,34.0,16.0,1.0,80.0,121.0,337.0,11.0,356.0,20.0,2.0,0.0,247.0,0.0,0.0,2.0,22.0,16.0,132.0,18.0,8.0,12.0,13.0,1.0,153.0,88.0,5.0,341.0,88.0,3.0,0.0,0.0,2.0,24.0,13.0,0.0,17.0,74.0,47.0,10.0,52.0,26.0,21.0,0.0,36.0,21.0,88.0,217.0,78.0,1.0,39.0,3.0,0.0,6.0,1.0,103.0,8.0,136.0,47.0,32.0,18.0,21.0,1.0,18.0,6.0,1.0,179.0,2.0,29.0,23.0,3.0,145.0,0.0,29.0,170.0
Indonesia,1.0,7.0,3.0,27.0,1.0,32.0,5.0,1.0,3.0,1.0,5.0,50.0,2.0,9.0,2.0,90.0,0.0,2992.0,0.0,0.0,66.0,9.0,155.0,6.0,0.0,116.0,5.0,56.0,1.0,0.0,1.0,4.0,41.0,3.0,0.0,10.0,1.0,18.0,3.0,0.0,4.0,7.0,2.0,3.0,21.0,79.0,60.0,1.0,47.0,14.0,3.0,0.0,311.0,0.0,0.0,0.0,1.0,2.0,23.0,10.0,0.0,0.0,3.0,0.0,53.0,87.0,1.0,176.0,7.0,4.0,0.0,1.0,4.0,12.0,22.0,2.0,12.0,76.0,21.0,1.0,19.0,10.0,7.0,0.0,19.0,3.0,78.0,42.0,18.0,0.0,4.0,5.0,0.0,0.0,4.0,11.0,21.0,88.0,10.0,0.0,12.0,20.0,1.0,2.0,5.0,2.0,77.0,0.0,25.0,5.0,2.0,1.0,1.0,43.0,158.0
Japan,6.0,6.0,2.0,98.0,5.0,4.0,2.0,1.0,14.0,1.0,2.0,1.0,8.0,7.0,2.0,133.0,0.0,3953.0,0.0,0.0,77.0,33.0,49.0,7.0,0.0,90.0,0.0,90.0,84.0,0.0,14.0,0.0,81.0,2.0,0.0,7.0,0.0,114.0,9.0,1.0,5.0,8.0,1.0,0.0,7.0,36.0,117.0,21.0,68.0,19.0,2.0,0.0,390.0,8.0,3.0,20.0,5.0,0.0,19.0,3.0,0.0,0.0,11.0,0.0,41.0,30.0,1.0,155.0,11.0,2.0,1.0,0.0,16.0,35.0,10.0,4.0,21.0,199.0,26.0,0.0,6.0,23.0,7.0,2.0,18.0,21.0,88.0,28.0,10.0,1.0,3.0,6.0,0.0,4.0,4.0,11.0,5.0,136.0,11.0,6.0,15.0,4.0,0.0,1.0,1.0,0.0,34.0,0.0,18.0,21.0,1.0,3.0,0.0,5.0,238.0
Malaysia,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,142.0,7.0,1003.0,0.0,0.0,20.0,1.0,22.0,0.0,0.0,41.0,0.0,32.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,13.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,16.0,22.0,0.0,1.0,0.0,5.0,0.0,51.0,0.0,0.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,150.0,13.0,1.0,14.0,3.0,0.0,0.0,20.0,0.0,80.0,12.0,1.0,6.0,75.0,8.0,0.0,14.0,5.0,0.0,0.0,2.0,0.0,39.0,3.0,31.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,10.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,4.0,0.0,2.0,0.0,2.0,24.0
United States,7.0,142.0,27.0,247.0,95.0,153.0,92.0,4.0,190.0,97.0,146.0,151.0,181.0,132.0,59.0,2941.0,1.0,35880.0,24.0,18.0,2478.0,433.0,321.0,104.0,15.0,3650.0,49.0,833.0,89.0,0.0,115.0,128.0,725.0,1.0,1.0,48.0,49.0,580.0,224.0,57.0,104.0,118.0,107.0,4.0,382.0,975.0,1229.0,27.0,951.0,370.0,68.0,2.0,5533.0,8.0,10.0,13.0,121.0,21.0,210.0,73.0,20.0,11.0,420.0,1.0,1429.0,704.0,98.0,2187.0,147.0,34.0,1.0,11.0,162.0,140.0,81.0,87.0,246.0,919.0,696.0,5.0,362.0,770.0,55.0,21.0,224.0,118.0,835.0,1011.0,762.0,15.0,57.0,51.0,3.0,63.0,56.0,820.0,27.0,1217.0,372.0,110.0,184.0,139.0,10.0,17.0,29.0,17.0,540.0,17.0,385.0,301.0,5.0,327.0,2.0,422.0,1487.0
